766499.C357_16441,purA,Adenylosuccinate&nbsp;synthetase,98.9
766499.C357_05004,thiQ,Thiamine&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;ThiQ,98.8
766499.C357_22050,C357_22050,TPR&nbsp;domain-containing&nbsp;protein,98.8
766499.C357_00145,ribH,"6,7-dimethyl-8-ribityllumazine&nbsp;synthase",98.7
766499.C357_21127,C357_21127,ATP&nbsp;synthase&nbsp;subunit&nbsp;beta,98.7
766499.C357_13882,topA,DNA&nbsp;topoisomerase&nbsp;1,98.6
766499.C357_19361,C357_19361,RND&nbsp;family&nbsp;efflux&nbsp;transporter&nbsp;MFP&nbsp;subunit,98.6
766499.C357_12844,fusA,Elongation&nbsp;factor&nbsp;G,98.6
766499.C357_06032,C357_06032,COG3637&nbsp;Opacity&nbsp;protein&nbsp;and&nbsp;related&nbsp;surface&nbsp;antigens,98.6
766499.C357_05189,nusG,Transcription&nbsp;termination/antitermination&nbsp;protein&nbsp;NusG,98.6
766499.C357_03585,C357_03585,Uncharacterized&nbsp;protein,98.6
766499.C357_12199,pyrF,Orotidine&nbsp;5'-phosphate&nbsp;decarboxylase,98.6
766499.C357_10657,lipA,Lipoyl&nbsp;synthase,98.6
766499.C357_19426,C357_19426,Putative&nbsp;acyl-CoA&nbsp;thioester&nbsp;hydrolase&nbsp;protein,98.6
766499.C357_14706,C357_14706,Bifunctional&nbsp;serine/threonine&nbsp;kinase&nbsp;and&nbsp;phosphatase,98.6
766499.C357_11294,C357_11294,COG0596&nbsp;Predicted&nbsp;hydrolases&nbsp;or&nbsp;acyltransferases&nbsp;(alpha/beta&nbsp;hydrolase&nbsp;superfamily),98.6
766499.C357_12991,C357_12991,RND&nbsp;efflux&nbsp;system&nbsp;outer&nbsp;membrane&nbsp;lipoprotein,98.5
766499.C357_13330,C357_13330,Cell&nbsp;division&nbsp;protein&nbsp;ZapA,98.5
766499.C357_20085,C357_20085,Binding-protein-dependent&nbsp;transport&nbsp;systems&nbsp;inner&nbsp;membrane&nbsp;component,98.5
766499.C357_10277,rplR,50S&nbsp;ribosomal&nbsp;protein&nbsp;L18,98.5
766499.C357_12109,C357_12109,FAD&nbsp;dependent&nbsp;oxidoreductase,98.4
766499.C357_12029,cobT,Nicotinate-nucleotide--dimethylbenzimidazole&nbsp;phosphoribosyltransferase,98.4
766499.C357_19161,C357_19161,"Cob(I)yrinic&nbsp;acid&nbsp;a,c-diamide&nbsp;adenosyltransferase",98.3
766499.C357_00569,C357_00569,annotation&nbsp;not&nbsp;available,98.3
766499.C357_05024,C357_05024,annotation&nbsp;not&nbsp;available,98.3
766499.C357_16843,C357_16843,COG0642&nbsp;Signal&nbsp;transduction&nbsp;histidine&nbsp;kinase,98.3
766499.C357_10924,C357_10924,Putative&nbsp;acetyl-CoA&nbsp;synthetase,98.3
766499.C357_03310,gpmI,"2,3-bisphosphoglycerate-independent&nbsp;phosphoglycerate&nbsp;mutase",98.2
766499.C357_07961,C357_07961,Nitrous&nbsp;oxide&nbsp;maturation&nbsp;protein&nbsp;NosY,98.2
