1144307.PMI04_03208,EJK80986.1,annotation&nbsp;not&nbsp;available,98.9
1144307.PMI04_01756,EJK83845.1,Membrane&nbsp;carboxypeptidase/penicillin-binding&nbsp;protein,98.9
1144307.PMI04_00403,EJK86370.1,"PFAM:&nbsp;HAMP&nbsp;domain,&nbsp;Histidine&nbsp;kinase-,&nbsp;DNA&nbsp;gyrase&nbsp;B-,&nbsp;and&nbsp;HSP90-like&nbsp;ATPase,&nbsp;His&nbsp;Kinase&nbsp;A&nbsp;(phosphoacceptor)&nbsp;domain,&nbsp;Two-component&nbsp;sensor&nbsp;kinase&nbsp;N-terminal",98.8
1144307.PMI04_02666,EJK82758.1,Dihydrodipicolinate&nbsp;synthase/N-acetylneuraminate&nbsp;lyase,98.7
1144307.PMI04_02167,truA,tRNA&nbsp;pseudouridine&nbsp;synthase&nbsp;A,98.7
1144307.PMI04_00594,EJK86175.1,"Sulfite&nbsp;reductase,&nbsp;beta&nbsp;subunit&nbsp;(Hemoprotein)",98.7
1144307.PMI04_00492,rnc,Ribonuclease&nbsp;3,98.7
1144307.PMI04_04345,EJK78712.1,"PFAM:&nbsp;Type&nbsp;IV&nbsp;secretory&nbsp;pathway,&nbsp;VirB3-like&nbsp;protein",98.7
1144307.PMI04_02950,EJK81446.1,Deoxyguanosinetriphosphate&nbsp;triphosphohydrolase-like&nbsp;protein,98.7
1144307.PMI04_03607,EJK80261.1,Putative&nbsp;transcriptional&nbsp;regulator,98.6
1144307.PMI04_04299,EJK78666.1,annotation&nbsp;not&nbsp;available,98.6
1144307.PMI04_01717,EJK83934.1,Molybdenum&nbsp;cofactor&nbsp;synthesis&nbsp;domain-containing&nbsp;protein,98.5
1144307.PMI04_01728,EJK83882.1,UDP-glucose-4-epimerase,98.5
1144307.PMI04_04090,EJK79263.1,2-nitropropane&nbsp;dioxygenase-like&nbsp;enzyme,98.5
1144307.PMI04_01321,secD,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecD,98.4
1144307.PMI04_03606,EJK80260.1,Antirepressor&nbsp;regulating&nbsp;drug&nbsp;resistance&nbsp;protein,98.4
1144307.PMI04_02009,glyQ,PFAM:&nbsp;Glycyl-tRNA&nbsp;synthetase&nbsp;alpha&nbsp;subunit,98.4
1144307.PMI04_04524,EJK78293.1,"Cobaltochelatase,&nbsp;CobS&nbsp;subunit",98.4
1144307.PMI04_00782,EJK85626.1,"PFAM:&nbsp;Response&nbsp;regulator&nbsp;receiver&nbsp;domain,&nbsp;Transcriptional&nbsp;regulatory&nbsp;protein,&nbsp;C&nbsp;terminal",98.4
1144307.PMI04_02587,EJK82680.1,PFAM:&nbsp;HlyD&nbsp;family&nbsp;secretion&nbsp;protein,98.4
1144307.PMI04_02048,EJK83444.1,PFAM:&nbsp;Uracil&nbsp;DNA&nbsp;glycosylase&nbsp;superfamily,98.4
1144307.PMI04_03605,EJK80259.1,Oxygen-independent&nbsp;coproporphyrinogen-III&nbsp;oxidase-like&nbsp;protein,98.3
1144307.PMI04_01764,EJK83729.1,Phytoene&nbsp;dehydrogenase-like&nbsp;oxidoreductase,98.3
1144307.PMI04_01306,tuf,Elongation&nbsp;factor&nbsp;Tu,98.3
1144307.PMI04_03931,EJK79105.1,PFAM:&nbsp;MotA/TolQ/ExbB&nbsp;proton&nbsp;channel&nbsp;family,98.3
1144307.PMI04_01144,EJK85050.1,annotation&nbsp;not&nbsp;available,98.3
1144307.PMI04_01770,nusG,Transcription&nbsp;termination/antitermination&nbsp;protein&nbsp;NusG,98.3
1144307.PMI04_04125,EJK78965.1,PFAM:&nbsp;Membrane&nbsp;bound&nbsp;L-sorbosone&nbsp;dehydrogenase,98.3
1144307.PMI04_01133,purE,N5-carboxyaminoimidazole&nbsp;ribonucleotide&nbsp;mutase,98.2
1144307.PMI04_03739,EJK79560.1,"NADH&nbsp;dehydrogenase,&nbsp;FAD-containing&nbsp;subunit",98.2
1144307.PMI04_02608,EJK82701.1,TonB&nbsp;family&nbsp;protein,98.2
1144307.PMI04_02963,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine&nbsp;ligase,98.2
1144307.PMI04_01174,EJK85080.1,Enoyl-CoA&nbsp;hydratase/carnithine&nbsp;racemase,98.2
1144307.PMI04_02642,EJK82734.1,"PFAM:&nbsp;Acyl-CoA&nbsp;dehydrogenase,&nbsp;C-terminal&nbsp;domain,&nbsp;Acyl-CoA&nbsp;dehydrogenase,&nbsp;middle&nbsp;domain,&nbsp;Acyl-CoA&nbsp;dehydrogenase,&nbsp;N-terminal&nbsp;domain",98.1
1144307.PMI04_00237,EJK86727.1,PFAM:&nbsp;rod&nbsp;shape-determining&nbsp;protein&nbsp;MreC,98.1
1144307.PMI04_00537,EJK86121.1,PFAM:&nbsp;UvrD/REP&nbsp;helicase,98.1
1144307.PMI04_01428,cmk,PFAM:&nbsp;Cytidylate&nbsp;kinase,98.1
1144307.PMI04_01652,EJK84084.1,annotation&nbsp;not&nbsp;available,98.0
1144307.PMI04_02468,gmk,Guanylate&nbsp;kinase,98.0
1144307.PMI04_03573,rplM,50S&nbsp;ribosomal&nbsp;protein&nbsp;L13,98.0
1144307.PMI04_03538,EJK80405.1,Protoporphyrinogen&nbsp;oxidase,98.0
1144307.PMI04_03575,ctaA,Heme&nbsp;A&nbsp;synthase,97.9
1144307.PMI04_03461,EJK80563.1,PFAM:&nbsp;Coenzyme&nbsp;A&nbsp;transferase,97.8
1144307.PMI04_03682,EJK80016.1,Beta-xylosidase,97.8
1144307.PMI04_03887,EJK79344.1,"ABC-type&nbsp;Fe3+-siderophore&nbsp;transport&nbsp;system,&nbsp;permease&nbsp;component",97.7
1144307.PMI04_03455,aroQ,3-dehydroquinate&nbsp;dehydratase,97.7
1144307.PMI04_00634,EJK85925.1,annotation&nbsp;not&nbsp;available,97.7
1144307.PMI04_00423,EJK86390.1,PAS&nbsp;domain&nbsp;S-box,97.7
1144307.PMI04_03533,EJK80400.1,PFAM:&nbsp;Ribulose-phosphate&nbsp;3&nbsp;epimerase&nbsp;family,97.7
1144307.PMI04_03995,EJK79168.1,PFAM:&nbsp;N-formylglutamate&nbsp;amidohydrolase,97.6
1144307.PMI04_03195,EJK80973.1,Putative&nbsp;metal-dependent&nbsp;hydrolase,97.6
1144307.PMI04_02057,EJK83453.1,Carboxynorspermidine/carboxyspermidine&nbsp;decarboxylase,97.6
1144307.PMI04_03702,EJK79820.1,General&nbsp;secretion&nbsp;pathway&nbsp;protein&nbsp;D,97.5
1144307.PMI04_01442,EJK84377.1,"PFAM:&nbsp;Glutathione&nbsp;S-transferase,&nbsp;N-terminal&nbsp;domain,&nbsp;Glutathione&nbsp;S-transferase,&nbsp;C-terminal&nbsp;domain",97.5
1144307.PMI04_01314,ftsJ,Ribosomal&nbsp;RNA&nbsp;large&nbsp;subunit&nbsp;methyltransferase&nbsp;E,97.5
1144307.PMI04_04204,carA,"PFAM:&nbsp;Carbamoyl-phosphate&nbsp;synthase&nbsp;small&nbsp;chain,&nbsp;CPSase&nbsp;domain,&nbsp;Glutamine&nbsp;amidotransferase&nbsp;class-I",97.5
1144307.PMI04_03171,EJK80949.1,annotation&nbsp;not&nbsp;available,97.4
1144307.PMI04_04553,EJK78269.1,PFAM:&nbsp;NAD&nbsp;dependent&nbsp;epimerase/dehydratase&nbsp;family,97.4
1144307.PMI04_01364,uppP,Undecaprenyl-diphosphatase,97.4
1144307.PMI04_01158,EJK85064.1,"PFAM:&nbsp;Acyl-CoA&nbsp;dehydrogenase,&nbsp;C-terminal&nbsp;domain,&nbsp;Acyl-CoA&nbsp;dehydrogenase,&nbsp;middle&nbsp;domain,&nbsp;Acyl-CoA&nbsp;dehydrogenase,&nbsp;N-terminal&nbsp;domain",97.4
1144307.PMI04_04191,pdhA,Pyruvate&nbsp;dehydrogenase&nbsp;E1&nbsp;component&nbsp;subunit&nbsp;alpha,97.3
1144307.PMI04_02676,EJK82290.1,PFAM:&nbsp;Glyoxalase/Bleomycin&nbsp;resistance&nbsp;protein/Dioxygenase&nbsp;superfamily,97.2
1144307.PMI04_03938,EJK79112.1,"PFAM:&nbsp;Flagella&nbsp;basal&nbsp;body&nbsp;rod&nbsp;protein,&nbsp;Domain&nbsp;of&nbsp;unknown&nbsp;function&nbsp;(DUF1078)",97.1
1144307.PMI04_00533,EJK86117.1,"ATPase,&nbsp;YjeE&nbsp;family",97.1
1144307.PMI04_01752,EJK83841.1,Adenine&nbsp;deaminase,97.1
