722419.PH505_an00140,rpsH,30S&nbsp;ribosomal&nbsp;protein&nbsp;S8,98.9
722419.PH505_ay00120,hisG,annotation&nbsp;not&nbsp;available,98.9
722419.PH505_dq00070,EGI71351.1,annotation&nbsp;not&nbsp;available,98.9
722419.PH505_eg00050,frpC,annotation&nbsp;not&nbsp;available,98.8
722419.PH505_ay00370,EGI73077.1,annotation&nbsp;not&nbsp;available,98.8
722419.PH505_ai00480,EGI74242.1,annotation&nbsp;not&nbsp;available,98.8
722419.PH505_bl00130,ubiG,Ubiquinone&nbsp;biosynthesis&nbsp;O-methyltransferase,98.8
722419.PH505_au00040,EGI73246.1,annotation&nbsp;not&nbsp;available,98.7
722419.PH505_dt00130,EGI71323.1,annotation&nbsp;not&nbsp;available,98.7
722419.PH505_cv00020,EGI71603.1,annotation&nbsp;not&nbsp;available,98.7
722419.PH505_by00240,EGI72095.1,annotation&nbsp;not&nbsp;available,98.6
722419.PH505_bp00050,EGI72330.1,annotation&nbsp;not&nbsp;available,98.6
722419.PH505_dl00080,EGI71396.1,annotation&nbsp;not&nbsp;available,98.6
722419.PH505_aa01500,purA,Adenylosuccinate&nbsp;synthetase,98.5
722419.PH505_by00010,EGI72072.1,annotation&nbsp;not&nbsp;available,98.5
722419.PH505_cd00270,EGI71980.1,annotation&nbsp;not&nbsp;available,98.5
722419.PH505_at00320,recF,DNA&nbsp;replication&nbsp;and&nbsp;repair&nbsp;protein&nbsp;RecF,98.5
722419.PH505_bp00060,EGI72331.1,annotation&nbsp;not&nbsp;available,98.4
722419.PH505_bi00290,EGI72591.1,annotation&nbsp;not&nbsp;available,98.3
722419.PH505_al00110,EGI73931.1,annotation&nbsp;not&nbsp;available,98.3
722419.PH505_bu00140,EGI72199.1,annotation&nbsp;not&nbsp;available,98.3
722419.PH505_ep00020,EGI71201.1,annotation&nbsp;not&nbsp;available,98.2
722419.PH505_ap00190,EGI73568.1,annotation&nbsp;not&nbsp;available,98.2
722419.PH505_bo00030,EGI72356.1,annotation&nbsp;not&nbsp;available,98.1
722419.PH505_aa00070,EGI75120.1,annotation&nbsp;not&nbsp;available,98.1
722419.PH505_at00350,rpmH,annotation&nbsp;not&nbsp;available,98.1
722419.PH505_ab00330,yrbC1,annotation&nbsp;not&nbsp;available,98.1
722419.PH505_bl00280,EGI72480.1,annotation&nbsp;not&nbsp;available,98.1
722419.PH505_bs00270,ccoN,annotation&nbsp;not&nbsp;available,98.1
722419.PH505_cd00180,recX,Regulatory&nbsp;protein&nbsp;RecX,98.0
722419.PH505_cv00090,arcB,annotation&nbsp;not&nbsp;available,97.9
722419.PH505_ai00210,recG,ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RecG,97.9
722419.PH505_ah00210,rseB,annotation&nbsp;not&nbsp;available,97.9
722419.PH505_aa00770,purH,annotation&nbsp;not&nbsp;available,97.8
722419.PH505_am00700,sdr3,annotation&nbsp;not&nbsp;available,97.8
722419.PH505_af00480,EGI74531.1,annotation&nbsp;not&nbsp;available,97.8
722419.PH505_ad00290,EGI74736.1,annotation&nbsp;not&nbsp;available,97.8
722419.PH505_bi00070,EGI72569.1,annotation&nbsp;not&nbsp;available,97.8
722419.PH505_ab00790,yjjG,annotation&nbsp;not&nbsp;available,97.7
722419.PH505_bz00200,EGI72064.1,annotation&nbsp;not&nbsp;available,97.6
722419.PH505_aa01510,hflC1,Protein&nbsp;HflC,97.6
722419.PH505_ah00680,EGI74349.1,annotation&nbsp;not&nbsp;available,97.6
