240015.ACP_2793,ACP_2793,Identified&nbsp;by&nbsp;similarity&nbsp;to&nbsp;SP:P82593,98.9
240015.ACP_2354,ACP_2354,Dihydrolipoamide&nbsp;acetyltransferase&nbsp;component&nbsp;of&nbsp;pyruvate&nbsp;dehydrogenase&nbsp;complex,98.9
240015.ACP_0024,ACP_0024,"Glycosyl&nbsp;hydrolase&nbsp;family,&nbsp;32",98.9
240015.ACP_0228,thrC1,Threonine&nbsp;synthase,98.8
240015.ACP_1239,ACP_1239,Cytochrome&nbsp;oxidase&nbsp;assembly&nbsp;protein,98.6
240015.ACP_2469,ACP_2469,NADH&nbsp;dehydrogenase,98.4
240015.ACP_0990,icd2,Isocitrate&nbsp;dehydrogenase,98.4
240015.ACP_2929,rpoC,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta',98.4
240015.ACP_2317,rpsA,Ribosomal&nbsp;protein&nbsp;S1,98.3
240015.ACP_2636,tal,Transaldolase,98.3
240015.ACP_2096,gcvT,Aminomethyltransferase,98.2
240015.ACP_1341,ACP_1341,"Efflux&nbsp;transporter,&nbsp;RND&nbsp;family,&nbsp;MFP&nbsp;subunit",98.2
240015.ACP_3313,folD,Bifunctional&nbsp;protein&nbsp;FolD,98.1
240015.ACP_2337,hisH,Imidazole&nbsp;glycerol&nbsp;phosphate&nbsp;synthase&nbsp;subunit&nbsp;HisH,98.0
240015.ACP_3346,ACP_3346,"Penicillin-binding&nbsp;protein,&nbsp;1A&nbsp;family",97.9
240015.ACP_0179,ACP_0179,"Transporter,&nbsp;putative&nbsp;ER-chloroplast&nbsp;lipid&nbsp;translocase&nbsp;(ECLT)&nbsp;family",97.9
240015.ACP_0626,ACP_0626,"Amine&nbsp;ABC&nbsp;transporter,&nbsp;quaternary&nbsp;amine&nbsp;uptake&nbsp;transporter&nbsp;(QAT)&nbsp;family,&nbsp;permease&nbsp;protein",97.8
240015.ACP_3157,hppA,K(+)-insensitive&nbsp;pyrophosphate-energized&nbsp;proton&nbsp;pump,97.8
240015.ACP_2545,iscU,Iron-sulfur&nbsp;cluster&nbsp;assembly&nbsp;scaffold&nbsp;protein&nbsp;IscU,97.7
240015.ACP_2554,pstA,Phosphate&nbsp;transport&nbsp;system&nbsp;permease&nbsp;protein&nbsp;PstA,97.6
240015.ACP_1123,ACP_1123,Putative&nbsp;glucose-6-phosphate&nbsp;1-epimerase,97.3
240015.ACP_3468,leuD,3-isopropylmalate&nbsp;dehydratase&nbsp;small&nbsp;subunit,97.3
240015.ACP_3483,ACP_3483,Aldehyde&nbsp;dehydrogenase&nbsp;(NAD)&nbsp;family&nbsp;protein,97.2
240015.ACP_1815,ACP_1815,Identified&nbsp;by&nbsp;similarity&nbsp;to&nbsp;SP:P22250,97.2
240015.ACP_0287,ACP_0287,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;K,97.1
240015.ACP_0113,ACP_0113,"Efflux&nbsp;ABC&nbsp;transporter,&nbsp;permease/ATP-binding&nbsp;protein",97.1
240015.ACP_1498,purS,Phosphoribosylformylglycinamidine&nbsp;synthase&nbsp;subunit&nbsp;PurS,97.0
240015.ACP_1425,rpsK,30S&nbsp;ribosomal&nbsp;protein&nbsp;S11,96.8
240015.ACP_2824,lacD,Tagatose-bisphosphate&nbsp;aldolase,96.7
240015.ACP_2389,ACP_2389,Ribonuclease&nbsp;HI,96.7
