269482.Bcep1808_5223,hcp,Hydroxylamine&nbsp;reductase,98.9
269482.Bcep1808_0344,rpsH,30S&nbsp;ribosomal&nbsp;protein&nbsp;S8,98.9
269482.Bcep1808_4410,ABO57376.1,"PFAM:&nbsp;succinate&nbsp;dehydrogenase,&nbsp;cytochrome&nbsp;b&nbsp;subunit",98.9
269482.Bcep1808_4457,leuB,3-isopropylmalate&nbsp;dehydrogenase,98.9
269482.Bcep1808_2597,clpS,ATP-dependent&nbsp;Clp&nbsp;protease&nbsp;adapter&nbsp;protein&nbsp;ClpS,98.9
269482.Bcep1808_2186,eno,Enolase,98.8
269482.Bcep1808_2924,ABO55915.1,Beta-N-acetylhexosaminidase,98.8
269482.Bcep1808_1253,ABO54263.1,Phosphate-binding&nbsp;protein&nbsp;PstS,98.8
269482.Bcep1808_0335,rplV,50S&nbsp;ribosomal&nbsp;protein&nbsp;L22,98.8
269482.Bcep1808_0322,rpoB,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta,98.8
269482.Bcep1808_1779,ABO54783.1,TIGRFAM:&nbsp;molybdenum&nbsp;cofactor&nbsp;synthesis&nbsp;domain,98.8
269482.Bcep1808_0508,trpC,PFAM:&nbsp;Indole-3-glycerol&nbsp;phosphate&nbsp;synthase,98.8
269482.Bcep1808_1284,ABO54294.1,Beta-galactosidase,98.8
269482.Bcep1808_1589,ABO54596.1,KEGG:&nbsp;bam:Bamb_1542&nbsp;folate-dependent&nbsp;phosphoribosylglycinamide&nbsp;formyltransferase&nbsp;PurN-like&nbsp;protein,98.7
269482.Bcep1808_3702,ABO56687.1,"KEGG:&nbsp;bam:Bamb_4862&nbsp;oligopeptide/dipeptide&nbsp;ABC&nbsp;transporter,&nbsp;ATPase&nbsp;subunit",98.7
269482.Bcep1808_4054,ABO57035.1,"Amino&nbsp;acid/amide&nbsp;ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein&nbsp;2,&nbsp;HAAT&nbsp;family",98.7
269482.Bcep1808_0985,dadA,D-amino&nbsp;acid&nbsp;dehydrogenase,98.7
269482.Bcep1808_0422,ABO53434.1,PFAM:&nbsp;cytochrome&nbsp;c1,98.6
269482.Bcep1808_2205,iscS,Cysteine&nbsp;desulfurase&nbsp;IscS,98.6
269482.Bcep1808_2646,ABO55638.1,Ornithine&nbsp;carbamoyltransferase,98.5
269482.Bcep1808_5657,ABO58595.1,"TIGRFAM:&nbsp;nitrate&nbsp;reductase,&nbsp;beta&nbsp;subunit",98.4
269482.Bcep1808_0068,ABO53091.1,TIGRFAM:&nbsp;general&nbsp;secretion&nbsp;pathway&nbsp;protein&nbsp;F,98.3
269482.Bcep1808_1800,rpsF,30S&nbsp;ribosomal&nbsp;protein&nbsp;S6,98.3
269482.Bcep1808_1965,ABO54968.1,PFAM:&nbsp;ABC&nbsp;transporter&nbsp;related,98.3
269482.Bcep1808_3317,ABO56306.1,PFAM:&nbsp;Patatin,98.3
269482.Bcep1808_0533,murD,UDP-N-acetylmuramoylalanine--D-glutamate&nbsp;ligase,98.2
269482.Bcep1808_4204,ABO57184.1,PFAM:&nbsp;polysaccharide&nbsp;export&nbsp;protein,98.2
269482.Bcep1808_0417,tatC,Sec-independent&nbsp;protein&nbsp;translocase&nbsp;protein&nbsp;TatC,98.2
269482.Bcep1808_2071,ABO55073.1,FOG&nbsp;domain&nbsp;containing&nbsp;protein,98.2
269482.Bcep1808_0384,ABO53397.1,"PFAM:&nbsp;glutamine&nbsp;amidotransferase,&nbsp;class-II",98.1
269482.Bcep1808_5773,ABO58705.1,"KEGG:&nbsp;bxe:Bxe_C0435&nbsp;ABC&nbsp;branched&nbsp;chain&nbsp;amino&nbsp;acid&nbsp;family&nbsp;transporter,&nbsp;periplasmic&nbsp;ligand&nbsp;binding&nbsp;protein",98.1
269482.Bcep1808_0359,ABO53372.1,Protein-disulfide&nbsp;reductase,98.1
269482.Bcep1808_4991,ABO57947.1,"PFAM:&nbsp;Alcohol&nbsp;dehydrogenase,&nbsp;zinc-binding&nbsp;domain&nbsp;protein",98.1
269482.Bcep1808_6456,ABO59353.1,"Transcriptional&nbsp;regulator,&nbsp;LuxR&nbsp;family",98.1
269482.Bcep1808_0234,ABO53250.1,"TIGRFAM:&nbsp;5,10-methylenetetrahydrofolate&nbsp;reductase",98.1
269482.Bcep1808_0127,ABO53150.1,"Amino&nbsp;acid&nbsp;ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,&nbsp;PAAT&nbsp;family",98.0
269482.Bcep1808_6017,ABO58942.1,Nitrogenase&nbsp;molybdenum-iron&nbsp;protein&nbsp;beta&nbsp;chain,98.0
269482.Bcep1808_1728,ABO54732.1,Adenylosuccinate&nbsp;synthetase,98.0
269482.Bcep1808_1526,ssuD,Alkanesulfonate&nbsp;monooxygenase,98.0
269482.Bcep1808_1849,ABO54852.1,PFAM:&nbsp;phosphoglucose&nbsp;isomerase&nbsp;(PGI),98.0
269482.Bcep1808_0612,ABO53624.1,"KEGG:&nbsp;bch:Bcen2424_0639&nbsp;glyceraldehyde-3-phosphate&nbsp;dehydrogenase,&nbsp;type&nbsp;I",98.0
269482.Bcep1808_2235,argA,KEGG:&nbsp;bur:Bcep18194_A5465&nbsp;amino-acid&nbsp;N-acetyltransferase&nbsp;(ArgA),97.9
269482.Bcep1808_0301,ABO53314.1,PFAM:&nbsp;pyruvate&nbsp;ferredoxin/flavodoxin&nbsp;oxidoreductase,97.9
269482.Bcep1808_3300,ABO56289.1,Methylated-DNA--protein-cysteine&nbsp;methyltransferase,97.9
269482.Bcep1808_2170,ABO55172.1,KEGG:&nbsp;bam:Bamb_2126&nbsp;FKBP-type&nbsp;peptidyl-prolyl&nbsp;cis-trans&nbsp;isomerases&nbsp;2-like&nbsp;protein,97.9
269482.Bcep1808_4018,ABO56999.1,"PFAM:&nbsp;pyridoxamine&nbsp;5'-phosphate&nbsp;oxidase-related,&nbsp;FMN-binding",97.9
269482.Bcep1808_1513,rpiA,Ribose-5-phosphate&nbsp;isomerase&nbsp;A,97.9
269482.Bcep1808_2510,ppc,Phosphoenolpyruvate&nbsp;carboxylase,97.9
269482.Bcep1808_0951,ABO53962.1,"KEGG:&nbsp;bur:Bcep18194_A4143&nbsp;formate&nbsp;dehydrogenase,&nbsp;delta&nbsp;subunit",97.9
269482.Bcep1808_6587,ABO59482.1,"Amino&nbsp;acid/amide&nbsp;ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,&nbsp;HAAT&nbsp;family",97.8
269482.Bcep1808_5949,ABO58874.1,"PFAM:&nbsp;nickel-dependent&nbsp;hydrogenase,&nbsp;large&nbsp;subunit",97.8
269482.Bcep1808_3188,ABO56179.1,"PFAM:&nbsp;Alcohol&nbsp;dehydrogenase,&nbsp;zinc-binding&nbsp;domain&nbsp;protein",97.8
269482.Bcep1808_0147,ABO53170.1,KEGG:&nbsp;bam:Bamb_0129&nbsp;L-serine&nbsp;dehydratase&nbsp;1,97.7
269482.Bcep1808_4660,ABO57619.1,Glutamine--fructose-6-phosphate&nbsp;aminotransferase&nbsp;[isomerizing],97.7
269482.Bcep1808_1033,ABO54044.1,PFAM:&nbsp;Rieske&nbsp;[2Fe-2S]&nbsp;domain&nbsp;protein,97.6
269482.Bcep1808_3110,ABO56101.1,Flagellar&nbsp;basal&nbsp;body&nbsp;rod&nbsp;protein&nbsp;FlgB,97.6
269482.Bcep1808_0523,ABO53535.1,PFAM:&nbsp;AMP-dependent&nbsp;synthetase&nbsp;and&nbsp;ligase,97.6
269482.Bcep1808_2753,moaC,Cyclic&nbsp;pyranopterin&nbsp;monophosphate&nbsp;synthase,97.6
269482.Bcep1808_1346,ABO54356.1,PFAM:&nbsp;Dual&nbsp;specificity&nbsp;protein&nbsp;phosphatase,97.5
269482.Bcep1808_0218,ABO53234.1,Chemotaxis&nbsp;protein&nbsp;methyltransferase,97.5
269482.Bcep1808_3866,ABO56848.1,Threonine--tRNA&nbsp;ligase,97.4
269482.Bcep1808_3524,ABO56511.1,PFAM:&nbsp;FAD&nbsp;dependent&nbsp;oxidoreductase,97.4
269482.Bcep1808_5425,ABO58369.1,Pyruvate&nbsp;dehydrogenase&nbsp;E1&nbsp;component,97.4
269482.Bcep1808_2493,ABO55491.1,"TIGRFAM:&nbsp;polar&nbsp;amino&nbsp;acid&nbsp;ABC&nbsp;transporter,&nbsp;inner&nbsp;membrane&nbsp;subunit",97.4
269482.Bcep1808_2174,ABO55176.1,4-hydroxy-tetrahydrodipicolinate&nbsp;synthase,97.4
269482.Bcep1808_6337,ABO59237.1,"Two&nbsp;component&nbsp;transcriptional&nbsp;regulator,&nbsp;LuxR&nbsp;family",97.4
269482.Bcep1808_2812,lptD,LPS-assembly&nbsp;protein&nbsp;LptD,97.3
269482.Bcep1808_0352,rpmJ,PFAM:&nbsp;ribosomal&nbsp;protein&nbsp;L36,97.3
269482.Bcep1808_6347,ABO59246.1,"Two&nbsp;component&nbsp;transcriptional&nbsp;regulator,&nbsp;LuxR&nbsp;family",97.3
269482.Bcep1808_2217,ABO55219.1,Pyruvate&nbsp;dehydrogenase&nbsp;E1&nbsp;component,97.2
269482.Bcep1808_2304,ABO55303.1,"PFAM:&nbsp;regulatory&nbsp;protein,&nbsp;LuxR",97.2
269482.Bcep1808_4408,mdh2,Malate&nbsp;dehydrogenase&nbsp;2,97.2
269482.Bcep1808_5385,ABO58331.1,Acetaldehyde&nbsp;dehydrogenase&nbsp;1,97.1
269482.Bcep1808_1398,ABO54406.1,"Two&nbsp;component&nbsp;transcriptional&nbsp;regulator,&nbsp;winged&nbsp;helix&nbsp;family",97.1
269482.Bcep1808_3914,ABO56895.1,PFAM:&nbsp;Pyridoxal-dependent&nbsp;decarboxylase,97.1
269482.Bcep1808_2277,ABO55276.1,Acetyl-coenzyme&nbsp;A&nbsp;synthetase,97.1
269482.Bcep1808_4415,ABO57381.1,KEGG:&nbsp;bch:Bcen2424_3939&nbsp;citrate&nbsp;synthase&nbsp;I,97.1
269482.Bcep1808_5118,ABO58069.1,PFAM:&nbsp;ABC&nbsp;transporter&nbsp;related,97.1
269482.Bcep1808_1049,ABO54060.1,Periplasmic&nbsp;serine&nbsp;endoprotease&nbsp;DegP-like,97.0
269482.Bcep1808_3537,metE,5-methyltetrahydropteroyltriglutamate--homocysteine&nbsp;methyltransferase,97.0
269482.Bcep1808_5958,ABO58883.1,PFAM:&nbsp;AMP-dependent&nbsp;synthetase&nbsp;and&nbsp;ligase,97.0
269482.Bcep1808_6274,dld,Quinone-dependent&nbsp;D-lactate&nbsp;dehydrogenase,97.0
269482.Bcep1808_3260,ABO56250.1,KEGG:&nbsp;mca:MCA2649&nbsp;hypothetical&nbsp;protein,97.0
269482.Bcep1808_3207,cysD,"TIGRFAM:&nbsp;sulfate&nbsp;adenylyltransferase,&nbsp;small&nbsp;subunit",97.0
269482.Bcep1808_0093,ABO53116.1,"Amino&nbsp;acid/amide&nbsp;ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein&nbsp;1,&nbsp;HAAT&nbsp;family",96.9
269482.Bcep1808_0516,ABO53528.1,Phenylacetate-coenzyme&nbsp;A&nbsp;ligase,96.9
269482.Bcep1808_2585,ABO55580.1,PFAM:&nbsp;fatty&nbsp;acid&nbsp;desaturase,96.8
269482.Bcep1808_1048,ABO54059.1,PFAM:&nbsp;MucB/RseB&nbsp;family&nbsp;protein,96.7
269482.Bcep1808_0488,ubiX,Flavin&nbsp;prenyltransferase&nbsp;UbiX,96.7
269482.Bcep1808_4225,ABO57205.1,Maltooligosyl&nbsp;trehalose&nbsp;hydrolase,96.7
269482.Bcep1808_1734,ABO54738.1,RNA-binding&nbsp;protein&nbsp;Hfq,96.7
269482.Bcep1808_2662,pdxH,Pyridoxine/pyridoxamine&nbsp;5'-phosphate&nbsp;oxidase,96.6
269482.Bcep1808_3837,ABO56820.1,Arabinose&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;AraG,96.6
269482.Bcep1808_0701,ABO53713.1,PFAM:&nbsp;Nitrilase/cyanide&nbsp;hydratase&nbsp;and&nbsp;apolipoprotein&nbsp;N-acyltransferase,96.5
269482.Bcep1808_0024,ABO53047.1,Catalase-related&nbsp;peroxidase,96.5
269482.Bcep1808_2247,hutH,KEGG:&nbsp;bch:Bcen2424_2172&nbsp;histidine&nbsp;ammonia-lyase,96.5
269482.Bcep1808_1717,ABO54721.1,KEGG:&nbsp;bur:Bcep18194_A6102&nbsp;acetyl-CoA&nbsp;acetyltransferase,96.5
269482.Bcep1808_0040,ABO53063.1,"Two&nbsp;component&nbsp;transcriptional&nbsp;regulator,&nbsp;winged&nbsp;helix&nbsp;family",96.5
269482.Bcep1808_4818,ABO57775.1,"TIGRFAM:&nbsp;aliphatic&nbsp;sulfonates&nbsp;family&nbsp;ABC&nbsp;transporter,&nbsp;periplsmic&nbsp;ligand-binding&nbsp;protein",96.5
269482.Bcep1808_5944,ABO58869.1,TIGRFAM:&nbsp;hydrogenase&nbsp;assembly&nbsp;chaperone&nbsp;hypC/hupF,96.5
269482.Bcep1808_2295,uvrB,UvrABC&nbsp;system&nbsp;protein&nbsp;B,96.4
269482.Bcep1808_5832,ABO58762.1,"PFAM:&nbsp;cytochrome&nbsp;c&nbsp;oxidase,&nbsp;subunit&nbsp;III",96.4
