509190.Cseg_0294,Cseg_0294,TIGRFAM:&nbsp;diguanylate&nbsp;cyclase,98.9
509190.Cseg_0142,trpA,Tryptophan&nbsp;synthase&nbsp;alpha&nbsp;chain,98.9
509190.Cseg_2471,Cseg_2471,KEGG:&nbsp;ppu:PP_1299&nbsp;polar&nbsp;amino&nbsp;acid&nbsp;ABC&nbsp;transporter&nbsp;inner&nbsp;membrane&nbsp;subunit,98.9
509190.Cseg_3730,Cseg_3730,Ubiquinol&nbsp;oxidase&nbsp;subunit&nbsp;2,98.7
509190.Cseg_2240,nuoC,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;C,98.7
509190.Cseg_2232,nuoH,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;H,98.7
509190.Cseg_0754,rpsG,30S&nbsp;ribosomal&nbsp;protein&nbsp;S7,98.7
509190.Cseg_0616,Cseg_0616,PFAM:&nbsp;glycosyl&nbsp;transferase&nbsp;family&nbsp;9,98.7
509190.Cseg_2801,clpS,ATP-dependent&nbsp;Clp&nbsp;protease&nbsp;adapter&nbsp;protein&nbsp;ClpS,98.6
509190.Cseg_0084,Cseg_0084,PFAM:&nbsp;NAD-glutamate&nbsp;dehydrogenase,98.5
509190.Cseg_1757,Cseg_1757,TIGRFAM:&nbsp;beta-ketoadipyl&nbsp;CoA&nbsp;thiolase,98.5
509190.Cseg_1503,rplE,50S&nbsp;ribosomal&nbsp;protein&nbsp;L5,98.3
509190.Cseg_2777,plsY,Glycerol-3-phosphate&nbsp;acyltransferase,98.3
509190.Cseg_3604,Cseg_3604,"KEGG:&nbsp;ccs:CCNA_00801&nbsp;cytochrome&nbsp;bd-type&nbsp;quinol&nbsp;oxidase,&nbsp;subunit&nbsp;2&nbsp;CydB",98.3
509190.Cseg_2660,Cseg_2660,Gluconolactonase,98.2
509190.Cseg_3863,Cseg_3863,Phosphate-specific&nbsp;transport&nbsp;system&nbsp;accessory&nbsp;protein&nbsp;PhoU,97.8
509190.Cseg_1922,Cseg_1922,KEGG:&nbsp;ccs:CCNA_01507&nbsp;cystine&nbsp;transport&nbsp;system&nbsp;permease&nbsp;protein,97.8
509190.Cseg_3799,Cseg_3799,KEGG:&nbsp;ccs:CCNA_00348&nbsp;probable&nbsp;chemoreceptor&nbsp;Y4FA,97.8
509190.Cseg_4257,nth,Endonuclease&nbsp;III,97.8
509190.Cseg_1898,Cseg_1898,KEGG:&nbsp;ccs:CCNA_01488&nbsp;galactonate&nbsp;dehydratase,97.8
509190.Cseg_1283,Cseg_1283,TIGRFAM:&nbsp;methionine&nbsp;synthase,97.6
509190.Cseg_1944,Cseg_1944,KEGG:&nbsp;ccs:CCNA_01532&nbsp;regulatory&nbsp;protein&nbsp;FlaY,97.6
509190.Cseg_0283,Cseg_0283,Cytochrome&nbsp;c&nbsp;oxidase&nbsp;subunit&nbsp;2,97.5
