1123501.KB902314_gene3278,KB902314_gene3278,annotation&nbsp;not&nbsp;available,98.9
1123501.KB902299_gene3671,KB902299_gene3671,annotation&nbsp;not&nbsp;available,98.9
1123501.KB902316_gene3041,cysC,Adenylyl-sulfate&nbsp;kinase,98.9
1123501.KB902276_gene1238,KB902276_gene1238,annotation&nbsp;not&nbsp;available,98.8
1123501.KB902276_gene1431,KB902276_gene1431,annotation&nbsp;not&nbsp;available,98.8
1123501.KB902312_gene2687,KB902312_gene2687,annotation&nbsp;not&nbsp;available,98.8
1123501.KB902310_gene182,KB902310_gene182,NAD(P)&nbsp;transhydrogenase&nbsp;subunit&nbsp;alpha,98.8
1123501.KB902283_gene2294,KB902283_gene2294,annotation&nbsp;not&nbsp;available,98.8
1123501.KB902310_gene98,tatB,Sec-independent&nbsp;protein&nbsp;translocase&nbsp;protein&nbsp;TatB,98.7
1123501.KB902310_gene207,KB902310_gene207,annotation&nbsp;not&nbsp;available,98.7
1123501.KB902277_gene1044,KB902277_gene1044,annotation&nbsp;not&nbsp;available,98.7
1123501.KB902299_gene3907,KB902299_gene3907,annotation&nbsp;not&nbsp;available,98.7
1123501.KB902286_gene2052,KB902286_gene2052,annotation&nbsp;not&nbsp;available,98.6
1123501.KB902290_gene1554,KB902290_gene1554,annotation&nbsp;not&nbsp;available,98.5
1123501.KB902277_gene1082,parE,DNA&nbsp;topoisomerase&nbsp;4&nbsp;subunit&nbsp;B,98.5
1123501.KB902277_gene915,KB902277_gene915,annotation&nbsp;not&nbsp;available,98.5
1123501.KB902277_gene846,KB902277_gene846,annotation&nbsp;not&nbsp;available,98.4
1123501.KB902312_gene2643,KB902312_gene2643,annotation&nbsp;not&nbsp;available,98.4
1123501.KB902289_gene1622,glyS,annotation&nbsp;not&nbsp;available,98.4
1123501.KB902278_gene787,rplL,50S&nbsp;ribosomal&nbsp;protein&nbsp;L7/L12,98.3
1123501.KB902315_gene3425,rplK,50S&nbsp;ribosomal&nbsp;protein&nbsp;L11,98.3
1123501.KB902310_gene256,KB902310_gene256,annotation&nbsp;not&nbsp;available,98.3
1123501.KB902316_gene3002,znuC,Zinc&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;ZnuC,98.3
1123501.KB902289_gene1603,KB902289_gene1603,annotation&nbsp;not&nbsp;available,98.3
1123501.KB902277_gene984,secF,Protein-export&nbsp;membrane&nbsp;protein&nbsp;SecF,98.3
1123501.KB902276_gene1131,KB902276_gene1131,annotation&nbsp;not&nbsp;available,98.2
1123501.KB902282_gene2492,KB902282_gene2492,annotation&nbsp;not&nbsp;available,98.2
1123501.KB902287_gene2016,rplP,50S&nbsp;ribosomal&nbsp;protein&nbsp;L16,98.2
1123501.KB902283_gene2326,KB902283_gene2326,annotation&nbsp;not&nbsp;available,98.2
1123501.KB902276_gene1219,coaD,Phosphopantetheine&nbsp;adenylyltransferase,98.1
1123501.KB902314_gene3292,KB902314_gene3292,annotation&nbsp;not&nbsp;available,98.1
1123501.KB902299_gene3849,KB902299_gene3849,annotation&nbsp;not&nbsp;available,98.1
1123501.KB902284_gene2277,rpsB,annotation&nbsp;not&nbsp;available,98.0
1123501.KB902278_gene770,KB902278_gene770,annotation&nbsp;not&nbsp;available,97.9
1123501.KB902316_gene3035,KB902316_gene3035,annotation&nbsp;not&nbsp;available,97.9
1123501.KB902277_gene946,KB902277_gene946,annotation&nbsp;not&nbsp;available,97.8
1123501.KB902285_gene2172,KB902285_gene2172,annotation&nbsp;not&nbsp;available,97.8
1123501.KB902285_gene2155,KB902285_gene2155,annotation&nbsp;not&nbsp;available,97.7
1123501.KB902279_gene545,gatC,Aspartyl/glutamyl-tRNA(Asn/Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;C,97.7
1123501.KB902276_gene1152,glgB,"1,4-alpha-glucan&nbsp;branching&nbsp;enzyme&nbsp;GlgB",97.7
1123501.KB902278_gene712,KB902278_gene712,annotation&nbsp;not&nbsp;available,97.6
1123501.KB902279_gene630,ruvB,Holliday&nbsp;junction&nbsp;ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RuvB,97.6
1123501.KB902283_gene2348,KB902283_gene2348,annotation&nbsp;not&nbsp;available,97.6
1123501.KB902312_gene2580,KB902312_gene2580,annotation&nbsp;not&nbsp;available,97.6
1123501.KB902281_gene313,aroK,Shikimate&nbsp;kinase,97.6
1123501.KB902277_gene835,gyrA,DNA&nbsp;gyrase&nbsp;subunit&nbsp;A,97.5
1123501.KB902313_gene2930,KB902313_gene2930,annotation&nbsp;not&nbsp;available,97.5
1123501.KB902291_gene1461,KB902291_gene1461,annotation&nbsp;not&nbsp;available,97.5
1123501.KB902285_gene2123,KB902285_gene2123,annotation&nbsp;not&nbsp;available,97.5
1123501.KB902312_gene2678,KB902312_gene2678,annotation&nbsp;not&nbsp;available,97.4
1123501.KB902314_gene3183,KB902314_gene3183,dITP/XTP&nbsp;pyrophosphatase,97.4
1123501.KB902295_gene3552,KB902295_gene3552,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecA,97.4
1123501.KB902314_gene3164,KB902314_gene3164,annotation&nbsp;not&nbsp;available,97.4
