1348338.ADILRU_2350,EPR75209.1,annotation&nbsp;not&nbsp;available,98.9
1348338.ADILRU_2455,EPR75314.1,annotation&nbsp;not&nbsp;available,98.9
1348338.ADILRU_1415,pstB,Phosphate&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;PstB,98.6
1348338.ADILRU_1949,EPR75779.1,annotation&nbsp;not&nbsp;available,98.6
1348338.ADILRU_0063,EPR77646.1,annotation&nbsp;not&nbsp;available,98.5
1348338.ADILRU_1465,argB,Acetylglutamate&nbsp;kinase,98.4
1348338.ADILRU_1682,atpE,ATP&nbsp;synthase&nbsp;subunit&nbsp;c,98.3
1348338.ADILRU_0888,EPR77049.1,annotation&nbsp;not&nbsp;available,98.3
1348338.ADILRU_0657,rpsP,annotation&nbsp;not&nbsp;available,98.2
1348338.ADILRU_2393,ctc,50S&nbsp;ribosomal&nbsp;protein&nbsp;L25,98.1
1348338.ADILRU_1898,EPR75728.1,annotation&nbsp;not&nbsp;available,98.0
1348338.ADILRU_0052,EPR77635.1,Trehalose&nbsp;6-phosphate&nbsp;phosphatase,97.7
1348338.ADILRU_2505,EPR75155.1,annotation&nbsp;not&nbsp;available,97.7
1348338.ADILRU_2717,EPR74999.1,annotation&nbsp;not&nbsp;available,97.6
1348338.ADILRU_2473,EPR75332.1,annotation&nbsp;not&nbsp;available,97.5
1348338.ADILRU_0476,EPR77096.1,Octaprenyl&nbsp;diphosphate&nbsp;synthase,97.4
1348338.ADILRU_1426,gpmA,"2,3-bisphosphoglycerate-dependent&nbsp;phosphoglycerate&nbsp;mutase",97.4
1348338.ADILRU_2042,EPR75499.1,annotation&nbsp;not&nbsp;available,97.4
1348338.ADILRU_0618,EPR76779.1,annotation&nbsp;not&nbsp;available,97.1
1348338.ADILRU_0128,purC,annotation&nbsp;not&nbsp;available,97.0
1348338.ADILRU_0168,EPR77469.1,annotation&nbsp;not&nbsp;available,96.8
1348338.ADILRU_2664,rpmG,50S&nbsp;ribosomal&nbsp;protein&nbsp;L33,96.8
1348338.ADILRU_1684,atpH,ATP&nbsp;synthase&nbsp;subunit&nbsp;delta,96.7
1348338.ADILRU_1548,aroK,Shikimate&nbsp;kinase,96.6
1348338.ADILRU_2652,EPR75115.1,annotation&nbsp;not&nbsp;available,96.6
1348338.ADILRU_1435,EPR76301.1,annotation&nbsp;not&nbsp;available,96.6
1348338.ADILRU_1236,adk,Adenylate&nbsp;kinase,96.6
1348338.ADILRU_2081,EPR75538.1,Octaprenyl&nbsp;diphosphate&nbsp;synthase,96.5
1348338.ADILRU_1838,EPR75878.1,Na(+)&nbsp;H(+)&nbsp;antiporter&nbsp;subunit&nbsp;B,96.3
1348338.ADILRU_0221,EPR77522.1,annotation&nbsp;not&nbsp;available,96.2
1348338.ADILRU_1556,rpsD,30S&nbsp;ribosomal&nbsp;protein&nbsp;S4,96.1
1348338.ADILRU_0742,EPR76903.1,annotation&nbsp;not&nbsp;available,96.1
1348338.ADILRU_2425,EPR75284.1,annotation&nbsp;not&nbsp;available,95.8
1348338.ADILRU_1254,tsaD,tRNA&nbsp;N6-adenosine&nbsp;threonylcarbamoyltransferase,95.8
1348338.ADILRU_1219,rplB,50S&nbsp;ribosomal&nbsp;protein&nbsp;L2,95.8
1348338.ADILRU_1467,argC,N-acetyl-gamma-glutamyl-phosphate&nbsp;reductase,95.7
1348338.ADILRU_0060,EPR77643.1,annotation&nbsp;not&nbsp;available,95.5
1348338.ADILRU_0589,EPR77078.1,annotation&nbsp;not&nbsp;available,95.5
1348338.ADILRU_1395,glyA,Serine&nbsp;hydroxymethyltransferase,95.3
1348338.ADILRU_2119,trpD,Anthranilate&nbsp;phosphoribosyltransferase,95.3
