710686.Mycsm_06030,AGB26194.1,PFAM:&nbsp;Glutamate-cysteine&nbsp;ligase&nbsp;family&nbsp;2(GCS2),98.9
710686.Mycsm_04057,AGB24311.1,PFAM:&nbsp;Binding-protein-dependent&nbsp;transport&nbsp;system&nbsp;inner&nbsp;membrane&nbsp;component,98.9
710686.Mycsm_02496,pnp,Polyribonucleotide&nbsp;nucleotidyltransferase,98.8
710686.Mycsm_04304,AGB24552.1,PFAM:&nbsp;Amidase,98.8
710686.Mycsm_02866,AGB23192.1,PFAM:&nbsp;Phosphoenolpyruvate&nbsp;carboxylase,98.8
710686.Mycsm_00221,AGB20679.1,"TIGRFAM:&nbsp;nitrite&nbsp;reductase&nbsp;[NAD(P)H],&nbsp;small&nbsp;subunit",98.7
710686.Mycsm_04371,AGB24615.1,"PFAM:&nbsp;3-hydroxyacyl-CoA&nbsp;dehydrogenase,&nbsp;C-terminal&nbsp;domain",98.5
710686.Mycsm_00408,AGB20861.1,PFAM:&nbsp;ATP-grasp&nbsp;domain,98.5
710686.Mycsm_03424,AGB23724.1,PFAM:&nbsp;Probable&nbsp;molybdopterin&nbsp;binding&nbsp;domain,98.4
710686.Mycsm_03255,AGB23562.1,PFAM:&nbsp;SecA&nbsp;DEAD-like&nbsp;domain,98.4
710686.Mycsm_03461,AGB23758.1,PFAM:&nbsp;Peroxidase,98.3
710686.Mycsm_04848,AGB25067.1,PFAM:&nbsp;Bacterial&nbsp;extracellular&nbsp;solute-binding&nbsp;protein,98.3
710686.Mycsm_01060,AGB21485.1,PFAM:&nbsp;Response&nbsp;regulator&nbsp;receiver&nbsp;domain,98.3
710686.Mycsm_06317,AGB26470.1,PFAM:&nbsp;Binding-protein-dependent&nbsp;transport&nbsp;system&nbsp;inner&nbsp;membrane&nbsp;component,98.2
710686.Mycsm_00622,AGB21068.1,PFAM:&nbsp;Phosphopantetheine&nbsp;attachment&nbsp;site,98.1
710686.Mycsm_03044,AGB23365.1,PFAM:&nbsp;Phosphorylase&nbsp;superfamily,98.1
710686.Mycsm_02446,AGB22783.1,annotation&nbsp;not&nbsp;available,98.1
710686.Mycsm_03958,AGB24219.1,PFAM:&nbsp;RNase&nbsp;H,98.1
