65393.PCC7424_2221,ACK70643.1,KEGG:&nbsp;mar:MAE_25030&nbsp;NAD(P)-dependent&nbsp;glyceraldehyde-3-phosphate&nbsp;dehydrogenase,98.9
65393.PCC7424_5069,ACK73421.1,Multi-sensor&nbsp;signal&nbsp;transduction&nbsp;histidine&nbsp;kinase,98.8
65393.PCC7424_4254,rpmI,PFAM:&nbsp;ribosomal&nbsp;protein&nbsp;L35,98.8
65393.PCC7424_2697,pyrH,Uridylate&nbsp;kinase,98.7
65393.PCC7424_0399,ACK68866.1,Photosystem&nbsp;I&nbsp;P700&nbsp;chlorophyll&nbsp;a&nbsp;apoprotein&nbsp;A2,98.7
65393.PCC7424_2808,ACK71215.1,Phosphate&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;PstB,98.7
65393.PCC7424_0758,sat,KEGG:&nbsp;mar:MAE_17390&nbsp;sulfate&nbsp;adenylyltransferase,98.7
65393.PCC7424_3661,rimK,"TIGRFAM:&nbsp;alpha-L-glutamate&nbsp;ligase,&nbsp;RimK&nbsp;family",98.6
65393.PCC7424_1687,ACK70123.1,KEGG:&nbsp;mar:MAE_56250&nbsp;succinate&nbsp;dehydrogenase&nbsp;flavoprotein&nbsp;subunit,98.6
65393.PCC7424_0231,ychF,Ribosome-binding&nbsp;ATPase&nbsp;YchF,98.6
65393.PCC7424_2273,ACK70695.1,Tryptophan&nbsp;synthase&nbsp;alpha&nbsp;chain,98.5
65393.PCC7424_1886,ACK70318.1,NAD(P)H-quinone&nbsp;oxidoreductase&nbsp;chain&nbsp;4,98.4
65393.PCC7424_5244,ACK73592.1,Glucosamine-6-phosphate&nbsp;deaminase,98.3
65393.PCC7424_5264,rpsP,PFAM:&nbsp;ribosomal&nbsp;protein&nbsp;S16,98.3
65393.PCC7424_2216,ACK70638.1,KEGG:&nbsp;npu:Npun_F6164&nbsp;hypothetical&nbsp;protein,98.3
65393.PCC7424_5273,recF,DNA&nbsp;replication&nbsp;and&nbsp;repair&nbsp;protein&nbsp;RecF,98.3
65393.PCC7424_3524,ACK71916.1,KEGG:&nbsp;mar:MAE_14770&nbsp;nitrate/nitrite&nbsp;transport&nbsp;system&nbsp;ATP-binding&nbsp;protein,98.3
65393.PCC7424_0046,pheA,PFAM:&nbsp;prephenate&nbsp;dehydratase,98.2
65393.PCC7424_1972,ACK70402.1,PEP-utilising&nbsp;protein&nbsp;mobile&nbsp;region,98.2
65393.PCC7424_0166,ACK68636.1,"Fructose-bisphosphate&nbsp;aldolase,&nbsp;class&nbsp;II,&nbsp;Calvin&nbsp;cycle&nbsp;subtype",98.2
65393.PCC7424_5741,ACK73806.1,PFAM:&nbsp;tyrosine&nbsp;protein&nbsp;kinase,98.1
65393.PCC7424_4692,ACK73052.1,Dihydroorotase,98.1
65393.PCC7424_4309,ACK72676.1,PFAM:&nbsp;polysaccharide&nbsp;export&nbsp;protein,98.1
65393.PCC7424_4236,ACK72606.1,"Two&nbsp;component&nbsp;transcriptional&nbsp;regulator,&nbsp;winged&nbsp;helix&nbsp;family",98.1
65393.PCC7424_0156,ACK68626.1,PFAM:&nbsp;PBS&nbsp;lyase&nbsp;HEAT&nbsp;domain&nbsp;protein&nbsp;repeat-containing&nbsp;protein,98.1
65393.PCC7424_3287,ACK71686.1,PFAM:&nbsp;Fimbrial&nbsp;assembly&nbsp;family&nbsp;protein,98.0
65393.PCC7424_3490,ACK71882.1,PFAM:&nbsp;RNA&nbsp;binding&nbsp;S1&nbsp;domain&nbsp;protein,98.0
65393.PCC7424_1758,ACK70193.1,TIGRFAM:&nbsp;diguanylate&nbsp;cyclase,98.0
65393.PCC7424_4596,ACK72958.1,PFAM:&nbsp;glycoside&nbsp;hydrolase&nbsp;family&nbsp;5,97.9
65393.PCC7424_4320,ACK72687.1,PFAM:&nbsp;Excinuclease&nbsp;ABC&nbsp;C&nbsp;subunit&nbsp;domain&nbsp;protein,97.8
65393.PCC7424_2293,ACK70715.1,Photosystem&nbsp;II&nbsp;protein&nbsp;D1,97.8
65393.PCC7424_4234,psbH,Photosystem&nbsp;II&nbsp;reaction&nbsp;center&nbsp;protein&nbsp;H,97.8
65393.PCC7424_1664,ruvC,Crossover&nbsp;junction&nbsp;endodeoxyribonuclease&nbsp;RuvC,97.7
65393.PCC7424_2210,gpmI,"2,3-bisphosphoglycerate-independent&nbsp;phosphoglycerate&nbsp;mutase",97.7
65393.PCC7424_2300,ACK70722.1,ATP-dependent&nbsp;Clp&nbsp;protease&nbsp;proteolytic&nbsp;subunit,97.7
65393.PCC7424_1108,ACK69559.1,PFAM:&nbsp;D12&nbsp;class&nbsp;N6&nbsp;adenine-specific&nbsp;DNA&nbsp;methyltransferase,97.7
65393.PCC7424_3465,rpmA,PFAM:&nbsp;ribosomal&nbsp;protein&nbsp;L27,97.7
65393.PCC7424_3688,ctaB,Protoheme&nbsp;IX&nbsp;farnesyltransferase,97.6
65393.PCC7424_3993,ACK72367.1,PFAM:&nbsp;response&nbsp;regulator&nbsp;receiver,97.6
65393.PCC7424_2270,ACK70692.1,KEGG:&nbsp;npu:Npun_F0725&nbsp;phospho-2-dehydro-3-deoxyheptonate&nbsp;aldolase,97.5
65393.PCC7424_2976,ACK71379.1,PFAM:&nbsp;ABC&nbsp;transporter&nbsp;related,97.5
65393.PCC7424_3677,ACK72060.1,PFAM:&nbsp;isocitrate/isopropylmalate&nbsp;dehydrogenase,97.1
