167555.NATL1_02401,cysC,Adenylyl-sulfate&nbsp;kinase,98.9
167555.NATL1_19771,rpsI,"COG103&nbsp;Ribosomal&nbsp;protein&nbsp;S9&nbsp;[Translation,&nbsp;ribosomal&nbsp;structure&nbsp;and&nbsp;biogenesis]",98.8
167555.NATL1_09531,secF,Protein-export&nbsp;membrane&nbsp;protein&nbsp;SecF,98.7
167555.NATL1_17081,acoA,Pyruvate&nbsp;dehydrogenase&nbsp;E1&nbsp;component&nbsp;subunit&nbsp;alpha,98.5
167555.NATL1_15671,ABM76124.1,Short-chain&nbsp;dehydrogenase/reductase&nbsp;(SDR)&nbsp;superfamily,98.2
167555.NATL1_04401,cobI,COG2243&nbsp;Precorrin-2&nbsp;methylase&nbsp;[Coenzyme&nbsp;metabolism],98.2
167555.NATL1_05311,rplS,50S&nbsp;ribosomal&nbsp;protein&nbsp;L19,98.1
167555.NATL1_11571,gap3,COG57&nbsp;Glyceraldehyde-3-phosphate&nbsp;dehydrogenase/erythrose-4-phosphate&nbsp;dehydrogenase&nbsp;[Carbohydrate&nbsp;transport&nbsp;and&nbsp;metabolism],97.8
167555.NATL1_15951,pntA,"Putative&nbsp;nicotinamide&nbsp;nucleotide&nbsp;transhydrogenase,&nbsp;subunit&nbsp;alpha&nbsp;1&nbsp;(A1)",97.7
167555.NATL1_07891,rpsB,"COG52&nbsp;Ribosomal&nbsp;protein&nbsp;S2&nbsp;[Translation,&nbsp;ribosomal&nbsp;structure&nbsp;and&nbsp;biogenesis]",97.7
167555.NATL1_08751,ABM75433.1,Imidazole&nbsp;glycerol-phosphate&nbsp;synthase,97.6
167555.NATL1_07231,ABM75281.1,"Possible&nbsp;ABC&nbsp;transporter,&nbsp;ATP-binding&nbsp;component",97.6
167555.NATL1_20181,speD,S-adenosylmethionine&nbsp;decarboxylase&nbsp;proenzyme,97.5
167555.NATL1_08261,leuB,3-isopropylmalate&nbsp;dehydrogenase,97.5
167555.NATL1_21391,gcvH,Glycine&nbsp;cleavage&nbsp;system&nbsp;H&nbsp;protein,97.1
167555.NATL1_02311,ndhG,Putative&nbsp;NADH&nbsp;Dehydrogenase&nbsp;(Complex&nbsp;I)&nbsp;subunit&nbsp;(Chain&nbsp;6),96.9
