717774.Marme_0338,Marme_0338,"KEGG:&nbsp;mmw:Mmwyl1_0406&nbsp;phage&nbsp;shock&nbsp;protein&nbsp;A,&nbsp;PspA",98.9
717774.Marme_0009,Marme_0009,PFAM:&nbsp;Bacterial&nbsp;lipid&nbsp;A&nbsp;biosynthesis&nbsp;acyltransferase,98.8
717774.Marme_2555,Marme_2555,Small&nbsp;ribosomal&nbsp;subunit&nbsp;biogenesis&nbsp;GTPase&nbsp;RsgA,98.6
717774.Marme_2034,Marme_2034,PFAM:&nbsp;Type&nbsp;II&nbsp;secretion&nbsp;system&nbsp;protein&nbsp;E,98.6
717774.Marme_0490,Marme_0490,SMART:&nbsp;Phospholipid/glycerol&nbsp;acyltransferase,98.5
717774.Marme_0234,rpsG,30S&nbsp;ribosomal&nbsp;protein&nbsp;S7,98.4
717774.Marme_0887,Marme_0887,Iron-chelate-transporting&nbsp;ATPase,98.1
717774.Marme_0248,rplN,50S&nbsp;ribosomal&nbsp;protein&nbsp;L14,98.1
717774.Marme_3969,Marme_3969,KEGG:&nbsp;pfs:PFLU2011&nbsp;homoserine&nbsp;dehydrogenase,98.0
717774.Marme_0262,rpsD,30S&nbsp;ribosomal&nbsp;protein&nbsp;S4,97.5
717774.Marme_1120,Marme_1120,TIGRFAM:&nbsp;Cysteine&nbsp;synthase&nbsp;B,97.4
717774.Marme_0502,thiL,Thiamine-monophosphate&nbsp;kinase,97.3
717774.Marme_0215,Marme_0215,Succinate&nbsp;dehydrogenase&nbsp;hydrophobic&nbsp;membrane&nbsp;anchor&nbsp;subunit,97.3
717774.Marme_2927,Marme_2927,KEGG:&nbsp;mmw:Mmwyl1_1538&nbsp;beta&nbsp;alanine--pyruvate&nbsp;transaminase,97.3
717774.Marme_0975,tpiA,Triosephosphate&nbsp;isomerase,97.2
717774.Marme_0567,grpE,Protein&nbsp;GrpE,97.2
717774.Marme_0233,rpsL,30S&nbsp;ribosomal&nbsp;protein&nbsp;S12,97.1
717774.Marme_0035,Marme_0035,D-amino-acid&nbsp;dehydrogenase,97.0
717774.Marme_0702,Marme_0702,"PFAM:&nbsp;Bacterial&nbsp;extracellular&nbsp;solute-binding,&nbsp;family&nbsp;1",97.0
717774.Marme_0117,Marme_0117,KEGG:&nbsp;mmw:Mmwyl1_0949&nbsp;inner-membrane&nbsp;translocator,97.0
