1040982.AXAL01000019_gene6613,AXAL01000019_gene6613,annotation&nbsp;not&nbsp;available,98.9
1040982.AXAL01000009_gene5981,ssuB,Aliphatic&nbsp;sulfonates&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;SsuB,98.9
1040982.AXAL01000003_gene3601,AXAL01000003_gene3601,annotation&nbsp;not&nbsp;available,98.9
1040982.AXAL01000003_gene3563,AXAL01000003_gene3563,annotation&nbsp;not&nbsp;available,98.9
1040982.AXAL01000030_gene521,dapB,4-hydroxy-tetrahydrodipicolinate&nbsp;reductase,98.9
1040982.AXAL01000011_gene1106,AXAL01000011_gene1106,annotation&nbsp;not&nbsp;available,98.9
1040982.AXAL01000012_gene896,AXAL01000012_gene896,annotation&nbsp;not&nbsp;available,98.9
1040982.AXAL01000001_gene2224,ndk,Nucleoside&nbsp;diphosphate&nbsp;kinase,98.9
1040982.AXAL01000023_gene2577,AXAL01000023_gene2577,annotation&nbsp;not&nbsp;available,98.8
1040982.AXAL01000011_gene1168,AXAL01000011_gene1168,annotation&nbsp;not&nbsp;available,98.8
1040982.AXAL01000014_gene1410,AXAL01000014_gene1410,annotation&nbsp;not&nbsp;available,98.8
1040982.AXAL01000006_gene246,AXAL01000006_gene246,Cytochrome&nbsp;b,98.8
1040982.AXAL01000001_gene2192,AXAL01000001_gene2192,annotation&nbsp;not&nbsp;available,98.8
1040982.AXAL01000003_gene3599,AXAL01000003_gene3599,annotation&nbsp;not&nbsp;available,98.7
1040982.AXAL01000030_gene541,AXAL01000030_gene541,annotation&nbsp;not&nbsp;available,98.7
1040982.AXAL01000007_gene2994,AXAL01000007_gene2994,annotation&nbsp;not&nbsp;available,98.7
1040982.AXAL01000012_gene840,AXAL01000012_gene840,Flagellar&nbsp;M-ring&nbsp;protein,98.7
1040982.AXAL01000038_gene165,AXAL01000038_gene165,annotation&nbsp;not&nbsp;available,98.7
1040982.AXAL01000012_gene773,AXAL01000012_gene773,annotation&nbsp;not&nbsp;available,98.7
1040982.AXAL01000015_gene2357,AXAL01000015_gene2357,annotation&nbsp;not&nbsp;available,98.6
1040982.AXAL01000003_gene3401,AXAL01000003_gene3401,annotation&nbsp;not&nbsp;available,98.6
1040982.AXAL01000016_gene5217,ureG,Urease&nbsp;accessory&nbsp;protein&nbsp;UreG,98.6
1040982.AXAL01000026_gene3320,AXAL01000026_gene3320,annotation&nbsp;not&nbsp;available,98.6
1040982.AXAL01000031_gene640,AXAL01000031_gene640,annotation&nbsp;not&nbsp;available,98.6
1040982.AXAL01000001_gene1628,AXAL01000001_gene1628,annotation&nbsp;not&nbsp;available,98.6
1040982.AXAL01000032_gene4187,AXAL01000032_gene4187,annotation&nbsp;not&nbsp;available,98.6
1040982.AXAL01000024_gene6359,AXAL01000024_gene6359,annotation&nbsp;not&nbsp;available,98.5
1040982.AXAL01000037_gene3227,AXAL01000037_gene3227,annotation&nbsp;not&nbsp;available,98.5
1040982.AXAL01000016_gene5294,AXAL01000016_gene5294,annotation&nbsp;not&nbsp;available,98.5
1040982.AXAL01000008_gene4891,AXAL01000008_gene4891,annotation&nbsp;not&nbsp;available,98.4
1040982.AXAL01000012_gene833,AXAL01000012_gene833,annotation&nbsp;not&nbsp;available,98.4
1040982.AXAL01000030_gene517,AXAL01000030_gene517,annotation&nbsp;not&nbsp;available,98.4
1040982.AXAL01000008_gene4773,cpdA,"3',5'-cyclic&nbsp;adenosine&nbsp;monophosphate&nbsp;phosphodiesterase&nbsp;CpdA",98.4
1040982.AXAL01000029_gene4249,AXAL01000029_gene4249,annotation&nbsp;not&nbsp;available,98.4
1040982.AXAL01000038_gene151,AXAL01000038_gene151,annotation&nbsp;not&nbsp;available,98.3
1040982.AXAL01000025_gene6701,AXAL01000025_gene6701,annotation&nbsp;not&nbsp;available,98.3
1040982.AXAL01000001_gene1771,alaS,Alanine--tRNA&nbsp;ligase,98.2
1040982.AXAL01000003_gene3588,AXAL01000003_gene3588,annotation&nbsp;not&nbsp;available,98.2
1040982.AXAL01000031_gene683,AXAL01000031_gene683,annotation&nbsp;not&nbsp;available,98.2
1040982.AXAL01000008_gene4728,aroK,Shikimate&nbsp;kinase,98.2
1040982.AXAL01000017_gene5129,AXAL01000017_gene5129,annotation&nbsp;not&nbsp;available,98.2
1040982.AXAL01000001_gene2177,AXAL01000001_gene2177,annotation&nbsp;not&nbsp;available,98.2
1040982.AXAL01000009_gene6052,AXAL01000009_gene6052,annotation&nbsp;not&nbsp;available,98.1
1040982.AXAL01000014_gene1342,rpmE,50S&nbsp;ribosomal&nbsp;protein&nbsp;L31,98.1
1040982.AXAL01000002_gene5496,AXAL01000002_gene5496,annotation&nbsp;not&nbsp;available,98.1
1040982.AXAL01000001_gene2100,AXAL01000001_gene2100,annotation&nbsp;not&nbsp;available,98.1
1040982.AXAL01000012_gene778,AXAL01000012_gene778,annotation&nbsp;not&nbsp;available,98.1
1040982.AXAL01000015_gene2378,glgB,"1,4-alpha-glucan&nbsp;branching&nbsp;enzyme&nbsp;GlgB",98.0
1040982.AXAL01000001_gene2257,AXAL01000001_gene2257,annotation&nbsp;not&nbsp;available,98.0
1040982.AXAL01000015_gene2362,AXAL01000015_gene2362,annotation&nbsp;not&nbsp;available,97.9
1040982.AXAL01000007_gene3061,AXAL01000007_gene3061,annotation&nbsp;not&nbsp;available,97.9
1040982.AXAL01000003_gene3451,pdxH,Pyridoxine/pyridoxamine&nbsp;5'-phosphate&nbsp;oxidase,97.9
1040982.AXAL01000012_gene780,AXAL01000012_gene780,annotation&nbsp;not&nbsp;available,97.9
1040982.AXAL01000010_gene3984,AXAL01000010_gene3984,annotation&nbsp;not&nbsp;available,97.9
1040982.AXAL01000019_gene6647,AXAL01000019_gene6647,annotation&nbsp;not&nbsp;available,97.9
1040982.AXAL01000002_gene5668,AXAL01000002_gene5668,annotation&nbsp;not&nbsp;available,97.8
1040982.AXAL01000018_gene2713,AXAL01000018_gene2713,annotation&nbsp;not&nbsp;available,97.8
1040982.AXAL01000001_gene1541,AXAL01000001_gene1541,annotation&nbsp;not&nbsp;available,97.8
1040982.AXAL01000002_gene5527,AXAL01000002_gene5527,annotation&nbsp;not&nbsp;available,97.8
1040982.AXAL01000001_gene2255,AXAL01000001_gene2255,annotation&nbsp;not&nbsp;available,97.8
1040982.AXAL01000026_gene3272,AXAL01000026_gene3272,annotation&nbsp;not&nbsp;available,97.8
1040982.AXAL01000009_gene6125,AXAL01000009_gene6125,Aconitate&nbsp;hydratase,97.7
1040982.AXAL01000015_gene2371,AXAL01000015_gene2371,annotation&nbsp;not&nbsp;available,97.7
1040982.AXAL01000027_gene3170,AXAL01000027_gene3170,annotation&nbsp;not&nbsp;available,97.7
1040982.AXAL01000034_gene4,AXAL01000034_gene4,annotation&nbsp;not&nbsp;available,97.7
1040982.AXAL01000006_gene475,AXAL01000006_gene475,annotation&nbsp;not&nbsp;available,97.7
1040982.AXAL01000018_gene2686,AXAL01000018_gene2686,annotation&nbsp;not&nbsp;available,97.7
1040982.AXAL01000017_gene5140,AXAL01000017_gene5140,annotation&nbsp;not&nbsp;available,97.7
1040982.AXAL01000010_gene3944,AXAL01000010_gene3944,annotation&nbsp;not&nbsp;available,97.6
1040982.AXAL01000001_gene1637,AXAL01000001_gene1637,annotation&nbsp;not&nbsp;available,97.6
1040982.AXAL01000003_gene3422,AXAL01000003_gene3422,Cytochrome&nbsp;c&nbsp;oxidase&nbsp;subunit&nbsp;2,97.6
1040982.AXAL01000007_gene2857,AXAL01000007_gene2857,annotation&nbsp;not&nbsp;available,97.5
1040982.AXAL01000014_gene1374,AXAL01000014_gene1374,annotation&nbsp;not&nbsp;available,97.5
1040982.AXAL01000006_gene239,AXAL01000006_gene239,annotation&nbsp;not&nbsp;available,97.5
1040982.AXAL01000023_gene2519,AXAL01000023_gene2519,annotation&nbsp;not&nbsp;available,97.5
1040982.AXAL01000009_gene6141,AXAL01000009_gene6141,annotation&nbsp;not&nbsp;available,97.5
1040982.AXAL01000001_gene1743,purQ,Phosphoribosylformylglycinamidine&nbsp;synthase&nbsp;subunit&nbsp;PurQ,97.4
1040982.AXAL01000003_gene3641,AXAL01000003_gene3641,annotation&nbsp;not&nbsp;available,97.4
1040982.AXAL01000006_gene496,AXAL01000006_gene496,annotation&nbsp;not&nbsp;available,97.4
1040982.AXAL01000014_gene1332,AXAL01000014_gene1332,Elongation&nbsp;factor&nbsp;P,97.4
1040982.AXAL01000005_gene3736,AXAL01000005_gene3736,annotation&nbsp;not&nbsp;available,97.4
1040982.AXAL01000022_gene6394,AXAL01000022_gene6394,annotation&nbsp;not&nbsp;available,97.4
1040982.AXAL01000002_gene5493,AXAL01000002_gene5493,annotation&nbsp;not&nbsp;available,97.4
1040982.AXAL01000005_gene3797,AXAL01000005_gene3797,annotation&nbsp;not&nbsp;available,97.4
1040982.AXAL01000001_gene1777,AXAL01000001_gene1777,annotation&nbsp;not&nbsp;available,97.3
1040982.AXAL01000002_gene5565,AXAL01000002_gene5565,annotation&nbsp;not&nbsp;available,97.3
1040982.AXAL01000016_gene5364,AXAL01000016_gene5364,annotation&nbsp;not&nbsp;available,97.2
1040982.AXAL01000011_gene1276,AXAL01000011_gene1276,annotation&nbsp;not&nbsp;available,97.2
1040982.AXAL01000002_gene5791,AXAL01000002_gene5791,annotation&nbsp;not&nbsp;available,97.2
1040982.AXAL01000004_gene4421,AXAL01000004_gene4421,annotation&nbsp;not&nbsp;available,97.1
1040982.AXAL01000010_gene4085,AXAL01000010_gene4085,annotation&nbsp;not&nbsp;available,97.1
1040982.AXAL01000016_gene5300,AXAL01000016_gene5300,annotation&nbsp;not&nbsp;available,97.1
1040982.AXAL01000033_gene4360,AXAL01000033_gene4360,annotation&nbsp;not&nbsp;available,97.1
1040982.AXAL01000011_gene1256,AXAL01000011_gene1256,Non-homologous&nbsp;end&nbsp;joining&nbsp;protein&nbsp;Ku,97.0
1040982.AXAL01000020_gene5823,AXAL01000020_gene5823,annotation&nbsp;not&nbsp;available,97.0
1040982.AXAL01000003_gene3449,AXAL01000003_gene3449,annotation&nbsp;not&nbsp;available,97.0
1040982.AXAL01000004_gene4446,AXAL01000004_gene4446,annotation&nbsp;not&nbsp;available,97.0
1040982.AXAL01000004_gene4480,AXAL01000004_gene4480,annotation&nbsp;not&nbsp;available,97.0
1040982.AXAL01000001_gene2159,AXAL01000001_gene2159,annotation&nbsp;not&nbsp;available,97.0
