1385517.N800_02535,leuA,2-isopropylmalate&nbsp;synthase,98.9
1385517.N800_14545,N800_14545,Acyl-CoA&nbsp;dehydrogenase,98.9
1385517.N800_01180,aroK,Shikimate&nbsp;kinase,98.8
1385517.N800_14005,purT,Formate-dependent&nbsp;phosphoribosylglycinamide&nbsp;formyltransferase,98.8
1385517.N800_08360,N800_08360,Alanine&nbsp;dehydrogenase,98.8
1385517.N800_04085,N800_04085,Nitroreductase,98.8
1385517.N800_09175,himD,Integration&nbsp;host&nbsp;factor&nbsp;subunit&nbsp;beta,98.7
1385517.N800_12515,N800_12515,Uncharacterized&nbsp;protein,98.6
1385517.N800_14990,N800_14990,Cysteine&nbsp;synthase,98.6
1385517.N800_08200,N800_08200,Uncharacterized&nbsp;protein,98.6
1385517.N800_12640,N800_12640,Acetyl-CoA&nbsp;acetyltransferase,98.5
1385517.N800_15265,rpmE2,50S&nbsp;ribosomal&nbsp;protein&nbsp;L31&nbsp;type&nbsp;B,98.5
1385517.N800_11450,N800_11450,Acetyl-CoA&nbsp;acetyltransferase,98.4
1385517.N800_01335,N800_01335,E3&nbsp;component&nbsp;of&nbsp;2-oxoglutarate&nbsp;dehydrogenase&nbsp;complex,98.4
1385517.N800_02160,N800_02160,Aldehyde&nbsp;dehydrogenase,98.4
1385517.N800_10075,pheS,Phenylalanine--tRNA&nbsp;ligase&nbsp;alpha&nbsp;subunit,98.4
1385517.N800_01815,N800_01815,FAD-linked&nbsp;oxidase,98.4
1385517.N800_00260,N800_00260,Uncharacterized&nbsp;protein,98.3
1385517.N800_09045,N800_09045,Phosphoenolpyruvate&nbsp;synthase,98.3
1385517.N800_07835,N800_07835,Hydrolase,98.3
1385517.N800_09615,N800_09615,HAD&nbsp;family&nbsp;hydrolase,98.2
1385517.N800_12840,panC,Pantothenate&nbsp;synthetase,98.1
1385517.N800_13100,nuoI,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;I,98.1
1385517.N800_02400,N800_02400,Uncharacterized&nbsp;protein,97.9
1385517.N800_13785,purA,Adenylosuccinate&nbsp;synthetase,97.9
