393595.ABO_2296,waaP2,Lipopolysaccharide&nbsp;core&nbsp;heptose(I)&nbsp;kinase,98.7
393595.ABO_0726,ABO_0726,"(lactoylglutathione&nbsp;lyase,&nbsp;methylglyoxalase,&nbsp;aldoketomutase,&nbsp;glyoxalase&nbsp;I,&nbsp;ketone-aldehyde&nbsp;mutase,&nbsp;S-D-lactoylglutathione&nbsp;methylglyoxal&nbsp;lyase)&nbsp;identified&nbsp;by&nbsp;sequence&nbsp;similarity",98.7
393595.ABO_0602,ftsA,Cell&nbsp;division&nbsp;protein&nbsp;FtsA,98.6
393595.ABO_1917,plsC1,1-acyl-sn-glycerol-3-phosphate&nbsp;acyltransferase,98.5
393595.ABO_1745,rpsA,30S&nbsp;ribosomal&nbsp;protein&nbsp;S1,98.5
393595.ABO_1989,pfkA,Pyrophosphate--fructose&nbsp;6-phosphate&nbsp;1-phosphotransferase,98.4
393595.ABO_2511,ABO_2511,(branched-chain&nbsp;amino&nbsp;acid&nbsp;ABC&nbsp;transporter&nbsp;permease&nbsp;protein&nbsp;putative)&nbsp;identified&nbsp;by&nbsp;sequence&nbsp;similarity&nbsp;and&nbsp;by&nbsp;match&nbsp;to&nbsp;PFAM&nbsp;protein&nbsp;family&nbsp;HMMPF02653,98.4
393595.ABO_2725,atpC,ATP&nbsp;synthase&nbsp;epsilon&nbsp;chain,98.2
393595.ABO_0426,ABO_0426,Glycerophosphoryl&nbsp;diester&nbsp;phosphodiesterase,98.2
393595.ABO_0398,rplD,50S&nbsp;ribosomal&nbsp;protein&nbsp;L4,98.1
393595.ABO_2009,accB,Biotin&nbsp;carboxyl&nbsp;carrier&nbsp;protein&nbsp;of&nbsp;acetyl-CoA&nbsp;carboxylase,98.1
393595.ABO_1731,ABO_1731,(acetyl-CoA&nbsp;synthetase&nbsp;putative)&nbsp;identified&nbsp;by&nbsp;sequence&nbsp;similarity,98.1
393595.ABO_1982,livG,"(branched-chain&nbsp;amino&nbsp;acid&nbsp;ABC&nbsp;transporter,&nbsp;ATP-binding&nbsp;protein)&nbsp;identified&nbsp;by&nbsp;sequence&nbsp;similarity&nbsp;and&nbsp;by&nbsp;match&nbsp;to&nbsp;PFAM&nbsp;protein&nbsp;family&nbsp;HMMPF00005",98.1
393595.ABO_0155,znuA,High-affinity&nbsp;zinc&nbsp;uptake&nbsp;system&nbsp;protein&nbsp;znuA,98.1
393595.ABO_1801,recA,Protein&nbsp;RecA,98.0
393595.ABO_0632,ABO_0632,(oxidoreductase&nbsp;short&nbsp;chaindehydrogenase/reductase&nbsp;family)&nbsp;identified&nbsp;by&nbsp;sequencesimilarity,97.9
393595.ABO_2510,ABO_2510,(branched-chain&nbsp;amino&nbsp;acid&nbsp;ABC&nbsp;transporter&nbsp;permease&nbsp;protein&nbsp;putative)&nbsp;identified&nbsp;by&nbsp;match&nbsp;to&nbsp;PFAM&nbsp;protein&nbsp;family&nbsp;HMMPF02653,97.9
393595.ABO_0779,purC,(phosphoribosylaminoimidazole-succinocarboxamidesyn&nbsp;thase)&nbsp;identified&nbsp;by&nbsp;sequence&nbsp;similarity,97.8
393595.ABO_2211,rsgA,Small&nbsp;ribosomal&nbsp;subunit&nbsp;biogenesis&nbsp;GTPase&nbsp;RsgA,97.8
393595.ABO_2376,cobC,Cobalamin&nbsp;biosynthesis&nbsp;protein&nbsp;CobC,97.8
393595.ABO_0435,ABO_0435,Unnamed&nbsp;protein&nbsp;product,97.7
393595.ABO_0296,ABO_0296,"(isocitrate&nbsp;dehydrogenase&nbsp;NADP-dependent,&nbsp;oxalosuccinate&nbsp;decarboxylase)&nbsp;identified&nbsp;by&nbsp;sequence&nbsp;similarity",97.7
393595.ABO_0325,tpiA,Triosephosphate&nbsp;isomerase,97.5
393595.ABO_0683,plsC2,1-acyl-sn-glycerol-3-phosphate&nbsp;acyltransferase,97.5
393595.ABO_0967,ABO_0967,2-dehydropantoate&nbsp;2-reductase,97.4
393595.ABO_0643,prfC,Peptide&nbsp;chain&nbsp;release&nbsp;factor&nbsp;3,97.3
393595.ABO_1721,ABO_1721,Phosphate&nbsp;ABC&nbsp;transporter&nbsp;periplasmicphosphate-binding&nbsp;protein&nbsp;putative&nbsp;identified&nbsp;by&nbsp;sequence&nbsp;similarity,97.3
393595.ABO_1219,ABO_1219,(oligopeptide&nbsp;ABC&nbsp;transporter&nbsp;periplasmic&nbsp;peptide-binding&nbsp;protein&nbsp;putative)&nbsp;identified&nbsp;by&nbsp;sequence&nbsp;similarity&nbsp;and&nbsp;by&nbsp;match&nbsp;to&nbsp;PFAM&nbsp;protein&nbsp;family&nbsp;HMMPF00496,97.0
393595.ABO_0603,ftsZ,Cell&nbsp;division&nbsp;protein&nbsp;FtsZ,97.0
393595.ABO_1514,talB,Transaldolase,96.8
393595.ABO_0351,mrcB,Penicillin-binding&nbsp;protein&nbsp;1B,96.8
393595.ABO_1239,ABO_1239,"(Acetyl-CoA&nbsp;carboxylase,&nbsp;carboxyltransferase&nbsp;component&nbsp;(subunits&nbsp;alpha&nbsp;and&nbsp;beta),&nbsp;putative)&nbsp;identified&nbsp;by&nbsp;sequencesimilarity",96.7
393595.ABO_1496,sucA,(kgdA)&nbsp;(2-oxoglutarate&nbsp;dehydrogenase&nbsp;E1&nbsp;component)&nbsp;identified&nbsp;by&nbsp;sequence&nbsp;similarity,96.4
393595.ABO_1723,ABO_1723,annotation&nbsp;not&nbsp;available,96.4
393595.ABO_0872,ccmC,Heme&nbsp;exporter&nbsp;protein&nbsp;C,96.4
393595.ABO_1222,bla,Hydroxyacylglutathione&nbsp;hydrolase,96.4
393595.ABO_1201,acnB,Aconitate&nbsp;hydratase&nbsp;B,96.4
393595.ABO_0833,ABO_0833,acyl-CoA&nbsp;dehydrogenase&nbsp;family&nbsp;protein&nbsp;identified&nbsp;by&nbsp;match&nbsp;to&nbsp;PFAM&nbsp;protein&nbsp;family&nbsp;HMMPF00441&nbsp;InterPro:&nbsp;Acyl-CoA&nbsp;dehydrogenase,96.4
393595.ABO_2513,ABO_2513,"Amino&nbsp;acid&nbsp;ABC&nbsp;transporter,&nbsp;ATP-binding&nbsp;protein",96.2
393595.ABO_0855,nirB1,(nitrite&nbsp;reductase)&nbsp;identified&nbsp;by&nbsp;sequence&nbsp;similarity,96.2
393595.ABO_0735,recQ1,ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RecQ,96.0
393595.ABO_1470,leuC,3-isopropylmalate&nbsp;dehydratase&nbsp;large&nbsp;subunit,95.9
393595.ABO_1369,lspA,Lipoprotein&nbsp;signal&nbsp;peptidase,95.8
393595.ABO_0563,hisC-1,"(histidinol-phosphate&nbsp;aminotransferase,&nbsp;imidazole&nbsp;acetol-phosphate&nbsp;transaminase)&nbsp;identified&nbsp;by&nbsp;sequence&nbsp;similarity",95.7
393595.ABO_2021,speD,S-adenosylmethionine&nbsp;decarboxylase&nbsp;proenzyme,95.5
393595.ABO_2591,gcvP-1,Probable&nbsp;glycine&nbsp;dehydrogenase&nbsp;(decarboxylating)&nbsp;subunit&nbsp;2,95.1
393595.ABO_2720,ureB,"(urease&nbsp;beta&nbsp;subunit,&nbsp;urea&nbsp;amidohydrolase)&nbsp;identified&nbsp;by&nbsp;sequence&nbsp;similarity",95.0
393595.ABO_2742,atfA1,"Acyltransferase,&nbsp;homologous&nbsp;to&nbsp;ABO_1804,&nbsp;AtfA2&nbsp;and&nbsp;to&nbsp;the&nbsp;ACIAD0832,&nbsp;wax&nbsp;ester&nbsp;synthase/&nbsp;diacylglycerol&nbsp;acyltransferase&nbsp;of&nbsp;Acinetobacter&nbsp;sp.&nbsp;AP1",95.0
393595.ABO_1818,recC,RecBCD&nbsp;enzyme&nbsp;subunit&nbsp;RecC,95.0
393595.ABO_1497,sdhB,(succinate&nbsp;dehydrogenase&nbsp;iron-sulfur&nbsp;protein)&nbsp;identified&nbsp;by&nbsp;match&nbsp;to&nbsp;TIGR&nbsp;protein&nbsp;family&nbsp;HMMTIGR00384&nbsp;InterPro:&nbsp;Succinate&nbsp;dehydrogenase/fumarate&nbsp;reductase&nbsp;iron-sulfur&nbsp;protein&nbsp;catalytic&nbsp;activity:&nbsp;succinate&nbsp;+&nbsp;ubiquinone&nbsp;=&nbsp;fumarate&nbsp;+&nbsp;ubiquinol,94.9
