556269.ACDQ01000010_gene1923,guaB,Inosine-5'-monophosphate&nbsp;dehydrogenase,98.5
556269.ACDQ01000001_gene1223,OFBG_00052,annotation&nbsp;not&nbsp;available,98.4
556269.ACDQ01000011_gene90,gloB,Hydroxyacylglutathione&nbsp;hydrolase,98.4
556269.ACDQ01000011_gene220,purF,Amidophosphoribosyltransferase,98.4
556269.ACDQ01000010_gene1915,nadA,Quinolinate&nbsp;synthase,98.3
556269.ACDQ01000001_gene1206,iscU,Iron-sulfur&nbsp;cluster&nbsp;assembly&nbsp;scaffold&nbsp;protein&nbsp;IscU,98.2
556269.ACDQ01000019_gene746,rplD,50S&nbsp;ribosomal&nbsp;protein&nbsp;L4,98.2
556269.ACDQ01000019_gene779,xseA,Exodeoxyribonuclease&nbsp;7&nbsp;large&nbsp;subunit,98.0
556269.ACDQ01000013_gene647,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine&nbsp;ligase,98.0
556269.ACDQ01000017_gene922,proA,Gamma-glutamyl&nbsp;phosphate&nbsp;reductase,97.9
556269.ACDQ01000003_gene1483,sucA,annotation&nbsp;not&nbsp;available,97.9
556269.ACDQ01000016_gene474,pabA,annotation&nbsp;not&nbsp;available,97.9
556269.ACDQ01000019_gene758,rpsH,30S&nbsp;ribosomal&nbsp;protein&nbsp;S8,97.7
556269.ACDQ01000011_gene332,OFBG_01451,annotation&nbsp;not&nbsp;available,97.6
556269.ACDQ01000010_gene1858,purN,Phosphoribosylglycinamide&nbsp;formyltransferase,97.5
556269.ACDQ01000018_gene942,rplA,50S&nbsp;ribosomal&nbsp;protein&nbsp;L1,97.4
556269.ACDQ01000011_gene124,gloA,Lactoylglutathione&nbsp;lyase,97.3
556269.ACDQ01000011_gene328,spoT,"Guanosine-3',5'-bis(diphosphate)&nbsp;3'-pyrophosphohydrolase",97.3
556269.ACDQ01000018_gene945,rpoB,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta,97.2
556269.ACDQ01000019_gene776,OFBG_02028,annotation&nbsp;not&nbsp;available,96.9
