359.CN09_33995,CN09_33995,Phosphoribosyltransferase,98.9
359.CN09_03650,CN09_03650,Histidine&nbsp;kinase,98.9
359.CN09_04775,CN09_04775,Sugar&nbsp;ABC&nbsp;transporter&nbsp;permease,98.8
359.CN09_01005,CN09_01005,ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein,98.8
359.CN09_20615,CN09_20615,Peptide&nbsp;ABC&nbsp;transporter&nbsp;permease,98.7
359.CN09_09955,CN09_09955,NADH-quinone&nbsp;oxidoreductase&nbsp;chain&nbsp;13,98.7
359.CN09_23630,CN09_23630,Precorrin-4&nbsp;C11-methyltransferase,98.7
359.CN09_10945,CN09_10945,Superoxide&nbsp;dismutase&nbsp;[Cu-Zn],98.7
359.CN09_07015,CN09_07015,Serine&nbsp;dehydratase,98.7
359.CN09_32800,CN09_32800,ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,98.7
359.CN09_29440,rpmF,50S&nbsp;ribosomal&nbsp;protein&nbsp;L32,98.7
359.CN09_14515,CN09_14515,Cell&nbsp;division&nbsp;protein&nbsp;DivIVA,98.7
359.CN09_12995,CN09_12995,Ubiquinol&nbsp;oxidase&nbsp;subunit&nbsp;2,98.6
359.CN09_01655,CN09_01655,Sarcosine&nbsp;oxidase&nbsp;subunit&nbsp;alpha,98.6
359.CN09_09810,CN09_09810,Dihydroorotase,98.6
359.CN09_00020,CN09_00020,Dioxygenase,98.6
359.CN09_30950,CN09_30950,Allophanate&nbsp;hydrolase,98.6
359.CN09_29455,CN09_29455,Farnesyl-diphosphate&nbsp;synthase,98.5
359.CN09_09975,nuoI,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;I,98.5
359.CN09_27520,CN09_27520,Acyl-phosphate&nbsp;glycerol&nbsp;3-phosphate&nbsp;acyltransferase,98.5
359.CN09_00335,CN09_00335,With&nbsp;AhpF&nbsp;catalyzes&nbsp;the&nbsp;conversion&nbsp;of&nbsp;alkyl&nbsp;hydroperoxides&nbsp;to&nbsp;their&nbsp;corresponding&nbsp;alcohols,98.4
359.CN09_31580,CN09_31580,Histidine&nbsp;kinase,98.4
359.CN09_34210,rpsO,30S&nbsp;ribosomal&nbsp;protein&nbsp;S15,98.4
359.CN09_20640,CN09_20640,Sulfonate&nbsp;ABC&nbsp;transporter&nbsp;permease,98.3
359.CN09_20945,CN09_20945,Transketolase,98.2
359.CN09_27770,CN09_27770,Chemotaxis&nbsp;protein&nbsp;CheW,98.2
359.CN09_32415,CN09_32415,Hydrolase,98.2
359.CN09_22445,CN09_22445,Nitrate&nbsp;ABC&nbsp;transporter&nbsp;ATPase,98.1
359.CN09_20690,CN09_20690,Spermidine/putrescine&nbsp;ABC&nbsp;transporter,98.1
359.CN09_34110,CN09_34110,Prephenate&nbsp;dehydratase,98.1
359.CN09_11865,CN09_11865,Transcriptional&nbsp;regulator,98.1
359.CN09_13040,CN09_13040,Diguanylate&nbsp;cyclase,98.0
