340.xcc-b100_2247,flgE,Flagellar&nbsp;hook&nbsp;protein&nbsp;FlgE,98.9
340.xcc-b100_3189,rplU,50S&nbsp;ribosomal&nbsp;protein&nbsp;L21,98.9
340.xcc-b100_0720,adh,Zn-dependent&nbsp;alcohol&nbsp;dehydrogenases&nbsp;class&nbsp;III,98.9
340.xcc-b100_1456,cheB2,Chemotaxis&nbsp;response&nbsp;regulator&nbsp;protein-glutamate&nbsp;methylesterase&nbsp;of&nbsp;group&nbsp;2&nbsp;operon,98.8
340.xcc-b100_3730,xanB,Xanthan&nbsp;biosynthesis&nbsp;protein&nbsp;XanB,98.8
340.xcc-b100_2098,hisB,Histidine&nbsp;biosynthesis&nbsp;bifunctional&nbsp;protein&nbsp;HisB,98.7
340.xcc-b100_1802,fruB,Multiphosphoryl&nbsp;transfer&nbsp;protein,98.7
340.xcc-b100_0207,amtB,Ammonium&nbsp;transporter,98.6
340.xcc-b100_3449,rplN,50S&nbsp;ribosomal&nbsp;protein&nbsp;L14,98.6
340.xcc-b100_4100,tptC,ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein,98.6
340.xcc-b100_3463,rpsG,30S&nbsp;ribosomal&nbsp;protein&nbsp;S7,98.5
340.xcc-b100_4429,yrbD,Toluene&nbsp;tolerance&nbsp;protein,98.4
340.xcc-b100_1225,XCC2929,Uncharacterized&nbsp;protein,98.3
340.xcc-b100_3720,XCC0634,ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein,98.3
340.xcc-b100_3477,prs,Ribose-phosphate&nbsp;pyrophosphokinase,98.2
340.xcc-b100_1379,comEA,DNA&nbsp;uptake&nbsp;protein&nbsp;and&nbsp;related&nbsp;DNA-binding&nbsp;proteins,98.1
340.xcc-b100_2771,XCC1501,Glutathione&nbsp;peroxidase,97.9
340.xcc-b100_4183,ecaA,Carbonic&nbsp;anhydrase,97.9
340.xcc-b100_0995,cysG,Siroheme&nbsp;synthase,97.8
340.xcc-b100_3454,rplV,50S&nbsp;ribosomal&nbsp;protein&nbsp;L22,97.8
340.xcc-b100_3315,prpR,Propionate&nbsp;catabolism&nbsp;regulatory&nbsp;protein,97.8
340.xcc-b100_2556,ispF,"2-C-methyl-D-erythritol&nbsp;2,4-cyclodiphosphate&nbsp;synthase",97.8
340.xcc-b100_1648,nusA,Transcription&nbsp;termination/antitermination&nbsp;protein&nbsp;NusA,97.7
340.xcc-b100_3338,fabF1,3-oxoacyl-[acyl-carrier-protein]&nbsp;synthase&nbsp;2,97.6
