83332.Rv0127,mak,Maltokinase,98.7
83332.Rv3084,lipR,Putative&nbsp;acetyl-hydrolase&nbsp;LipR,98.5
83332.Rv0055,rpsR1,30S&nbsp;ribosomal&nbsp;protein&nbsp;S18&nbsp;1,98.5
83332.Rv0721,rpsE,30S&nbsp;ribosomal&nbsp;protein&nbsp;S5,98.2
83332.Rv0428c,Rv0428c,GCN5-related&nbsp;N-acetyltransferase,98.0
83332.Rv2211c,gcvT,Aminomethyltransferase,97.7
83332.Rv2785c,rpsO,30S&nbsp;ribosomal&nbsp;protein&nbsp;S15,97.7
83332.Rv2860c,glnA4,"Rv2860c,&nbsp;(MTV003.06c),&nbsp;len:&nbsp;457&nbsp;aa.&nbsp;Probable&nbsp;glnA4,glutamine&nbsp;synthetase&nbsp;class&nbsp;II,&nbsp;similar&nbsp;to&nbsp;many&nbsp;glutamine&nbsp;synthases&nbsp;e.g.&nbsp;O88070|SCI35.35c&nbsp;from&nbsp;Streptomyces&nbsp;coelicolor&nbsp;(462&nbsp;aa),&nbsp;FASTA&nbsp;scores:&nbsp;opt:&nbsp;1947,&nbsp;E():&nbsp;8.2e-120,&nbsp;(64.15%&nbsp;identity&nbsp;in&nbsp;452&nbsp;aa&nbsp;overlap)",97.6
83332.Rv0860,fadB,"Rv0860,&nbsp;(MTV043.53),&nbsp;len:&nbsp;720&nbsp;aa.&nbsp;Probable&nbsp;fadB,fatty&nbsp;oxidation&nbsp;protein,&nbsp;equivalent&nbsp;to&nbsp;NP_302422.1|NC_002677&nbsp;putative&nbsp;fatty&nbsp;oxidation&nbsp;complex&nbsp;alpha&nbsp;subunit&nbsp;from&nbsp;Mycobacterium&nbsp;leprae&nbsp;(714&nbsp;aa).&nbsp;Also&nbsp;highly&nbsp;similar&nbsp;to&nbsp;others&nbsp;and&nbsp;various&nbsp;proteins&nbsp;involved&nbsp;in&nbsp;fatty&nbsp;acid&nbsp;metabolism,&nbsp;e.g.&nbsp;T35429&nbsp;probable&nbsp;fatty&nbsp;oxidation&nbsp;protein&nbsp;from&nbsp;Streptomyces&nbsp;coelicolor&nbsp;(733&nbsp;aa)",97.6
83332.Rv3086,adhD,Putative&nbsp;alcohol&nbsp;dehydrogenase&nbsp;D,97.5
83332.Rv0069c,sdaA,L-serine&nbsp;dehydratase,97.3
83332.Rv0032,bioF2,Putative&nbsp;8-amino-7-oxononanoate&nbsp;synthase&nbsp;2,97.2
83332.Rv1630,rpsA,30S&nbsp;ribosomal&nbsp;protein&nbsp;S1,97.2
83332.Rv0218,Rv0218,"Rv0218,&nbsp;(MTCY08D5.13),&nbsp;len:&nbsp;442&nbsp;aa.&nbsp;Probable&nbsp;conserved&nbsp;transmembrane&nbsp;protein,&nbsp;some&nbsp;similarity&nbsp;with&nbsp;sulfite&nbsp;oxidases&nbsp;e.g.&nbsp;SUOX_HUMAN|P51687&nbsp;sulfite&nbsp;oxidase&nbsp;precursor&nbsp;(488&nbsp;aa),&nbsp;FASTA&nbsp;scores:&nbsp;opt:&nbsp;153,&nbsp;E():&nbsp;0.0087,(28.6%&nbsp;identity&nbsp;in&nbsp;161&nbsp;aa&nbsp;overlap)",96.9
83332.Rv1653,argJ,Arginine&nbsp;biosynthesis&nbsp;bifunctional&nbsp;protein&nbsp;ArgJ,96.9
83332.Rv2363,amiA2,Putative&nbsp;amidase&nbsp;AmiA2,96.9
83332.Rv0952,sucD,Succinate--CoA&nbsp;ligase&nbsp;[ADP-forming]&nbsp;subunit&nbsp;alpha,96.9
83332.Rv0761c,adhB,Alcohol&nbsp;dehydrogenase&nbsp;B,96.7
83332.Rv1821,secA2,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecA&nbsp;2,96.6
83332.Rv3859c,gltB,Glutamate&nbsp;synthase&nbsp;[NADPH]&nbsp;large&nbsp;chain,96.4
83332.Rv1070c,echA8,Probable&nbsp;enoyl-CoA&nbsp;hydratase&nbsp;echA8,96.0
83332.Rv3509c,ilvX,Putative&nbsp;acetolactate&nbsp;synthase&nbsp;large&nbsp;subunit&nbsp;IlvX,95.6
83332.Rv1077,cbs,"Rv1077,&nbsp;(MTV017.30),&nbsp;len:&nbsp;464&nbsp;aa.&nbsp;Probable&nbsp;cbs&nbsp;(previously&nbsp;cysM2),&nbsp;cystathionine&nbsp;beta-synthase,&nbsp;similar&nbsp;throughout&nbsp;its&nbsp;length&nbsp;to&nbsp;many&nbsp;eukaryotic&nbsp;cystathionine&nbsp;beta-synthases&nbsp;e.g.&nbsp;P32232|CBS_RAT&nbsp;cystathionine&nbsp;beta-synthase&nbsp;(560&nbsp;aa),&nbsp;FASTA&nbsp;scores:&nbsp;opt:&nbsp;951,&nbsp;E():&nbsp;0,(40.2%&nbsp;identity&nbsp;in&nbsp;450&nbsp;aa&nbsp;overlap)",95.3
