111780.Sta7437_2860,AFZ36380.1,3-isopropylmalate&nbsp;dehydratase&nbsp;small&nbsp;subunit,98.8
111780.Sta7437_0976,sbcD,Nuclease&nbsp;SbcCD&nbsp;subunit&nbsp;D,98.7
111780.Sta7437_2272,AFZ35816.1,Neutral&nbsp;amino&nbsp;acid&nbsp;ABC&nbsp;transporter&nbsp;membrane&nbsp;protein,98.7
111780.Sta7437_2657,AFZ36186.1,Transport&nbsp;system&nbsp;permease&nbsp;protein,98.5
111780.Sta7437_1175,AFZ34746.1,"PFAM:&nbsp;Beta-ketoacyl&nbsp;synthase,&nbsp;N-terminal&nbsp;domain",98.5
111780.Sta7437_4084,secY,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecY,98.4
111780.Sta7437_3951,AFZ37433.1,Malate&nbsp;dehydrogenase&nbsp;(Oxaloacetate-decarboxylating)&nbsp;(NADP(+)),98.3
111780.Sta7437_3586,AFZ37084.1,"Mannose-1-phosphate&nbsp;guanylyltransferase,&nbsp;Phosphoglucosamine&nbsp;mutase",98.2
111780.Sta7437_1906,AFZ35462.1,"ATP-dependent&nbsp;DNA&nbsp;helicase,&nbsp;RecQ&nbsp;family",98.2
111780.Sta7437_2251,AFZ35797.1,"Glutamate&nbsp;synthase,&nbsp;NADH/NADPH,&nbsp;small&nbsp;subunit",98.2
111780.Sta7437_3226,AFZ36733.1,ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RecQ,98.1
111780.Sta7437_0359,AFZ33970.1,Glycosyl&nbsp;transferase&nbsp;family&nbsp;39,98.1
111780.Sta7437_0554,pfkA,ATP-dependent&nbsp;6-phosphofructokinase,98.1
111780.Sta7437_1981,moaC,Cyclic&nbsp;pyranopterin&nbsp;monophosphate&nbsp;synthase,98.1
111780.Sta7437_2590,leuB,3-isopropylmalate&nbsp;dehydrogenase,98.0
111780.Sta7437_3387,AFZ36893.1,Bifunctional&nbsp;deaminase-reductase&nbsp;domain&nbsp;protein,98.0
111780.Sta7437_1439,AFZ35006.1,"Phosphate&nbsp;ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,&nbsp;PhoT&nbsp;family",98.0
111780.Sta7437_4074,rps9,PFAM:&nbsp;Ribosomal&nbsp;protein&nbsp;S9/S16,98.0
111780.Sta7437_4333,ligA,DNA&nbsp;ligase,97.9
111780.Sta7437_3627,secF,Protein-export&nbsp;membrane&nbsp;protein&nbsp;SecF,97.9
111780.Sta7437_2499,AFZ36032.1,PFAM:&nbsp;60Kd&nbsp;inner&nbsp;membrane&nbsp;protein,97.9
111780.Sta7437_0039,AFZ33664.1,Diguanylate&nbsp;cyclase/phosphodiesterase&nbsp;with&nbsp;PAS/PAC&nbsp;sensor(S),97.9
111780.Sta7437_3112,AFZ36624.1,PFAM:&nbsp;D-Ala-D-Ala&nbsp;carboxypeptidase&nbsp;3&nbsp;(S13)&nbsp;family,97.7
111780.Sta7437_2068,gmk,Guanylate&nbsp;kinase,97.7
111780.Sta7437_0369,AFZ33980.1,PFAM:&nbsp;Glycine&nbsp;radical,97.7
111780.Sta7437_1157,petA,Cytochrome&nbsp;f,97.6
111780.Sta7437_3561,AFZ37059.1,Chromophore&nbsp;lyase&nbsp;CpcT/CpeT,97.6
111780.Sta7437_0056,metG,Methionine--tRNA&nbsp;ligase,97.5
111780.Sta7437_3991,AFZ37473.1,"HAD-superfamily&nbsp;hydrolase,&nbsp;subfamily&nbsp;IA,&nbsp;variant&nbsp;3",97.4
111780.Sta7437_2708,petB,Cytochrome&nbsp;b6,97.4
111780.Sta7437_2526,asd,Aspartate-semialdehyde&nbsp;dehydrogenase,97.3
111780.Sta7437_1833,AFZ35391.1,PFAM:&nbsp;Photosystem&nbsp;I&nbsp;psaG&nbsp;/&nbsp;psaK,97.3
111780.Sta7437_1812,purE,N5-carboxyaminoimidazole&nbsp;ribonucleotide&nbsp;mutase,97.2
