713587.THITH_12250,AHE98901.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.9
713587.THITH_07085,eno,Enolase,98.9
713587.THITH_11995,AHE98853.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.9
713587.THITH_17200,AHE99742.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.8
713587.THITH_03655,AHE97511.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.7
713587.THITH_15575,AHE99463.1,Catalyzes&nbsp;the&nbsp;methylation&nbsp;of&nbsp;cytosine&nbsp;at&nbsp;position&nbsp;967&nbsp;(m5C967)&nbsp;of&nbsp;16S&nbsp;rRNA,98.7
713587.THITH_07325,AHE98104.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.6
713587.THITH_01015,AHE97093.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.6
713587.THITH_11260,AHE98726.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.6
713587.THITH_02675,rpsP,30S&nbsp;ribosomal&nbsp;protein&nbsp;S16,98.6
713587.THITH_14275,AHE99242.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.6
713587.THITH_12180,AHE98888.1,Member&nbsp;of&nbsp;the&nbsp;extracytoplasmic&nbsp;function&nbsp;sigma&nbsp;factors&nbsp;which&nbsp;are&nbsp;active&nbsp;under&nbsp;specific&nbsp;conditions,98.5
713587.THITH_09635,AHE98483.1,ATPase,98.5
713587.THITH_01005,AHE97091.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.4
713587.THITH_13565,AHE99116.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.4
713587.THITH_16310,metH,One&nbsp;of&nbsp;two&nbsp;methionine&nbsp;synthases&nbsp;in&nbsp;Escherichia&nbsp;coli,98.4
713587.THITH_10330,AHE98577.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.4
713587.THITH_01415,AHE97156.1,Catalyzes&nbsp;the&nbsp;reduction&nbsp;of&nbsp;adenosine&nbsp;5'-phosphosulfate&nbsp;to&nbsp;AMP&nbsp;and&nbsp;sulfite,98.4
713587.THITH_14240,AHE99235.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.4
713587.THITH_01770,AHE97207.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.3
713587.THITH_04065,AHE97573.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.3
713587.THITH_14940,AHE99361.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.2
713587.THITH_04495,AHE97643.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.1
713587.THITH_05015,AHE97727.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.1
713587.THITH_03650,AHE97510.1,Catalyzes&nbsp;the&nbsp;formation&nbsp;of&nbsp;2-isopropylmalate&nbsp;from&nbsp;acetyl-CoA&nbsp;and&nbsp;2-oxoisovalerate&nbsp;in&nbsp;leucine&nbsp;biosynthesis,98.1
713587.THITH_12030,AHE98860.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,97.9
713587.THITH_14660,AHE99310.1,Sigma&nbsp;factors&nbsp;are&nbsp;initiation&nbsp;factors&nbsp;that&nbsp;promote&nbsp;the&nbsp;attachment&nbsp;of&nbsp;RNA&nbsp;polymerase&nbsp;to&nbsp;specific&nbsp;initiation&nbsp;sites&nbsp;and&nbsp;are&nbsp;then&nbsp;released,97.7
713587.THITH_03815,AHE97534.1,Catalyzes&nbsp;the&nbsp;removal&nbsp;of&nbsp;N-terminal&nbsp;amino&nbsp;acids&nbsp;preferably&nbsp;from&nbsp;various&nbsp;peptides,97.7
713587.THITH_14690,AHE99316.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,97.6
713587.THITH_00900,AHE97071.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,97.6
713587.THITH_10450,pyrH,Uridylate&nbsp;kinase,97.5
713587.THITH_00920,rpmA,50S&nbsp;ribosomal&nbsp;protein&nbsp;L27,97.4
713587.THITH_00485,AHE97000.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,97.3
713587.THITH_04725,AHE97682.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,97.3
713587.THITH_05105,glyA,Serine&nbsp;hydroxymethyltransferase,97.2
713587.THITH_06440,AHE97955.1,CcoO,97.2
713587.THITH_17325,AHE99763.1,"Catalyzes&nbsp;the&nbsp;formation&nbsp;of&nbsp;D-fructose&nbsp;1,6-bisphosphate&nbsp;from&nbsp;D-fructose&nbsp;6-phosphate&nbsp;in&nbsp;glycolysis",97.1
713587.THITH_04530,AHE97650.1,Catalyzes&nbsp;the&nbsp;rate-limiting&nbsp;step&nbsp;in&nbsp;dNTP&nbsp;synthesis,97.1
713587.THITH_06095,AHE97892.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,97.0
713587.THITH_14335,AHE99254.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,97.0
713587.THITH_03850,AHE97540.1,Decatenates&nbsp;newly&nbsp;replicated&nbsp;chromosomal&nbsp;DNA&nbsp;and&nbsp;relaxes&nbsp;positive&nbsp;and&nbsp;negative&nbsp;DNA&nbsp;supercoiling,96.9
713587.THITH_01370,AHE97148.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,96.9
713587.THITH_13630,AHE99128.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,96.9
713587.THITH_10755,trpA,Tryptophan&nbsp;synthase&nbsp;subunit&nbsp;alpha,96.9
713587.THITH_16730,AHE99667.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,96.8
713587.THITH_12220,recR,Recombinase&nbsp;RecR,96.8
