1693.BMIN_0335,rpsL,30S&nbsp;ribosomal&nbsp;protein&nbsp;S12,98.3
1693.BMIN_0622,rpsD,30S&nbsp;ribosomal&nbsp;protein&nbsp;S4,98.2
1693.BMIN_1391,BMIN_1391,annotation&nbsp;not&nbsp;available,97.5
1693.BMIN_0657,BMIN_0657,annotation&nbsp;not&nbsp;available,97.4
1693.BMIN_0137,rplO,50S&nbsp;ribosomal&nbsp;protein&nbsp;L15,97.4
1693.BMIN_0585,BMIN_0585,annotation&nbsp;not&nbsp;available,96.2
1693.BMIN_1547,BMIN_1547,annotation&nbsp;not&nbsp;available,96.2
1693.BMIN_0568,BMIN_0568,annotation&nbsp;not&nbsp;available,95.9
1693.BMIN_1496,rpsR,30S&nbsp;ribosomal&nbsp;protein&nbsp;S18,95.8
1693.BMIN_0019,atpH,ATP&nbsp;synthase&nbsp;subunit&nbsp;delta,95.3
1693.BMIN_0018,atpF,ATP&nbsp;synthase&nbsp;subunit&nbsp;b,95.2
1693.BMIN_0021,atpG,ATP&nbsp;synthase&nbsp;gamma&nbsp;chain,94.8
1693.BMIN_0125,rplP,50S&nbsp;ribosomal&nbsp;protein&nbsp;L16,94.4
1693.BMIN_0591,ctc,50S&nbsp;ribosomal&nbsp;protein&nbsp;L25,94.2
1693.BMIN_0394,BMIN_0394,annotation&nbsp;not&nbsp;available,93.6
1693.BMIN_0134,rplR,50S&nbsp;ribosomal&nbsp;protein&nbsp;L18,93.2
1693.BMIN_0128,rplN,50S&nbsp;ribosomal&nbsp;protein&nbsp;L14,93.2
1693.BMIN_0658,BMIN_0658,annotation&nbsp;not&nbsp;available,93.2
1693.BMIN_0063,rpsO,30S&nbsp;ribosomal&nbsp;protein&nbsp;S15,93.1
1693.BMIN_0917,BMIN_0917,annotation&nbsp;not&nbsp;available,92.4
1693.BMIN_0588,rpsT,30S&nbsp;ribosomal&nbsp;protein&nbsp;S20,92.3
1693.BMIN_0126,rpmC,annotation&nbsp;not&nbsp;available,92.1
1693.BMIN_0121,rplB,50S&nbsp;ribosomal&nbsp;protein&nbsp;L2,92.1
1693.BMIN_0145,rplQ,annotation&nbsp;not&nbsp;available,91.4
1693.BMIN_0144,rpoA,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;alpha,91.3
1693.BMIN_0584,BMIN_0584,annotation&nbsp;not&nbsp;available,91.2
1693.BMIN_0348,rpoZ,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;omega,91.1
1693.BMIN_0258,BMIN_0258,annotation&nbsp;not&nbsp;available,90.5
1693.BMIN_0122,rpsS,30S&nbsp;ribosomal&nbsp;protein&nbsp;S19,89.7
1693.BMIN_0941,rplS,50S&nbsp;ribosomal&nbsp;protein&nbsp;L19,89.7
1693.BMIN_1495,rplI,50S&nbsp;ribosomal&nbsp;protein&nbsp;L9,89.5
1693.BMIN_0023,atpC,ATP&nbsp;synthase&nbsp;epsilon&nbsp;chain,88.0
1693.BMIN_0143,rpsK,30S&nbsp;ribosomal&nbsp;protein&nbsp;S11,87.8
1693.BMIN_0127,rpsQ,30S&nbsp;ribosomal&nbsp;protein&nbsp;S17,87.6
1693.BMIN_0113,rplM,50S&nbsp;ribosomal&nbsp;protein&nbsp;L13,85.6
1693.BMIN_0413,pheS,annotation&nbsp;not&nbsp;available,85.3
1693.BMIN_1059,rpmF,annotation&nbsp;not&nbsp;available,84.6
1693.BMIN_0131,rpsN,30S&nbsp;ribosomal&nbsp;protein&nbsp;S14&nbsp;type&nbsp;Z,84.4
1693.BMIN_0130,rplE,50S&nbsp;ribosomal&nbsp;protein&nbsp;L5,84.0
