1402135.SUH3_00435,mrpC,Na(+)/H(+)&nbsp;antiporter&nbsp;subunit&nbsp;C,98.8
1402135.SUH3_12915,rplK,50S&nbsp;ribosomal&nbsp;protein&nbsp;L11,98.7
1402135.SUH3_02645,trpD,Anthranilate&nbsp;phosphoribosyltransferase,98.7
1402135.SUH3_10055,dnaN,Beta&nbsp;sliding&nbsp;clamp,98.7
1402135.SUH3_17670,recD2,ATP-dependent&nbsp;RecD-like&nbsp;DNA&nbsp;helicase,98.6
1402135.SUH3_10955,walR,Transcriptional&nbsp;regulatory&nbsp;protein&nbsp;WalR,98.6
1402135.SUH3_10915,KEJ97279.1,DNA&nbsp;polymerase&nbsp;III&nbsp;subunit&nbsp;delta,98.6
1402135.SUH3_06045,pgk,Phosphoglycerate&nbsp;kinase,98.5
1402135.SUH3_00275,recA,Protein&nbsp;RecA,98.5
1402135.SUH3_10980,ubiH,2-octaprenyl-6-methoxyphenol&nbsp;hydroxylase,98.4
1402135.SUH3_08230,KEJ94113.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.4
1402135.SUH3_14815,purE,N5-carboxyaminoimidazole&nbsp;ribonucleotide&nbsp;mutase,98.3
1402135.SUH3_07620,xdhA,Xanthine&nbsp;dehydrogenase&nbsp;molybdenum-binding&nbsp;subunit,98.1
1402135.SUH3_24530,ttrA,Tetrathionate&nbsp;reductase&nbsp;subunit&nbsp;A,98.0
1402135.SUH3_00590,KEJ97512.1,Lipopolysaccharide&nbsp;export&nbsp;system&nbsp;ATP-binding&nbsp;protein&nbsp;LptB,98.0
1402135.SUH3_23695,rpoZ,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;omega,98.0
1402135.SUH3_15015,rpsD,30S&nbsp;ribosomal&nbsp;protein&nbsp;S4,97.9
1402135.SUH3_14170,trpA,Tryptophan&nbsp;synthase&nbsp;alpha&nbsp;chain,97.8
1402135.SUH3_05240,KEJ94823.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,97.6
1402135.SUH3_04910,hpt,Catalyzes&nbsp;the&nbsp;formation&nbsp;of&nbsp;inosine&nbsp;monophosphate&nbsp;from&nbsp;hypoxanthine&nbsp;and&nbsp;5-phospho-alpha-D-ribose&nbsp;1-diphosphate,97.5
1402135.SUH3_14945,atpH,ATP&nbsp;synthase&nbsp;subunit&nbsp;delta,97.5
1402135.SUH3_19500,accB,Biotin&nbsp;carboxyl&nbsp;carrier&nbsp;protein&nbsp;of&nbsp;acetyl-CoA&nbsp;carboxylase,97.3
1402135.SUH3_01590,prfA,Peptide&nbsp;chain&nbsp;release&nbsp;factor&nbsp;1,97.3
1402135.SUH3_13710,tktB,Transketolase&nbsp;2,97.3
1402135.SUH3_19585,KEJ95715.1,Branched-chain&nbsp;amino&nbsp;acid&nbsp;ABC&nbsp;transporter&nbsp;permease,97.2
1402135.SUH3_09835,KEJ97064.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,97.2
1402135.SUH3_15355,KEJ96731.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,97.2
1402135.SUH3_01540,KEJ97694.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,97.2
1402135.SUH3_15870,KEJ96829.1,Adenylate&nbsp;kinase,96.9
1402135.SUH3_03650,hisF,Imidazole&nbsp;glycerol&nbsp;phosphate&nbsp;synthase&nbsp;subunit&nbsp;HisF,96.9
1402135.SUH3_12295,KEJ93885.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,96.8
1402135.SUH3_23160,dnaX,DNA&nbsp;polymerase&nbsp;III&nbsp;subunit&nbsp;gamma/tau,96.8
1402135.SUH3_01085,acsE,5-methyltetrahydrofolate:corrinoid/iron-sulfur&nbsp;protein&nbsp;co-methyltransferase,96.7
1402135.SUH3_21975,KEJ95196.1,Long-chain-fatty-acid--CoA&nbsp;ligase,96.6
1402135.SUH3_15490,KEJ96757.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,96.6
1402135.SUH3_05055,KEJ94792.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,96.6
1402135.SUH3_19595,KEJ95717.1,Periplasmic&nbsp;binding&nbsp;protein,96.6
1402135.SUH3_17650,plsB,Glycerol-3-phosphate&nbsp;1-O-acyltransferase,96.6
1402135.SUH3_21510,KEJ95565.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,96.4
1402135.SUH3_02470,mmsB,3-hydroxyisobutyrate&nbsp;dehydrogenase,96.4
1402135.SUH3_17370,KEJ96033.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,96.4
1402135.SUH3_11405,KEJ97373.1,Propionyl-CoA&nbsp;synthetase,96.3
1402135.SUH3_02680,gltA,Citrate&nbsp;synthase,96.2
1402135.SUH3_16780,xylF,D-xylose-binding&nbsp;periplasmic&nbsp;protein,96.2
1402135.SUH3_09295,KEJ96961.1,Putative&nbsp;outer&nbsp;membrane&nbsp;lipoprotein,96.1
1402135.SUH3_07980,pcaG,"Protocatechuate&nbsp;3,4-dioxygenase&nbsp;alpha&nbsp;chain",96.1
1402135.SUH3_20210,KEJ95835.1,Low-molecular&nbsp;weight&nbsp;cobalt-containing&nbsp;nitrile&nbsp;hydratase&nbsp;subunit&nbsp;alpha,96.0
1402135.SUH3_14930,atpD,ATP&nbsp;synthase&nbsp;subunit&nbsp;beta,95.9
1402135.SUH3_14215,trpB,Tryptophan&nbsp;synthase&nbsp;beta&nbsp;chain,95.9
1402135.SUH3_22420,KEJ95283.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,95.8
1402135.SUH3_00595,KEJ97513.1,Branched-chain&nbsp;amino&nbsp;acid&nbsp;ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,95.8
1402135.SUH3_02315,sir,Sulfite&nbsp;reductase&nbsp;(Ferredoxin),95.8
1402135.SUH3_11130,rpsO,30S&nbsp;ribosomal&nbsp;protein&nbsp;S15,95.6
1402135.SUH3_20070,ftsY,Signal&nbsp;recognition&nbsp;particle&nbsp;receptor&nbsp;FtsY,95.6
1402135.SUH3_18465,ruvA,Holliday&nbsp;junction&nbsp;ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RuvA,95.6
1402135.SUH3_21465,KEJ95556.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,95.3
1402135.SUH3_01335,purC,Phosphoribosylaminoimidazole-succinocarboxamide&nbsp;synthase,95.3
1402135.SUH3_12475,KEJ93858.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,95.3
1402135.SUH3_02900,tatC,Sec-independent&nbsp;protein&nbsp;translocase&nbsp;protein&nbsp;TatC,95.2
1402135.SUH3_19560,znuC,Zinc&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;ZnuC,95.2
