675635.Psed_4505,Psed_4505,Sulfite&nbsp;reductase&nbsp;(Ferredoxin),98.9
675635.Psed_0365,Psed_0365,Carbonic&nbsp;anhydrase,98.9
675635.Psed_1847,Psed_1847,PFAM:&nbsp;Lipopolysaccharide&nbsp;biosynthesis,98.9
675635.Psed_5309,Psed_5309,PFAM:&nbsp;Serine/threonine-protein&nbsp;kinase-like&nbsp;domain,98.9
675635.Psed_1037,Psed_1037,PFAM:&nbsp;Asp/Glu/hydantoin&nbsp;racemase,98.9
675635.Psed_5437,Psed_5437,KEGG:&nbsp;tcu:Tcur_1238&nbsp;AMP-dependent&nbsp;synthetase&nbsp;and&nbsp;ligase,98.9
675635.Psed_5090,Psed_5090,"TIGRFAM:&nbsp;Phosphomutase&nbsp;MSMEG4193,&nbsp;putative",98.9
675635.Psed_2101,Psed_2101,S-adenosylmethionine&nbsp;synthase,98.9
675635.Psed_5067,Psed_5067,Ureidoglycolate&nbsp;lyase,98.9
675635.Psed_1263,Psed_1263,KEGG:&nbsp;fri:FraEuI1c_0856&nbsp;hypothetical&nbsp;protein,98.9
675635.Psed_3025,Psed_3025,Dihydropyrimidinase,98.9
675635.Psed_3163,Psed_3163,Glycine&nbsp;dehydrogenase&nbsp;(decarboxylating),98.8
675635.Psed_0327,Psed_0327,Non-homologous&nbsp;end&nbsp;joining&nbsp;protein&nbsp;Ku,98.8
675635.Psed_5588,Psed_5588,"2,2-dialkylglycine&nbsp;decarboxylase&nbsp;(Pyruvate)",98.8
675635.Psed_4615,Psed_4615,"KEGG:&nbsp;cai:Caci_0175&nbsp;two&nbsp;component&nbsp;transcriptional&nbsp;regulator,&nbsp;LuxR&nbsp;family",98.7
675635.Psed_0090,Psed_0090,KEGG:&nbsp;sco:SCO0406&nbsp;hypothetical&nbsp;protein,98.7
675635.Psed_0259,Psed_0259,KEGG:&nbsp;saq:Sare_2028&nbsp;O-methyltransferase&nbsp;family&nbsp;protein,98.7
675635.Psed_0317,Psed_0317,Histidine&nbsp;kinase,98.7
675635.Psed_1090,Psed_1090,"TIGRFAM:&nbsp;Nitrite&nbsp;reductase&nbsp;[NAD(P)H]&nbsp;large&nbsp;subunit,&nbsp;NirB",98.7
675635.Psed_3710,Psed_3710,Pyruvate&nbsp;dehydrogenase&nbsp;(Acetyl-transferring),98.7
675635.Psed_6736,Psed_6736,PFAM:&nbsp;Amidase,98.5
675635.Psed_2220,Psed_2220,"TIGRFAM:&nbsp;ATPase,&nbsp;P-type,&nbsp;heavy&nbsp;metal&nbsp;translocating",98.5
675635.Psed_1526,Psed_1526,KEGG:&nbsp;rop:ROP_61090&nbsp;ferredoxin&nbsp;reductase,98.5
675635.Psed_3606,Psed_3606,PFAM:&nbsp;Rieske&nbsp;[2Fe-2S]&nbsp;iron-sulphur&nbsp;domain,98.5
675635.Psed_3001,Psed_3001,Non-ribosomal&nbsp;peptide&nbsp;synthetase&nbsp;domain&nbsp;protein,98.5
675635.Psed_3527,pyrB,"PFAM:&nbsp;Aspartate/ornithine&nbsp;carbamoyltransferase,&nbsp;carbamoyl-P&nbsp;binding",98.4
675635.Psed_2856,hisI,Phosphoribosyl-AMP&nbsp;cyclohydrolase,98.4
675635.Psed_2845,nadA,Quinolinate&nbsp;synthase&nbsp;A,98.4
675635.Psed_6728,Psed_6728,PFAM:&nbsp;Amidase,98.4
675635.Psed_6481,Psed_6481,KEGG:&nbsp;nar:Saro_1475&nbsp;short-chain&nbsp;dehydrogenase/reductase&nbsp;SDR,98.3
675635.Psed_3674,Psed_3674,L-fuculose-phosphate&nbsp;aldolase,98.3
675635.Psed_2026,Psed_2026,TIGRFAM:&nbsp;Glutamate&nbsp;decarboxylase,98.3
675635.Psed_5456,Psed_5456,KEGG:&nbsp;mmi:MMAR_3152&nbsp;hypothetical&nbsp;protein,98.3
675635.Psed_3866,uvrB,UvrABC&nbsp;system&nbsp;protein&nbsp;B,98.3
675635.Psed_5910,Psed_5910,KEGG:&nbsp;rxy:Rxyl_1851&nbsp;phenylacetate-CoA&nbsp;ligase,98.3
675635.Psed_6470,Psed_6470,"PFAM:&nbsp;Molybdopterin&nbsp;dehydrogenase,&nbsp;FAD-binding",98.3
675635.Psed_1080,Psed_1080,"TIGRFAM:&nbsp;ATPase,&nbsp;P-type,&nbsp;heavy&nbsp;metal&nbsp;translocating",98.3
675635.Psed_3213,Psed_3213,"PFAM:&nbsp;Crotonase,&nbsp;core",98.2
675635.Psed_4767,coaD,Phosphopantetheine&nbsp;adenylyltransferase,98.2
675635.Psed_0986,Psed_0986,Phospho-2-dehydro-3-deoxyheptonate&nbsp;aldolase,98.2
675635.Psed_6155,Psed_6155,KEGG:&nbsp;sen:SACE_7037&nbsp;acyl-CoA&nbsp;dehydrogenase,98.2
675635.Psed_4539,Psed_4539,"PFAM:&nbsp;Crotonase,&nbsp;core",98.2
675635.Psed_3979,Psed_3979,Fumarate&nbsp;hydratase&nbsp;class&nbsp;I,98.1
675635.Psed_1426,Psed_1426,KEGG:&nbsp;fal:FRAAL1747&nbsp;hypothetical&nbsp;protein,98.1
675635.Psed_3104,Psed_3104,KEGG:&nbsp;mil:ML5_5425&nbsp;periplasmic&nbsp;binding&nbsp;protein,98.1
675635.Psed_1900,Psed_1900,PFAM:&nbsp;Serine/threonine-protein&nbsp;kinase-like&nbsp;domain,98.1
675635.Psed_3266,Psed_3266,PFAM:&nbsp;ABC&nbsp;transporter-like,98.1
675635.Psed_1698,Psed_1698,"PFAM:&nbsp;Crotonase,&nbsp;core",98.1
675635.Psed_0798,Psed_0798,UTP--glucose-1-phosphate&nbsp;uridylyltransferase,98.1
675635.Psed_0099,Psed_0099,PFAM:&nbsp;MaoC-like&nbsp;dehydratase,98.0
675635.Psed_5402,infA,Translation&nbsp;initiation&nbsp;factor&nbsp;IF-1,98.0
