634994.GCWU000323_01813,EEX74174.1,"Aminotransferase,&nbsp;class&nbsp;V",98.9
634994.GCWU000323_00912,EEX74857.1,"ABC&nbsp;transporter,&nbsp;permease&nbsp;protein",98.9
634994.GCWU000323_02230,EEX73561.1,"ABC&nbsp;transporter,&nbsp;substrate-binding&nbsp;protein,&nbsp;family&nbsp;3",98.9
634994.GCWU000323_00873,plsY,Glycerol-3-phosphate&nbsp;acyltransferase,98.6
634994.GCWU000323_00404,EEX75155.1,KEGG:&nbsp;ctc:CTC00997&nbsp;1.3e-69&nbsp;V-type&nbsp;sodium&nbsp;ATP&nbsp;synthase&nbsp;subunit&nbsp;C&nbsp;&nbsp;K02119,98.5
634994.GCWU000323_01720,EEX74284.1,"Penicillin-binding&nbsp;protein,&nbsp;transpeptidase&nbsp;domain&nbsp;protein",98.4
634994.GCWU000323_00450,EEX75201.1,KEGG:&nbsp;fnu:FN0801&nbsp;1.8e-86&nbsp;amino&nbsp;acid&nbsp;transport&nbsp;ATP-binding&nbsp;protein&nbsp;&nbsp;K02028,98.3
634994.GCWU000323_02296,murE,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate&nbsp;ligase",98.1
634994.GCWU000323_02563,rpsM,30S&nbsp;ribosomal&nbsp;protein&nbsp;S13,98.0
634994.GCWU000323_00407,EEX75158.1,V-type&nbsp;ATP&nbsp;synthase&nbsp;beta&nbsp;chain,97.9
634994.GCWU000323_00465,trpA,Tryptophan&nbsp;synthase&nbsp;alpha&nbsp;chain,97.7
634994.GCWU000323_00040,EEX75829.1,Magnesium&nbsp;transporter&nbsp;MgtE,97.7
634994.GCWU000323_00117,atpB,ATP&nbsp;synthase&nbsp;subunit&nbsp;a,97.5
634994.GCWU000323_02666,secF,Protein-export&nbsp;membrane&nbsp;protein&nbsp;SecF,97.4
634994.GCWU000323_00200,asd,Aspartate-semialdehyde&nbsp;dehydrogenase,97.4
634994.GCWU000323_01602,EEX74554.1,PAP2&nbsp;family&nbsp;protein,97.3
634994.GCWU000323_02361,ftsY,Signal&nbsp;recognition&nbsp;particle&nbsp;receptor&nbsp;FtsY,97.3
634994.GCWU000323_00290,deoC,Deoxyribose-phosphate&nbsp;aldolase,97.2
634994.GCWU000323_02806,rplB,50S&nbsp;ribosomal&nbsp;protein&nbsp;L2,97.1
634994.GCWU000323_00047,EEX75836.1,"KEGG:&nbsp;lsl:LSL_0722&nbsp;3.9e-153&nbsp;PTS&nbsp;system,&nbsp;galactitol-specific&nbsp;IIC&nbsp;component&nbsp;&nbsp;K00890",97.1
634994.GCWU000323_02188,mutL,DNA&nbsp;mismatch&nbsp;repair&nbsp;protein&nbsp;MutL,97.0
634994.GCWU000323_00920,gltX,Glutamate--tRNA&nbsp;ligase,97.0
634994.GCWU000323_02727,pflB,KEGG:&nbsp;fnu:FN0262&nbsp;0.&nbsp;formate&nbsp;acetyltransferase&nbsp;K00656,97.0
634994.GCWU000323_01574,gpmI,"2,3-bisphosphoglycerate-independent&nbsp;phosphoglycerate&nbsp;mutase",97.0
634994.GCWU000323_02065,EEX73922.1,PTS&nbsp;system&nbsp;fructose&nbsp;IIA&nbsp;component,96.9
634994.GCWU000323_00028,lacF,KEGG:&nbsp;smu:SMU.1492&nbsp;2.4e-34&nbsp;lacF,96.7
634994.GCWU000323_02743,EEX73414.1,ABC&nbsp;3&nbsp;transport&nbsp;family&nbsp;protein,96.6
634994.GCWU000323_02254,EEX73585.1,Uncharacterized&nbsp;protein,96.6
634994.GCWU000323_00689,EEX75439.1,"Homoserine&nbsp;dehydrogenase,&nbsp;NAD&nbsp;binding&nbsp;domain&nbsp;protein",96.5
634994.GCWU000323_02810,EEX73203.1,annotation&nbsp;not&nbsp;available,96.5
634994.GCWU000323_00811,hisG,ATP&nbsp;phosphoribosyltransferase,96.4
634994.GCWU000323_01206,EEX74567.1,LeuA&nbsp;allosteric&nbsp;(Dimerization)&nbsp;domain&nbsp;protein,96.4
634994.GCWU000323_02742,EEX73413.1,"ABC&nbsp;transporter,&nbsp;ATP-binding&nbsp;protein",96.3
634994.GCWU000323_02571,proA,Gamma-glutamyl&nbsp;phosphate&nbsp;reductase,96.3
634994.GCWU000323_01691,EEX74255.1,Putative&nbsp;ribosome&nbsp;small&nbsp;subunit-dependent&nbsp;GTPase&nbsp;A,96.3
634994.GCWU000323_00483,pyrB,KEGG:&nbsp;mja:MJ1581&nbsp;9.5e-88&nbsp;pyrB,96.3
634994.GCWU000323_02654,accA,Acetyl-coenzyme&nbsp;A&nbsp;carboxylase&nbsp;carboxyl&nbsp;transferase&nbsp;subunit&nbsp;alpha,96.3
634994.GCWU000323_01497,EEX74453.1,Periplasmic&nbsp;binding&nbsp;protein,96.2
634994.GCWU000323_00993,EEX74938.1,"KEGG:&nbsp;lmf:LMOf2365_0565&nbsp;8.6e-158&nbsp;glycosyl&nbsp;hydrolase,&nbsp;family&nbsp;4&nbsp;&nbsp;K01222",96.1
634994.GCWU000323_01639,EEX74211.1,Uncharacterized&nbsp;protein,96.1
634994.GCWU000323_02671,EEX73343.1,"ABC&nbsp;transporter,&nbsp;ATP-binding&nbsp;protein",96.0
634994.GCWU000323_01787,glmM,Phosphoglucosamine&nbsp;mutase,96.0
634994.GCWU000323_00278,EEX75679.1,"ABC&nbsp;transporter,&nbsp;ATP-binding&nbsp;protein",96.0
634994.GCWU000323_02207,EEX73538.1,Uncharacterized&nbsp;protein,96.0
634994.GCWU000323_02000,EEX73857.1,Ethanolamine&nbsp;utilization&nbsp;protein&nbsp;EutA,95.9
634994.GCWU000323_00313,EEX75714.1,Phosphoribosylformylglycinamidine&nbsp;synthase,95.9
634994.GCWU000323_02809,EEX73202.1,annotation&nbsp;not&nbsp;available,95.8
634994.GCWU000323_00826,hisF,Imidazole&nbsp;glycerol&nbsp;phosphate&nbsp;synthase&nbsp;subunit&nbsp;HisF,95.7
634994.GCWU000323_02736,EEX73407.1,Uncharacterized&nbsp;protein,95.7
634994.GCWU000323_02045,hemC,KEGG:&nbsp;fnu:FN0645&nbsp;7.6e-31&nbsp;porphobilinogen&nbsp;deaminase&nbsp;K01749,95.6
634994.GCWU000323_02808,rplD,50S&nbsp;ribosomal&nbsp;protein&nbsp;L4,95.6
634994.GCWU000323_02674,mutS,DNA&nbsp;mismatch&nbsp;repair&nbsp;protein&nbsp;MutS,95.5
634994.GCWU000323_00753,asrA,KEGG:&nbsp;cno:NT01CX_0257&nbsp;2.7e-106&nbsp;anaerobic&nbsp;sulfite&nbsp;reductase&nbsp;subunit&nbsp;A&nbsp;&nbsp;K00437,95.5
634994.GCWU000323_00408,EEX75159.1,V-type&nbsp;ATP&nbsp;synthase&nbsp;subunit&nbsp;D,95.3
634994.GCWU000323_00043,EEX75832.1,GroES-like&nbsp;protein,95.2
634994.GCWU000323_00121,atpA,ATP&nbsp;synthase&nbsp;subunit&nbsp;alpha,94.9
634994.GCWU000323_01615,EEX74187.1,KEGG:&nbsp;cpe:CPE1939&nbsp;7.2e-35&nbsp;apt,94.8
634994.GCWU000323_00996,EEX74941.1,Permease&nbsp;IIC&nbsp;component,94.8
634994.GCWU000323_00406,EEX75157.1,V-type&nbsp;ATP&nbsp;synthase&nbsp;alpha&nbsp;chain,94.7
634994.GCWU000323_00906,EEX74851.1,"Ribonucleotide&nbsp;reductase,&nbsp;barrel&nbsp;domain&nbsp;protein",94.6
634994.GCWU000323_02787,EEX73180.1,"Putative&nbsp;phosphonate&nbsp;ABC&nbsp;transporter,&nbsp;permease&nbsp;protein&nbsp;PhnE",94.6
634994.GCWU000323_02744,EEX73415.1,ABC&nbsp;3&nbsp;transport&nbsp;family&nbsp;protein,94.5
634994.GCWU000323_00741,EEX75491.1,"Penicillin-binding&nbsp;protein,&nbsp;1A&nbsp;family",94.5
634994.GCWU000323_02583,EEX73255.1,Putative&nbsp;lipid&nbsp;kinase,94.5
634994.GCWU000323_00656,rpmA,annotation&nbsp;not&nbsp;available,94.3
634994.GCWU000323_02119,phnD,annotation&nbsp;not&nbsp;available,94.2
634994.GCWU000323_00373,purD,KEGG:&nbsp;fnu:FN0981&nbsp;1.4e-132&nbsp;phosphoribosylamine--glycine&nbsp;ligase&nbsp;&nbsp;K01945,94.0
634994.GCWU000323_00118,atpE,ATP&nbsp;synthase&nbsp;subunit&nbsp;c,94.0
634994.GCWU000323_02263,EEX73594.1,"Transketolase,&nbsp;pyridine&nbsp;binding&nbsp;domain&nbsp;protein",93.9
634994.GCWU000323_01948,gap,KEGG:&nbsp;cpe:CPE1304&nbsp;4.9e-139&nbsp;gapC,93.7
634994.GCWU000323_02635,EEX73307.1,KEGG:&nbsp;rha:RHA1_ro05622&nbsp;1.1e-40&nbsp;response&nbsp;regulator&nbsp;(protein-glutamate&nbsp;methylesterase)&nbsp;&nbsp;K07669,93.6
634994.GCWU000323_01659,EEX74231.1,KEGG:&nbsp;reh:H16_A3027&nbsp;6.6e-64&nbsp;livG2,93.6
634994.GCWU000323_01035,EEX74980.1,ATPase/histidine&nbsp;kinase/DNA&nbsp;gyrase&nbsp;B/HSP90&nbsp;domain&nbsp;protein,93.5
634994.GCWU000323_01789,rpmG,annotation&nbsp;not&nbsp;available,93.5
634994.GCWU000323_01189,leuC,3-isopropylmalate&nbsp;dehydratase&nbsp;large&nbsp;subunit,93.4
634994.GCWU000323_01211,ilvB,KEGG:&nbsp;mba:Mbar_A0218&nbsp;2.6e-165&nbsp;acetolactate&nbsp;synthase&nbsp;large&nbsp;subunit&nbsp;&nbsp;K01652,93.3
634994.GCWU000323_02718,EEX73389.1,KEGG:&nbsp;sau:SA2167&nbsp;6.8e-133&nbsp;scrA,93.1
634994.GCWU000323_02092,EEX73949.1,annotation&nbsp;not&nbsp;available,93.1
634994.GCWU000323_02817,rpsL,30S&nbsp;ribosomal&nbsp;protein&nbsp;S12,92.8
634994.GCWU000323_00354,EEX75755.1,AICARFT/IMPCHase&nbsp;bienzyme,92.7
634994.GCWU000323_02690,glgA,Glycogen&nbsp;synthase,92.7
634994.GCWU000323_02400,prs,Ribose-phosphate&nbsp;pyrophosphokinase,92.6
634994.GCWU000323_01207,EEX74568.1,HMGL-like&nbsp;protein,92.5
634994.GCWU000323_00979,EEX74924.1,"Pyruvate&nbsp;phosphate&nbsp;dikinase,&nbsp;PEP/pyruvate&nbsp;binding&nbsp;domain&nbsp;protein",92.4
634994.GCWU000323_02559,rplQ,50S&nbsp;ribosomal&nbsp;protein&nbsp;L17,92.4
634994.GCWU000323_00260,rplM,50S&nbsp;ribosomal&nbsp;protein&nbsp;L13,92.3
634994.GCWU000323_00322,purM,Phosphoribosylformylglycinamidine&nbsp;cyclo-ligase,92.2
634994.GCWU000323_01512,EEX74468.1,KEGG:&nbsp;reh:H16_B0716&nbsp;3.3e-62&nbsp;dppF3,92.1
634994.GCWU000323_01785,EEX74147.1,KEGG:&nbsp;rha:RHA1_ro05622&nbsp;1.6e-46&nbsp;response&nbsp;regulator&nbsp;(protein-glutamate&nbsp;methylesterase)&nbsp;&nbsp;K07669,92.1
634994.GCWU000323_01752,rfbB,"KEGG:&nbsp;fnu:FN1667&nbsp;1.5e-194&nbsp;dTDP-glucose&nbsp;4,6-dehydratase&nbsp;&nbsp;K01710",92.1
634994.GCWU000323_00066,rpmF,annotation&nbsp;not&nbsp;available,92.0
634994.GCWU000323_00883,EEX74828.1,annotation&nbsp;not&nbsp;available,92.0
