435830.HMPREF0045_00183,EHM89518.1,annotation&nbsp;not&nbsp;available,98.9
435830.HMPREF0045_01441,nadE,Glutamine-dependent&nbsp;NAD(+)&nbsp;synthetase,98.9
435830.HMPREF0045_00598,pfp,Pyrophosphate--fructose&nbsp;6-phosphate&nbsp;1-phosphotransferase,98.9
435830.HMPREF0045_01586,tsaD,tRNA&nbsp;N6-adenosine&nbsp;threonylcarbamoyltransferase,98.8
435830.HMPREF0045_00507,ruvB,Holliday&nbsp;junction&nbsp;ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RuvB,98.8
435830.HMPREF0045_01370,rpsF,30S&nbsp;ribosomal&nbsp;protein&nbsp;S6,98.7
435830.HMPREF0045_01572,rplM,50S&nbsp;ribosomal&nbsp;protein&nbsp;L13,98.0
435830.HMPREF0045_00028,EHM89363.1,annotation&nbsp;not&nbsp;available,98.0
435830.HMPREF0045_01683,atpF,ATP&nbsp;synthase&nbsp;subunit&nbsp;b,98.0
435830.HMPREF0045_00884,rpoB,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta,97.9
435830.HMPREF0045_00639,EHM89226.1,annotation&nbsp;not&nbsp;available,97.9
435830.HMPREF0045_01691,EHM87312.1,annotation&nbsp;not&nbsp;available,97.7
435830.HMPREF0045_01553,rpmD,annotation&nbsp;not&nbsp;available,97.5
435830.HMPREF0045_00254,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine&nbsp;ligase,97.4
435830.HMPREF0045_01841,rpmI,annotation&nbsp;not&nbsp;available,97.0
435830.HMPREF0045_01503,EHM87444.1,annotation&nbsp;not&nbsp;available,97.0
435830.HMPREF0045_01554,rplO,50S&nbsp;ribosomal&nbsp;protein&nbsp;L15,96.9
435830.HMPREF0045_01541,rpsC,30S&nbsp;ribosomal&nbsp;protein&nbsp;S3,96.8
435830.HMPREF0045_00137,gltX,Glutamate--tRNA&nbsp;ligase,96.8
435830.HMPREF0045_00710,EHM88497.1,annotation&nbsp;not&nbsp;available,96.7
435830.HMPREF0045_00890,rplJ,50S&nbsp;ribosomal&nbsp;protein&nbsp;L10,96.7
435830.HMPREF0045_01129,EHM88018.1,annotation&nbsp;not&nbsp;available,96.5
435830.HMPREF0045_00473,aroC,Chorismate&nbsp;synthase,96.4
435830.HMPREF0045_00841,EHM88628.1,annotation&nbsp;not&nbsp;available,96.4
435830.HMPREF0045_00142,EHM89477.1,annotation&nbsp;not&nbsp;available,96.3
435830.HMPREF0045_00453,EHM89040.1,annotation&nbsp;not&nbsp;available,96.3
435830.HMPREF0045_00186,EHM89521.1,annotation&nbsp;not&nbsp;available,96.2
435830.HMPREF0045_01562,rpoA,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;alpha,96.2
435830.HMPREF0045_01396,gpmA,"2,3-bisphosphoglycerate-dependent&nbsp;phosphoglycerate&nbsp;mutase",96.0
435830.HMPREF0045_00310,nrdR,Transcriptional&nbsp;repressor&nbsp;NrdR,95.8
435830.HMPREF0045_00390,EHM89725.1,annotation&nbsp;not&nbsp;available,95.6
435830.HMPREF0045_01592,guaB,Inosine-5'-monophosphate&nbsp;dehydrogenase,95.4
435830.HMPREF0045_01550,rplF,50S&nbsp;ribosomal&nbsp;protein&nbsp;L6,95.4
435830.HMPREF0045_00750,rpmE,50S&nbsp;ribosomal&nbsp;protein&nbsp;L31,95.3
435830.HMPREF0045_00883,rpoC,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta',95.2
435830.HMPREF0045_00035,EHM89370.1,annotation&nbsp;not&nbsp;available,95.2
435830.HMPREF0045_00391,pgk,annotation&nbsp;not&nbsp;available,94.9
435830.HMPREF0045_01540,rplV,50S&nbsp;ribosomal&nbsp;protein&nbsp;L22,94.9
435830.HMPREF0045_01372,rpsR,30S&nbsp;ribosomal&nbsp;protein&nbsp;S18,94.8
435830.HMPREF0045_01792,eno,Enolase,94.8
435830.HMPREF0045_01538,rplB,50S&nbsp;ribosomal&nbsp;protein&nbsp;L2,94.6
435830.HMPREF0045_00397,EHM89732.1,annotation&nbsp;not&nbsp;available,94.5
435830.HMPREF0045_00984,EHM88289.1,annotation&nbsp;not&nbsp;available,94.5
435830.HMPREF0045_01602,EHM87543.1,annotation&nbsp;not&nbsp;available,94.3
435830.HMPREF0045_00666,EHM88868.1,annotation&nbsp;not&nbsp;available,94.3
435830.HMPREF0045_00743,purN,Phosphoribosylglycinamide&nbsp;formyltransferase,94.3
435830.HMPREF0045_00369,lipB,Octanoyltransferase,94.3
435830.HMPREF0045_01813,ctc,50S&nbsp;ribosomal&nbsp;protein&nbsp;L25,94.2
435830.HMPREF0045_00350,EHM89685.1,annotation&nbsp;not&nbsp;available,94.1
435830.HMPREF0045_01844,pheS,annotation&nbsp;not&nbsp;available,93.7
435830.HMPREF0045_00983,EHM88288.1,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;F,93.6
