1163745.HCD_03940,rplQ,COG0203&nbsp;Ribosomal&nbsp;protein&nbsp;L17,98.9
1163745.HCD_05455,hslU,ATP-dependent&nbsp;protease&nbsp;ATPase&nbsp;subunit&nbsp;HslU,98.8
1163745.HCD_02090,pyrG,CTP&nbsp;synthase,98.6
1163745.HCD_02675,HCD_02675,3-octaprenyl-4-hydroxybenzoate&nbsp;carboxy-lyase,98.3
1163745.HCD_02605,guaA,GMP&nbsp;synthase&nbsp;[glutamine-hydrolyzing],98.3
1163745.HCD_06925,ftsY,Signal&nbsp;recognition&nbsp;particle&nbsp;receptor&nbsp;FtsY,98.0
1163745.HCD_08015,HCD_08015,"Pyruvate&nbsp;ferredoxin&nbsp;oxidoreductase,&nbsp;beta&nbsp;subunit",97.3
1163745.HCD_05560,secA,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecA,97.1
1163745.HCD_07170,HCD_07170,"COG0444&nbsp;ABC-type&nbsp;dipeptide/oligopeptide/nickel&nbsp;transport&nbsp;system,&nbsp;ATPase&nbsp;component",97.1
1163745.HCD_06070,HCD_06070,Response&nbsp;regulator,97.1
1163745.HCD_02080,fliF,Flagellar&nbsp;M-ring&nbsp;protein,97.0
1163745.HCD_04660,HCD_04660,annotation&nbsp;not&nbsp;available,96.5
1163745.HCD_02900,secE,COG0690&nbsp;Preprotein&nbsp;translocase&nbsp;subunit&nbsp;SecE,96.3
1163745.HCD_00385,secG,COG1314&nbsp;Preprotein&nbsp;translocase&nbsp;subunit&nbsp;SecG,95.4
1163745.HCD_06665,HCD_06665,"COG0609&nbsp;ABC-type&nbsp;Fe3+-siderophore&nbsp;transport&nbsp;system,&nbsp;permease&nbsp;component",95.4
1163745.HCD_06075,HCD_06075,COG0258&nbsp;5'-3'&nbsp;exonuclease&nbsp;(including&nbsp;N-terminal&nbsp;domain&nbsp;of&nbsp;PolI),95.0
1163745.HCD_08115,ruvB,Holliday&nbsp;junction&nbsp;ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RuvB,94.7
1163745.HCD_01470,accA,Acetyl-coenzyme&nbsp;A&nbsp;carboxylase&nbsp;carboxyl&nbsp;transferase&nbsp;subunit&nbsp;alpha,94.3
1163745.HCD_01305,oorA,2-oxoglutarate-acceptor&nbsp;oxidoreductase&nbsp;subunit&nbsp;OorA,94.3
