1192124.LIG30_3320,LIG30_3320,TIGRFAM:&nbsp;acetyl-CoA&nbsp;acetyltransferase,98.9
1192124.LIG30_0325,LIG30_0325,TIGRFAM:&nbsp;acetylornithine&nbsp;deacetylase&nbsp;(ArgE),98.9
1192124.LIG30_2339,LIG30_2339,KEGG:&nbsp;nitrite/sulfite&nbsp;reductase&nbsp;hemoprotein&nbsp;beta-component&nbsp;ferrodoxin&nbsp;domain-containing&nbsp;protein,98.9
1192124.LIG30_3529,LIG30_3529,PFAM:&nbsp;PemK&nbsp;family&nbsp;protein,98.9
1192124.LIG30_0281,LIG30_0281,"Nitrogen&nbsp;metabolism&nbsp;transcriptional&nbsp;regulator,&nbsp;NtrC,&nbsp;Fis&nbsp;Family",98.9
1192124.LIG30_3630,LIG30_3630,dITP/XTP&nbsp;pyrophosphatase,98.9
1192124.LIG30_4463,LIG30_4463,"PFAM:&nbsp;Protein&nbsp;of&nbsp;unknown&nbsp;function&nbsp;DUF2339,&nbsp;transmembrane",98.8
1192124.LIG30_2363,LIG30_2363,Taurine-transporting&nbsp;ATPase,98.8
1192124.LIG30_1974,LIG30_1974,SMART:&nbsp;regulatory&nbsp;protein&nbsp;MerR,98.8
1192124.LIG30_0780,LIG30_0780,KEGG:&nbsp;RND&nbsp;efflux&nbsp;system&nbsp;outer&nbsp;membrane&nbsp;lipoprotein,98.8
1192124.LIG30_3784,LIG30_3784,TIGRFAM:&nbsp;dihydroneopterin&nbsp;aldolase,98.8
1192124.LIG30_3275,LIG30_3275,KEGG:&nbsp;GPH&nbsp;family&nbsp;transport&nbsp;protein,98.8
1192124.LIG30_0997,LIG30_0997,"TIGRFAM:&nbsp;proton-translocating&nbsp;NADH-quinone&nbsp;oxidoreductase,&nbsp;chain&nbsp;L",98.7
1192124.LIG30_2064,LIG30_2064,Precorrin&nbsp;3B&nbsp;synthase&nbsp;CobZ,98.7
1192124.LIG30_4292,LIG30_4292,PFAM:&nbsp;glycosyl&nbsp;transferase&nbsp;group&nbsp;1,98.7
1192124.LIG30_0276,LIG30_0276,KEGG:&nbsp;aldehyde&nbsp;dehydrogenase&nbsp;family&nbsp;protein,98.7
1192124.LIG30_1585,LIG30_1585,KEGG:&nbsp;lysine&nbsp;decarboxylase,98.7
