221360.RS9917_07060,cugP,UTP--glucose-1-phosphate&nbsp;uridylyltransferase,98.8
221360.RS9917_02451,EAQ68159.1,COG0031&nbsp;Cysteine&nbsp;synthase,98.7
221360.RS9917_01522,EAQ68998.1,Translation&nbsp;initiation&nbsp;factor,98.7
221360.RS9917_10211,EAQ69802.1,Probable&nbsp;glutathione&nbsp;reductase&nbsp;(NADPH),98.7
221360.RS9917_02246,hisF,Imidazole&nbsp;glycerol&nbsp;phosphate&nbsp;synthase&nbsp;subunit&nbsp;HisF,98.6
221360.RS9917_05060,EAQ70177.1,GDP-mannose&nbsp;pyrophosphorylase,98.5
221360.RS9917_10486,glgB,"1,4-alpha-glucan&nbsp;branching&nbsp;enzyme&nbsp;GlgB",98.4
221360.RS9917_03163,rps3,30S&nbsp;ribosomal&nbsp;protein&nbsp;S3,98.4
221360.RS9917_10571,thrB,Homoserine&nbsp;kinase,98.3
221360.RS9917_04765,EAQ70118.1,COG1596&nbsp;Periplasmic&nbsp;protein&nbsp;involved&nbsp;in&nbsp;polysaccharide&nbsp;export,98.2
221360.RS9917_05735,argH,COG0165&nbsp;Argininosuccinate&nbsp;lyase,97.8
221360.RS9917_13623,tpiA,Triosephosphate&nbsp;isomerase,97.8
221360.RS9917_06385,gcvP,Glycine&nbsp;dehydrogenase&nbsp;(decarboxylating),97.8
221360.RS9917_11810,EAQ69124.1,COG0076&nbsp;Glutamate&nbsp;decarboxylase&nbsp;and&nbsp;related&nbsp;PLP-dependent&nbsp;proteins,97.3
221360.RS9917_12790,rpmG,COG0267&nbsp;Ribosomal&nbsp;protein&nbsp;L33,97.2
221360.RS9917_08636,EAQ69487.1,COG5002&nbsp;Signal&nbsp;transduction&nbsp;histidine&nbsp;kinase,97.2
221360.RS9917_09891,hemH,Ferrochelatase,97.0
221360.RS9917_08370,EAQ68448.1,ATP&nbsp;synthase&nbsp;gamma&nbsp;chain,96.9
221360.RS9917_03353,psaA,Photosystem&nbsp;I&nbsp;P700&nbsp;chlorophyll&nbsp;a&nbsp;apoprotein&nbsp;A1,96.6
221360.RS9917_11800,EAQ69122.1,COG0075&nbsp;Serine-pyruvate&nbsp;aminotransferase/archaeal&nbsp;aspartate&nbsp;aminotransferase,96.6
221360.RS9917_12085,accD,Acetyl-coenzyme&nbsp;A&nbsp;carboxylase&nbsp;carboxyl&nbsp;transferase&nbsp;subunit&nbsp;beta,96.3
221360.RS9917_09861,frr,Ribosome-recycling&nbsp;factor,96.0
221360.RS9917_08471,EAQ69454.1,60&nbsp;kDa&nbsp;chaperonin,95.9
221360.RS9917_06520,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;B,95.5
221360.RS9917_03918,psbK,Photosystem&nbsp;II&nbsp;reaction&nbsp;center&nbsp;protein&nbsp;K,95.5
221360.RS9917_08115,rpoB,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta,95.1
221360.RS9917_06290,ligA,DNA&nbsp;ligase,95.0
221360.RS9917_06575,eno,Enolase,95.0
221360.RS9917_01966,pdhA,Pyruvate&nbsp;dehydrogenase&nbsp;E1&nbsp;component&nbsp;subunit&nbsp;alpha,95.0
221360.RS9917_06600,rplK,50S&nbsp;ribosomal&nbsp;protein&nbsp;L11,94.8
221360.RS9917_08621,EAQ69484.1,Possible&nbsp;circadian&nbsp;clock&nbsp;protein&nbsp;KaiA,94.6
221360.RS9917_08050,nusA,Transcription&nbsp;termination/antitermination&nbsp;protein&nbsp;NusA,94.3
221360.RS9917_05275,EAQ70220.1,COG0386&nbsp;Glutathione&nbsp;peroxidase,94.2
221360.RS9917_04930,EAQ70151.1,COG0538&nbsp;Isocitrate&nbsp;dehydrogenases,94.1
221360.RS9917_03273,rps9,COG0103&nbsp;Ribosomal&nbsp;protein&nbsp;S9,94.0
221360.RS9917_10016,chlB,Light-independent&nbsp;protochlorophyllide&nbsp;reductase&nbsp;subunit&nbsp;B,94.0
221360.RS9917_05120,ruvB,Holliday&nbsp;junction&nbsp;ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RuvB,93.6
221360.RS9917_03143,rplW,50S&nbsp;ribosomal&nbsp;protein&nbsp;L23,93.5
221360.RS9917_07070,ndhD,NAD(P)H-quinone&nbsp;oxidoreductase&nbsp;chain&nbsp;4,93.2
221360.RS9917_02021,EAQ68073.1,"COG1249&nbsp;Pyruvate/2-oxoglutarate&nbsp;dehydrogenase&nbsp;complex,&nbsp;dihydrolipoamide&nbsp;dehydrogenase&nbsp;(E3)&nbsp;component,&nbsp;and&nbsp;related&nbsp;enzymes",93.0
221360.RS9917_03148,rpl2,50S&nbsp;ribosomal&nbsp;protein&nbsp;L2,93.0
221360.RS9917_05335,secA,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecA,92.9
221360.RS9917_03138,rpl4,50S&nbsp;ribosomal&nbsp;protein&nbsp;L4,92.8
221360.RS9917_05795,EAQ70324.1,Beta&nbsp;sliding&nbsp;clamp,92.7
