102129.Lepto7375DRAFT_4660,EKV02427.1,KaiA&nbsp;domain-containing&nbsp;protein,98.9
102129.Lepto7375DRAFT_5997,rplL,50S&nbsp;ribosomal&nbsp;protein&nbsp;L7/L12,98.9
102129.Lepto7375DRAFT_2012,EKU99926.1,"Zn-dependent&nbsp;oxidoreductase,&nbsp;NADPH:quinone&nbsp;reductase",98.9
102129.Lepto7375DRAFT_6373,EKU97201.1,IMG&nbsp;reference&nbsp;gene:2509846356,98.9
102129.Lepto7375DRAFT_3834,ycf3,Photosystem&nbsp;I&nbsp;assembly&nbsp;protein&nbsp;Ycf3,98.8
102129.Lepto7375DRAFT_3882,EKV01704.1,Uncharacterized&nbsp;protein,98.8
102129.Lepto7375DRAFT_4552,EKV02328.1,Uncharacterized&nbsp;protein,98.7
102129.Lepto7375DRAFT_1964,EKU99879.1,Mannose-6-phosphate&nbsp;isomerase,98.7
102129.Lepto7375DRAFT_1007,EKU97133.1,IMG&nbsp;reference&nbsp;gene:2509840991,98.7
102129.Lepto7375DRAFT_3866,EKV01688.1,Methylase&nbsp;involved&nbsp;in&nbsp;ubiquinone/menaquinone&nbsp;biosynthesis,98.7
102129.Lepto7375DRAFT_8261,katG,Catalase-peroxidase,98.7
102129.Lepto7375DRAFT_5046,EKV02784.1,Glycogen&nbsp;synthase,98.7
102129.Lepto7375DRAFT_1274,EKU99250.1,Tryptophan&nbsp;synthase&nbsp;beta&nbsp;chain,98.6
102129.Lepto7375DRAFT_4896,EKV02637.1,Nicotinate-nucleotide&nbsp;pyrophosphorylase&nbsp;(Carboxylating),98.6
102129.Lepto7375DRAFT_2316,EKV00213.1,IMG&nbsp;reference&nbsp;gene:2509842299,98.6
102129.Lepto7375DRAFT_4748,EKV02513.1,Photosystem&nbsp;II&nbsp;12&nbsp;kDa&nbsp;extrinsic&nbsp;protein,98.6
102129.Lepto7375DRAFT_5850,bioD,ATP-dependent&nbsp;dethiobiotin&nbsp;synthetase&nbsp;BioD,98.5
102129.Lepto7375DRAFT_5287,EKV03017.1,Peptidase&nbsp;family&nbsp;protein,98.5
102129.Lepto7375DRAFT_6185,EKV03867.1,Family&nbsp;3&nbsp;adenylate&nbsp;cyclase,98.5
102129.Lepto7375DRAFT_0314,EKU96322.1,Precorrin-3B&nbsp;C17-methyltransferase,98.5
102129.Lepto7375DRAFT_4076,EKV01882.1,IMG&nbsp;reference&nbsp;gene:2509844059,98.5
102129.Lepto7375DRAFT_4247,EKV02048.1,Aminopyrimidine&nbsp;aminohydrolase,98.5
102129.Lepto7375DRAFT_3880,EKV01702.1,Uncharacterized&nbsp;protein,98.5
102129.Lepto7375DRAFT_4637,psbI,Photosystem&nbsp;II&nbsp;reaction&nbsp;center&nbsp;protein&nbsp;I,98.5
