272624.lpg1393,lpg1393,3-oxoacyl-[acyl-carrier-protein]&nbsp;synthase&nbsp;3,98.9
272624.lpg0835,pabA,Anthranilate&nbsp;synthase&nbsp;component&nbsp;II,98.8
272624.lpg0640,hslV,ATP-dependent&nbsp;protease&nbsp;subunit&nbsp;HslV,98.8
272624.lpg1194,lpg1194,"Imidazoleglycerol-phosphate&nbsp;synthase,&nbsp;cyclase&nbsp;subunit&nbsp;HisF",98.7
272624.lpg0358,lpg0358,Glucose-1-dehydrogenase,98.5
272624.lpg2260,lpg2260,PHA&nbsp;synthase,98.4
272624.lpg2231,lpg2231,3-oxoacyl&nbsp;reductase,98.4
272624.lpg0346,rpsE,30S&nbsp;ribosomal&nbsp;protein&nbsp;S5,98.3
272624.lpg1177,ribD,Riboflavin&nbsp;biosynthesis&nbsp;protein&nbsp;RibD,97.7
272624.lpg0412,cyoE,Protoheme&nbsp;IX&nbsp;farnesyltransferase,97.7
272624.lpg1341,accD,Acetyl-coenzyme&nbsp;A&nbsp;carboxylase&nbsp;carboxyl&nbsp;transferase&nbsp;subunit&nbsp;beta,97.7
272624.lpg1140,potB,Spermidine/putrescine&nbsp;ABC&nbsp;transporter&nbsp;permease&nbsp;protein&nbsp;PotB,97.6
272624.lpg1735,gatC,Aspartyl/glutamyl-tRNA(Asn/Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;C,97.5
272624.lpg2146,lpg2146,Response&nbsp;regulator&nbsp;TutC,97.3
272624.lpg1392,plsX,Phosphate&nbsp;acyltransferase,97.2
272624.lpg0885,lpg0885,Glycosyl&nbsp;hydrolase,97.1
272624.lpg0320,rplJ,50S&nbsp;ribosomal&nbsp;protein&nbsp;L10,96.9
272624.lpg1395,lpg1395,3-oxoacyl-(Acyl&nbsp;carrier&nbsp;protein)&nbsp;reductase,96.8
272624.lpg2645,uvrC,UvrABC&nbsp;system&nbsp;protein&nbsp;C,96.6
272624.lpg2000,secF,Protein-export&nbsp;membrane&nbsp;protein&nbsp;SecF,96.6
272624.lpg1347,lptE,LPS-assembly&nbsp;lipoprotein&nbsp;LptE,96.6
272624.lpg0605,lpg0605,Nitrogen&nbsp;fixation&nbsp;protein&nbsp;(Fe-S&nbsp;cluster&nbsp;formation)&nbsp;NifU,96.2
272624.lpg1589,rplI,50S&nbsp;ribosomal&nbsp;protein&nbsp;L9,96.1
272624.lpg1834,metI,"ATP&nbsp;binding&nbsp;protein,&nbsp;permease&nbsp;protein",96.0
272624.lpg1364,glnA,"Glutamine&nbsp;synthetase,&nbsp;type&nbsp;I",96.0
272624.lpg1723,guaB,Inosine-5'-monophosphate&nbsp;dehydrogenase,95.9
272624.lpg1059,lpg1059,Acetoacetyl&nbsp;CoA&nbsp;reductase,95.6
272624.lpg1631,lpg1631,Chalcone&nbsp;and&nbsp;stilbene&nbsp;synthases,95.5
272624.lpg0466,lpg0466,Oxaloacetate&nbsp;decarboxylase&nbsp;alpha&nbsp;subunit,95.5
272624.lpg3005,rpmH,50S&nbsp;ribosomal&nbsp;protein&nbsp;L34,95.4
272624.lpg1781,lpg1781,Flagellar&nbsp;motor&nbsp;protein&nbsp;MotA,95.4
272624.lpg1127,lpg1127,"Acyl&nbsp;CoA&nbsp;synthetase,&nbsp;long&nbsp;chain&nbsp;fatty&nbsp;acid:CoA&nbsp;ligase",95.3
272624.lpg1833,metN,Methionine&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;MetN,95.2
272624.lpg1425,pyrF,Orotidine&nbsp;5'-phosphate&nbsp;decarboxylase,95.2
272624.lpg0479,rpmB,50S&nbsp;ribosomal&nbsp;protein&nbsp;L28,95.1
272624.lpg0907,lpg0907,Negative&nbsp;regulator&nbsp;of&nbsp;flagellin&nbsp;synthesis,95.1
272624.lpg1257,lvrC,LvrC,94.9
272624.lpg0114,gcvPB,Probable&nbsp;glycine&nbsp;dehydrogenase&nbsp;(decarboxylating)&nbsp;subunit&nbsp;2,94.9
272624.lpg2002,yajC,"Transmembrane&nbsp;protein&nbsp;YajC,&nbsp;preprotein&nbsp;translocase&nbsp;subunit",94.8
272624.lpg1678,purL2,Phosphoribosylformylglycinamidine&nbsp;synthase&nbsp;subunit&nbsp;PurL,94.7
272624.lpg1736,gatA,Glutamyl-tRNA(Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;A,94.7
272624.lpg1672,purN,Phosphoribosylglycinamide&nbsp;formyltransferase,94.5
272624.lpg2389,katG1,Catalase-peroxidase&nbsp;1,94.5
