1042209.HK44_013670,EXF91850.1,XRE&nbsp;family&nbsp;transcriptional&nbsp;regulator,98.9
1042209.HK44_025735,EXF95049.1,Cell&nbsp;division&nbsp;protein,98.9
1042209.HK44_026905,EXF95254.1,C4-dicarboxylate&nbsp;ABC&nbsp;transporter,98.9
1042209.HK44_009480,fliA,RNA&nbsp;polymerase&nbsp;sigma&nbsp;factor&nbsp;FliA,98.9
1042209.HK44_028200,EXF94812.1,Diguanylate&nbsp;cyclase,98.9
1042209.HK44_011535,EXF92510.1,(2Fe-2S)-binding&nbsp;protein,98.9
1042209.HK44_017970,EXF91520.1,Oxidoreductase,98.9
1042209.HK44_028625,EXF94895.1,Amino&nbsp;acid&nbsp;ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,98.9
1042209.HK44_016480,EXF96531.1,Phosphatidylcholine&nbsp;synthase,98.8
1042209.HK44_016880,EXF96607.1,Sulfurtransferase,98.8
1042209.HK44_000150,bamB,Outer&nbsp;membrane&nbsp;protein&nbsp;assembly&nbsp;factor&nbsp;BamB,98.8
1042209.HK44_021290,EXF95904.1,ABC&nbsp;transporter&nbsp;permease,98.8
1042209.HK44_029005,EXF94966.1,PTS&nbsp;fructose&nbsp;transporter&nbsp;subunit&nbsp;IIA,98.7
1042209.HK44_022620,cysH,Phosphoadenosine&nbsp;phosphosulfate&nbsp;reductase,98.7
1042209.HK44_008325,EXF93654.1,Response&nbsp;regulator&nbsp;in&nbsp;two-component&nbsp;regulatory&nbsp;system&nbsp;with&nbsp;RstB,98.7
1042209.HK44_004055,EXF92886.1,Nitric&nbsp;oxide&nbsp;reductase,98.7
1042209.HK44_003305,EXF92755.1,Serine&nbsp;acetyltransferase,98.7
1042209.HK44_014545,trmB,tRNA&nbsp;(guanine-N(7)-)-methyltransferase,98.6
1042209.HK44_003195,EXF92736.1,Acyl-CoA&nbsp;dehydrogenase,98.5
1042209.HK44_008370,EXF93662.1,Bifunctional&nbsp;glyoxylate/hydroxypyruvate&nbsp;reductase&nbsp;B,98.5
1042209.HK44_027990,tsf,Elongation&nbsp;factor&nbsp;Ts,98.5
1042209.HK44_028150,adk,Adenylate&nbsp;kinase,98.5
1042209.HK44_009265,EXF93813.1,Glycine/betaine&nbsp;ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,98.5
1042209.HK44_020135,EXF96374.1,Threonine&nbsp;aldolase,98.5
1042209.HK44_026345,EXF95165.1,N-acetylmuramoyl-L-alanine&nbsp;amidase,98.4
1042209.HK44_019595,EXF91316.1,Sensor&nbsp;histidine&nbsp;kinase,98.4
1042209.HK44_004640,dnaE2,Error-prone&nbsp;DNA&nbsp;polymerase,98.4
1042209.HK44_002510,EXF94234.1,Carbamate&nbsp;kinase,98.4
1042209.HK44_002575,glk,Glucokinase,98.4
1042209.HK44_004530,EXF92970.1,ABC&nbsp;transporter&nbsp;permease,98.3
1042209.HK44_027830,mutS,DNA&nbsp;mismatch&nbsp;repair&nbsp;protein&nbsp;MutS,98.3
1042209.HK44_027655,dinB,DNA&nbsp;polymerase&nbsp;IV,98.3
1042209.HK44_013015,EXF91728.1,Glycosyl&nbsp;transferase&nbsp;family&nbsp;1,98.3
1042209.HK44_000780,fadB,Fatty&nbsp;acid&nbsp;oxidation&nbsp;complex&nbsp;subunit&nbsp;alpha,98.3
1042209.HK44_024770,EXF95454.1,Uncharacterized&nbsp;protein,98.3
1042209.HK44_010805,EXF92632.1,Glutathione&nbsp;peroxidase,98.3
1042209.HK44_027330,EXF95335.1,ABC&nbsp;transporter&nbsp;permease,98.2
1042209.HK44_028505,EXF94872.1,Anthranilate&nbsp;synthase,98.2
1042209.HK44_026100,EXF95118.1,Lipopolysaccharide&nbsp;core&nbsp;heptose(I)&nbsp;kinase,98.2
1042209.HK44_001385,thrS,Threonine--tRNA&nbsp;ligase,98.2
1042209.HK44_002455,EXF94224.1,Transcriptional&nbsp;regulator,98.1
1042209.HK44_009565,EXF93869.1,Chemotaxis&nbsp;protein&nbsp;CheY,98.1
1042209.HK44_024540,rlmD,23S&nbsp;rRNA&nbsp;(uracil(1939)-C(5))-methyltransferase&nbsp;RlmD,98.1
1042209.HK44_003815,EXF92848.1,Microcin&nbsp;C&nbsp;ABC&nbsp;transporter&nbsp;permease&nbsp;YejB,98.1
1042209.HK44_015045,EXF92114.1,Acetyltransferase,98.1
