187303.BN69_3206,purE,N5-carboxyaminoimidazole&nbsp;ribonucleotide&nbsp;mutase,98.9
187303.BN69_3330,atpD,ATP&nbsp;synthase&nbsp;subunit&nbsp;beta,98.9
187303.BN69_0865,BN69_0865,annotation&nbsp;not&nbsp;available,98.8
187303.BN69_0762,BN69_0762,annotation&nbsp;not&nbsp;available,98.7
187303.BN69_0311,gpmA,"2,3-bisphosphoglycerate-dependent&nbsp;phosphoglycerate&nbsp;mutase",98.5
187303.BN69_0793,ligA,DNA&nbsp;ligase,98.3
187303.BN69_3393,BN69_3393,annotation&nbsp;not&nbsp;available,98.1
187303.BN69_2966,BN69_2966,annotation&nbsp;not&nbsp;available,98.0
187303.BN69_3445,BN69_3445,annotation&nbsp;not&nbsp;available,97.8
187303.BN69_2897,rplJ,50S&nbsp;ribosomal&nbsp;protein&nbsp;L10,97.7
187303.BN69_1991,sucA,annotation&nbsp;not&nbsp;available,97.7
187303.BN69_3570,rpmE,50S&nbsp;ribosomal&nbsp;protein&nbsp;L31,97.7
187303.BN69_1795,BN69_1795,annotation&nbsp;not&nbsp;available,97.6
187303.BN69_1789,BN69_1789,Phosphoenolpyruvate&nbsp;carboxylase,97.6
187303.BN69_0998,BN69_0998,annotation&nbsp;not&nbsp;available,97.6
187303.BN69_0697,BN69_0697,annotation&nbsp;not&nbsp;available,97.6
187303.BN69_3142,BN69_3142,annotation&nbsp;not&nbsp;available,97.6
187303.BN69_1686,dnaJ,Chaperone&nbsp;protein&nbsp;DnaJ,97.5
187303.BN69_0292,BN69_0292,annotation&nbsp;not&nbsp;available,97.5
187303.BN69_3407,BN69_3407,annotation&nbsp;not&nbsp;available,97.4
187303.BN69_3127,BN69_3127,"Cob(I)yrinic&nbsp;acid&nbsp;a,c-diamide&nbsp;adenosyltransferase",97.3
187303.BN69_1147,ppdK,annotation&nbsp;not&nbsp;available,97.2
187303.BN69_2785,BN69_2785,annotation&nbsp;not&nbsp;available,97.1
187303.BN69_0908,BN69_0908,annotation&nbsp;not&nbsp;available,97.0
187303.BN69_3136,pyrH,Uridylate&nbsp;kinase,97.0
187303.BN69_2321,BN69_2321,annotation&nbsp;not&nbsp;available,96.8
187303.BN69_0667,bamD,Outer&nbsp;membrane&nbsp;protein&nbsp;assembly&nbsp;factor&nbsp;BamD,96.8
187303.BN69_0471,BN69_0471,Riboflavin&nbsp;biosynthesis&nbsp;protein&nbsp;RibD,96.6
187303.BN69_1291,BN69_1291,annotation&nbsp;not&nbsp;available,96.5
187303.BN69_0445,BN69_0445,annotation&nbsp;not&nbsp;available,96.4
187303.BN69_0616,BN69_0616,annotation&nbsp;not&nbsp;available,96.3
187303.BN69_1395,BN69_1395,annotation&nbsp;not&nbsp;available,96.3
187303.BN69_0784,BN69_0784,annotation&nbsp;not&nbsp;available,96.3
187303.BN69_2410,BN69_2410,annotation&nbsp;not&nbsp;available,96.2
187303.BN69_2508,infB,Translation&nbsp;initiation&nbsp;factor&nbsp;IF-2,96.2
187303.BN69_2576,BN69_2576,annotation&nbsp;not&nbsp;available,96.1
187303.BN69_2691,ctaE,annotation&nbsp;not&nbsp;available,96.1
187303.BN69_1450,BN69_1450,annotation&nbsp;not&nbsp;available,95.9
187303.BN69_1977,BN69_1977,annotation&nbsp;not&nbsp;available,95.8
187303.BN69_0800,purH,annotation&nbsp;not&nbsp;available,95.8
187303.BN69_1266,rpsN,30S&nbsp;ribosomal&nbsp;protein&nbsp;S14,95.7
187303.BN69_2103,ffh,Signal&nbsp;recognition&nbsp;particle&nbsp;protein,95.6
187303.BN69_0002,BN69_0002,Putrescine-binding&nbsp;periplasmic&nbsp;protein,95.5
187303.BN69_0255,bdhA,annotation&nbsp;not&nbsp;available,95.2
187303.BN69_1545,BN69_1545,annotation&nbsp;not&nbsp;available,95.1
187303.BN69_0526,BN69_0526,annotation&nbsp;not&nbsp;available,95.0
187303.BN69_2634,BN69_2634,annotation&nbsp;not&nbsp;available,95.0
187303.BN69_3230,BN69_3230,annotation&nbsp;not&nbsp;available,94.8
187303.BN69_3517,purN,Phosphoribosylglycinamide&nbsp;formyltransferase,94.7
187303.BN69_2573,BN69_2573,Methanol&nbsp;dehydrogenase&nbsp;[cytochrome&nbsp;c]&nbsp;subunit&nbsp;2,94.6
187303.BN69_3356,BN69_3356,annotation&nbsp;not&nbsp;available,94.6
187303.BN69_1074,rpoZ,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;omega,94.6
187303.BN69_2224,BN69_2224,annotation&nbsp;not&nbsp;available,94.5
187303.BN69_0838,BN69_0838,annotation&nbsp;not&nbsp;available,94.5
187303.BN69_3495,trpC,annotation&nbsp;not&nbsp;available,94.5
187303.BN69_1577,BN69_1577,annotation&nbsp;not&nbsp;available,94.3
187303.BN69_3217,BN69_3217,annotation&nbsp;not&nbsp;available,94.2
187303.BN69_2037,BN69_2037,annotation&nbsp;not&nbsp;available,94.0
187303.BN69_1239,metK,annotation&nbsp;not&nbsp;available,94.0
187303.BN69_2448,BN69_2448,annotation&nbsp;not&nbsp;available,93.9
187303.BN69_2624,nifD,annotation&nbsp;not&nbsp;available,93.8
187303.BN69_0556,BN69_0556,annotation&nbsp;not&nbsp;available,93.8
187303.BN69_2087,BN69_2087,annotation&nbsp;not&nbsp;available,93.6
187303.BN69_2488,kdpB,Potassium-transporting&nbsp;ATPase&nbsp;ATP-binding&nbsp;subunit,93.5
187303.BN69_1091,BN69_1091,annotation&nbsp;not&nbsp;available,93.4
187303.BN69_0875,infA,Translation&nbsp;initiation&nbsp;factor&nbsp;IF-1,93.2
187303.BN69_0510,carA,annotation&nbsp;not&nbsp;available,93.2
187303.BN69_0884,BN69_0884,annotation&nbsp;not&nbsp;available,93.0
187303.BN69_2060,ppa,Inorganic&nbsp;pyrophosphatase,93.0
187303.BN69_3112,accA,Acetyl-coenzyme&nbsp;A&nbsp;carboxylase&nbsp;carboxyl&nbsp;transferase&nbsp;subunit&nbsp;alpha,93.0
187303.BN69_2669,cysE,annotation&nbsp;not&nbsp;available,93.0
187303.BN69_0126,traG,annotation&nbsp;not&nbsp;available,92.9
187303.BN69_0996,BN69_0996,annotation&nbsp;not&nbsp;available,92.9
187303.BN69_2506,nusA,Transcription&nbsp;termination/antitermination&nbsp;protein&nbsp;NusA,92.8
187303.BN69_2535,BN69_2535,annotation&nbsp;not&nbsp;available,92.7
187303.BN69_2289,argH,annotation&nbsp;not&nbsp;available,92.6
187303.BN69_1287,cydA,annotation&nbsp;not&nbsp;available,92.5
187303.BN69_0864,folE2,annotation&nbsp;not&nbsp;available,92.5
187303.BN69_1178,BN69_1178,annotation&nbsp;not&nbsp;available,92.2
187303.BN69_0961,BN69_0961,annotation&nbsp;not&nbsp;available,92.1
187303.BN69_3098,BN69_3098,annotation&nbsp;not&nbsp;available,92.1
187303.BN69_2159,secB,Protein-export&nbsp;protein&nbsp;SecB,92.1
187303.BN69_2031,BN69_2031,annotation&nbsp;not&nbsp;available,92.0
187303.BN69_0696,BN69_0696,annotation&nbsp;not&nbsp;available,92.0
187303.BN69_2675,BN69_2675,annotation&nbsp;not&nbsp;available,91.9
187303.BN69_2408,pstB,Phosphate&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;PstB,91.9
187303.BN69_2555,BN69_2555,annotation&nbsp;not&nbsp;available,91.9
187303.BN69_2955,purC,annotation&nbsp;not&nbsp;available,91.9
187303.BN69_0960,BN69_0960,annotation&nbsp;not&nbsp;available,91.9
187303.BN69_2738,BN69_2738,annotation&nbsp;not&nbsp;available,91.8
187303.BN69_1971,BN69_1971,"Alpha-1,4&nbsp;glucan&nbsp;phosphorylase",91.8
187303.BN69_1738,nuoM,annotation&nbsp;not&nbsp;available,91.8
187303.BN69_0827,hisA,annotation&nbsp;not&nbsp;available,91.5
187303.BN69_0788,ccmA,Cytochrome&nbsp;c&nbsp;biogenesis&nbsp;ATP-binding&nbsp;export&nbsp;protein&nbsp;CcmA,91.5
187303.BN69_1556,dnaG,DNA&nbsp;primase,91.4
187303.BN69_1272,rplP,50S&nbsp;ribosomal&nbsp;protein&nbsp;L16,91.3
187303.BN69_0097,BN69_0097,Ubiquinol-cytochrome&nbsp;c&nbsp;reductase&nbsp;iron-sulfur&nbsp;subunit,91.3
187303.BN69_3441,BN69_3441,annotation&nbsp;not&nbsp;available,91.3
187303.BN69_0727,BN69_0727,annotation&nbsp;not&nbsp;available,91.3
187303.BN69_3257,nrdJ,Vitamin&nbsp;B12-dependent&nbsp;ribonucleotide&nbsp;reductase,91.3
187303.BN69_3379,purD,annotation&nbsp;not&nbsp;available,91.3
187303.BN69_1744,nuoG,annotation&nbsp;not&nbsp;available,91.2
187303.BN69_0687,BN69_0687,annotation&nbsp;not&nbsp;available,91.0
187303.BN69_1038,BN69_1038,annotation&nbsp;not&nbsp;available,91.0
187303.BN69_0188,BN69_0188,annotation&nbsp;not&nbsp;available,91.0
187303.BN69_3317,plsX,Phosphate&nbsp;acyltransferase,90.9
187303.BN69_1008,pckA,Phosphoenolpyruvate&nbsp;carboxykinase&nbsp;(ATP),90.9
187303.BN69_2895,rpoB,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta,90.7
187303.BN69_1257,rpsM,30S&nbsp;ribosomal&nbsp;protein&nbsp;S13,90.7
187303.BN69_3218,BN69_3218,annotation&nbsp;not&nbsp;available,90.6
187303.BN69_3496,trpD,Anthranilate&nbsp;phosphoribosyltransferase,90.5
187303.BN69_1471,BN69_1471,annotation&nbsp;not&nbsp;available,90.4
187303.BN69_3415,BN69_3415,annotation&nbsp;not&nbsp;available,90.4
187303.BN69_1179,fhs,annotation&nbsp;not&nbsp;available,90.4
187303.BN69_3275,BN69_3275,Biotin&nbsp;carboxyl&nbsp;carrier&nbsp;protein&nbsp;of&nbsp;acetyl-CoA&nbsp;carboxylase,90.3
187303.BN69_2446,BN69_2446,annotation&nbsp;not&nbsp;available,90.2
187303.BN69_1894,BN69_1894,annotation&nbsp;not&nbsp;available,90.2
187303.BN69_3189,lolD,Lipoprotein-releasing&nbsp;system&nbsp;ATP-binding&nbsp;protein&nbsp;LolD,90.2
187303.BN69_1990,BN69_1990,Succinate--CoA&nbsp;ligase&nbsp;[ADP-forming]&nbsp;subunit&nbsp;alpha,90.0
187303.BN69_1673,BN69_1673,annotation&nbsp;not&nbsp;available,90.0
187303.BN69_3106,BN69_3106,annotation&nbsp;not&nbsp;available,89.9
187303.BN69_2659,BN69_2659,annotation&nbsp;not&nbsp;available,89.9
187303.BN69_0590,BN69_0590,annotation&nbsp;not&nbsp;available,89.8
187303.BN69_1716,BN69_1716,annotation&nbsp;not&nbsp;available,89.6
187303.BN69_2397,BN69_2397,annotation&nbsp;not&nbsp;available,89.6
187303.BN69_0365,BN69_0365,annotation&nbsp;not&nbsp;available,89.5
187303.BN69_1103,BN69_1103,annotation&nbsp;not&nbsp;available,88.9
187303.BN69_2699,nrfD,annotation&nbsp;not&nbsp;available,88.9
187303.BN69_3446,BN69_3446,annotation&nbsp;not&nbsp;available,88.9
187303.BN69_1357,BN69_1357,annotation&nbsp;not&nbsp;available,88.8
187303.BN69_1277,rplW,50S&nbsp;ribosomal&nbsp;protein&nbsp;L23,88.7
187303.BN69_2960,ribB,"3,4-dihydroxy-2-butanone&nbsp;4-phosphate&nbsp;synthase",88.6
187303.BN69_0653,pstS,annotation&nbsp;not&nbsp;available,88.5
187303.BN69_0744,BN69_0744,annotation&nbsp;not&nbsp;available,88.5
187303.BN69_1267,rplE,50S&nbsp;ribosomal&nbsp;protein&nbsp;L5,88.4
187303.BN69_0525,BN69_0525,annotation&nbsp;not&nbsp;available,88.3
187303.BN69_0732,BN69_0732,Sulfate&nbsp;adenylyltransferase&nbsp;subunit&nbsp;1,88.1
187303.BN69_2393,BN69_2393,annotation&nbsp;not&nbsp;available,88.0
187303.BN69_1763,rpsO,30S&nbsp;ribosomal&nbsp;protein&nbsp;S15,87.8
187303.BN69_2693,ctaC,annotation&nbsp;not&nbsp;available,87.8
187303.BN69_2171,mnmG,tRNA&nbsp;uridine&nbsp;5-carboxymethylaminomethyl&nbsp;modification&nbsp;enzyme&nbsp;MnmG,87.7
187303.BN69_0204,pmoB2,annotation&nbsp;not&nbsp;available,87.7
187303.BN69_0346,rplI,50S&nbsp;ribosomal&nbsp;protein&nbsp;L9,87.6
187303.BN69_1269,rplN,50S&nbsp;ribosomal&nbsp;protein&nbsp;L14,87.6
187303.BN69_1989,rplA,50S&nbsp;ribosomal&nbsp;protein&nbsp;L1,87.5
187303.BN69_1264,rplF,50S&nbsp;ribosomal&nbsp;protein&nbsp;L6,87.5
187303.BN69_2572,BN69_2572,Cytochrome&nbsp;c-L,87.5
187303.BN69_2032,BN69_2032,annotation&nbsp;not&nbsp;available,87.4
187303.BN69_2152,BN69_2152,annotation&nbsp;not&nbsp;available,87.3
187303.BN69_2339,BN69_2339,annotation&nbsp;not&nbsp;available,87.2
187303.BN69_0583,BN69_0583,annotation&nbsp;not&nbsp;available,87.1
187303.BN69_2038,gcvH,Glycine&nbsp;cleavage&nbsp;system&nbsp;H&nbsp;protein,87.1
187303.BN69_1051,BN69_1051,annotation&nbsp;not&nbsp;available,87.0
187303.BN69_1512,BN69_1512,annotation&nbsp;not&nbsp;available,86.8
187303.BN69_1852,BN69_1852,annotation&nbsp;not&nbsp;available,86.7
187303.BN69_2894,rpoBC,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta',86.6
187303.BN69_3402,nadD,Probable&nbsp;nicotinate-nucleotide&nbsp;adenylyltransferase,86.4
187303.BN69_0457,BN69_0457,annotation&nbsp;not&nbsp;available,86.4
187303.BN69_2008,BN69_2008,annotation&nbsp;not&nbsp;available,86.4
187303.BN69_1261,rpmD,annotation&nbsp;not&nbsp;available,86.2
187303.BN69_3548,BN69_3548,annotation&nbsp;not&nbsp;available,86.2
187303.BN69_1739,nuoL,annotation&nbsp;not&nbsp;available,86.0
187303.BN69_2320,fabA,3-hydroxydecanoyl-[acyl-carrier-protein]&nbsp;dehydratase,86.0
187303.BN69_2381,BN69_2381,annotation&nbsp;not&nbsp;available,86.0
187303.BN69_2405,BN69_2405,Phosphate-binding&nbsp;protein&nbsp;PstS,86.0
187303.BN69_0747,BN69_0747,annotation&nbsp;not&nbsp;available,85.7
187303.BN69_1365,BN69_1365,annotation&nbsp;not&nbsp;available,85.7
187303.BN69_0787,BN69_0787,Heme&nbsp;exporter&nbsp;protein&nbsp;B,85.5
187303.BN69_2252,BN69_2252,annotation&nbsp;not&nbsp;available,85.5
187303.BN69_2280,BN69_2280,annotation&nbsp;not&nbsp;available,85.3
187303.BN69_1881,BN69_1881,annotation&nbsp;not&nbsp;available,85.2
187303.BN69_1674,BN69_1674,annotation&nbsp;not&nbsp;available,85.2
187303.BN69_0994,BN69_0994,annotation&nbsp;not&nbsp;available,85.2
187303.BN69_1040,trpA,Tryptophan&nbsp;synthase&nbsp;alpha&nbsp;chain,85.0
187303.BN69_1260,rplO,50S&nbsp;ribosomal&nbsp;protein&nbsp;L15,84.9
187303.BN69_2160,dnaQ,DNA&nbsp;polymerase&nbsp;III&nbsp;subunit&nbsp;epsilon,84.8
187303.BN69_1746,nuoE,annotation&nbsp;not&nbsp;available,84.8
187303.BN69_2387,BN69_2387,annotation&nbsp;not&nbsp;available,84.8
187303.BN69_3512,tpiA,Triosephosphate&nbsp;isomerase,84.7
187303.BN69_2700,BN69_2700,annotation&nbsp;not&nbsp;available,84.6
187303.BN69_2578,BN69_2578,annotation&nbsp;not&nbsp;available,84.6
187303.BN69_3220,BN69_3220,annotation&nbsp;not&nbsp;available,84.6
187303.BN69_0090,carB,annotation&nbsp;not&nbsp;available,84.6
187303.BN69_0828,hisH,Imidazole&nbsp;glycerol&nbsp;phosphate&nbsp;synthase&nbsp;subunit&nbsp;HisH,84.6
187303.BN69_0817,htpG,Chaperone&nbsp;protein&nbsp;HtpG,84.4
187303.BN69_0291,moaD,Molybdopterin&nbsp;synthase&nbsp;sulfur&nbsp;carrier&nbsp;subunit,84.3
187303.BN69_2902,pheS,annotation&nbsp;not&nbsp;available,84.3
187303.BN69_2611,nifA,annotation&nbsp;not&nbsp;available,84.2
187303.BN69_0405,BN69_0405,Ferredoxin,84.1
187303.BN69_1263,rplR,50S&nbsp;ribosomal&nbsp;protein&nbsp;L18,84.0
187303.BN69_3132,rpsB,annotation&nbsp;not&nbsp;available,84.0
187303.BN69_1936,BN69_1936,annotation&nbsp;not&nbsp;available,83.7
187303.BN69_2835,bioD,ATP-dependent&nbsp;dethiobiotin&nbsp;synthetase&nbsp;BioD,83.7
187303.BN69_3410,BN69_3410,annotation&nbsp;not&nbsp;available,83.7
187303.BN69_0530,BN69_0530,annotation&nbsp;not&nbsp;available,83.4
187303.BN69_2004,minD,annotation&nbsp;not&nbsp;available,83.2
187303.BN69_2740,BN69_2740,annotation&nbsp;not&nbsp;available,83.2
187303.BN69_1297,rpsR,30S&nbsp;ribosomal&nbsp;protein&nbsp;S18,83.1
