575586.HMPREF0016_00339,EEY97256.1,annotation&nbsp;not&nbsp;available,98.9
575586.HMPREF0016_03145,znuC,Zinc&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;ZnuC,98.9
575586.HMPREF0016_02349,rpsD,30S&nbsp;ribosomal&nbsp;protein&nbsp;S4,98.9
575586.HMPREF0016_01297,folE,annotation&nbsp;not&nbsp;available,98.7
575586.HMPREF0016_01950,EEY96233.1,annotation&nbsp;not&nbsp;available,98.7
575586.HMPREF0016_01524,EEY96833.1,annotation&nbsp;not&nbsp;available,98.7
575586.HMPREF0016_02608,phoR,annotation&nbsp;not&nbsp;available,98.6
575586.HMPREF0016_02592,argT,annotation&nbsp;not&nbsp;available,98.5
575586.HMPREF0016_01687,kdpB,Potassium-transporting&nbsp;ATPase&nbsp;ATP-binding&nbsp;subunit,98.3
575586.HMPREF0016_01855,recD,RecBCD&nbsp;enzyme&nbsp;subunit&nbsp;RecD,98.3
575586.HMPREF0016_00939,rpsL,30S&nbsp;ribosomal&nbsp;protein&nbsp;S12,98.3
575586.HMPREF0016_00643,pilG,annotation&nbsp;not&nbsp;available,98.2
575586.HMPREF0016_01206,yfiO,Outer&nbsp;membrane&nbsp;protein&nbsp;assembly&nbsp;factor&nbsp;BamD,98.1
575586.HMPREF0016_02590,hisM,annotation&nbsp;not&nbsp;available,98.1
575586.HMPREF0016_03154,EEY94752.1,annotation&nbsp;not&nbsp;available,98.1
575586.HMPREF0016_00336,proB,Glutamate&nbsp;5-kinase,98.0
575586.HMPREF0016_00312,EEY97229.1,2-dehydropantoate&nbsp;2-reductase,97.9
575586.HMPREF0016_02473,murE,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate&nbsp;ligase",97.8
575586.HMPREF0016_02623,urtB,annotation&nbsp;not&nbsp;available,97.7
575586.HMPREF0016_01352,EEY96661.1,annotation&nbsp;not&nbsp;available,97.6
575586.HMPREF0016_00684,gltK,annotation&nbsp;not&nbsp;available,97.5
575586.HMPREF0016_02842,EEY94981.1,annotation&nbsp;not&nbsp;available,97.5
575586.HMPREF0016_02601,serB,annotation&nbsp;not&nbsp;available,97.4
575586.HMPREF0016_00350,aspC,annotation&nbsp;not&nbsp;available,97.4
575586.HMPREF0016_02376,EEY95423.1,annotation&nbsp;not&nbsp;available,97.4
575586.HMPREF0016_00704,hppD,annotation&nbsp;not&nbsp;available,97.2
575586.HMPREF0016_01628,ihfA,Integration&nbsp;host&nbsp;factor&nbsp;subunit&nbsp;alpha,97.1
575586.HMPREF0016_01529,EEY96838.1,annotation&nbsp;not&nbsp;available,97.1
575586.HMPREF0016_02126,hemL,annotation&nbsp;not&nbsp;available,97.1
575586.HMPREF0016_00424,EEY97341.1,Lipoprotein-releasing&nbsp;system&nbsp;ATP-binding&nbsp;protein&nbsp;LolD,97.1
575586.HMPREF0016_00691,EEY97608.1,annotation&nbsp;not&nbsp;available,97.1
575586.HMPREF0016_01959,cpdA,"3',5'-cyclic&nbsp;adenosine&nbsp;monophosphate&nbsp;phosphodiesterase&nbsp;CpdA",97.0
575586.HMPREF0016_01212,EEY96521.1,annotation&nbsp;not&nbsp;available,96.9
575586.HMPREF0016_03139,atpF,ATP&nbsp;synthase&nbsp;subunit&nbsp;b,96.8
575586.HMPREF0016_00732,gatA,Glutamyl-tRNA(Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;A,96.5
575586.HMPREF0016_01806,EEY96088.1,annotation&nbsp;not&nbsp;available,96.4
