1207055.C100_01850,C100_01850,ATP&nbsp;synthase&nbsp;subunit&nbsp;beta,98.9
1207055.C100_02850,ruvA,Holliday&nbsp;junction&nbsp;ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RuvA,98.8
1207055.C100_15185,C100_15185,Fe-S&nbsp;metabolism&nbsp;protein&nbsp;SufE,98.8
1207055.C100_10905,metK,S-adenosylmethionine&nbsp;synthase,98.8
1207055.C100_01380,rpmG,50S&nbsp;ribosomal&nbsp;protein&nbsp;L33,98.8
1207055.C100_11130,C100_11130,Acetyl-CoA&nbsp;acetyltransferase,98.8
1207055.C100_00205,C100_00205,Glyoxalase,98.7
1207055.C100_00230,C100_00230,3-ketosteroid&nbsp;dehydrogenase,98.7
1207055.C100_01250,C100_01250,5-methyltetrahydrofolate--homocysteine&nbsp;methyltransferase,98.7
1207055.C100_12730,nuoI,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;I,98.6
1207055.C100_02775,C100_02775,XRE&nbsp;family&nbsp;transcriptional&nbsp;regulator,98.6
1207055.C100_09260,C100_09260,Phenylacetic&nbsp;acid&nbsp;degradation&nbsp;protein,98.5
1207055.C100_15140,C100_15140,ATPase&nbsp;AAA,98.5
1207055.C100_11955,C100_11955,Glutathione&nbsp;S-transferase,98.5
1207055.C100_04555,C100_04555,Cytochrome&nbsp;B562,98.5
1207055.C100_04510,C100_04510,Signal&nbsp;peptidase&nbsp;I,98.5
1207055.C100_17400,cysS,Cysteine--tRNA&nbsp;ligase,98.4
1207055.C100_23720,apt,Adenine&nbsp;phosphoribosyltransferase,98.4
1207055.C100_02545,C100_02545,Uncharacterized&nbsp;protein,98.3
1207055.C100_09775,C100_09775,Rod&nbsp;shape-determining&nbsp;protein&nbsp;MreC,98.2
1207055.C100_12860,C100_12860,Transketolase,98.2
1207055.C100_00675,C100_00675,"dTDP-glucose&nbsp;4,6-dehydratase",98.2
1207055.C100_01415,C100_01415,Peptidoglycan&nbsp;glycosyltransferase,98.1
1207055.C100_05980,C100_05980,Acetyl-CoA&nbsp;acetyltransferase,98.1
1207055.C100_22575,C100_22575,AraC&nbsp;family&nbsp;transcriptional&nbsp;regulator,98.1
1207055.C100_19830,C100_19830,Cysteine&nbsp;desulfurase,98.1
1207055.C100_17750,C100_17750,Helicase,98.0
1207055.C100_17035,rpoC,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta,98.0
1207055.C100_00330,C100_00330,Aldolase,98.0
1207055.C100_02450,C100_02450,FeS&nbsp;assembly&nbsp;SUF&nbsp;system&nbsp;protein,97.9
