1156919.QWC_04258,QWC_04258,annotation&nbsp;not&nbsp;available,98.9
1156919.QWC_21409,QWC_21409,Acetoacetyl-CoA&nbsp;reductase,98.9
1156919.QWC_06494,QWC_06494,Nitrite&nbsp;extrusion&nbsp;protein,98.9
1156919.QWC_06169,QWC_06169,Aliphatic&nbsp;sulfonates&nbsp;family&nbsp;ABC&nbsp;transporter&nbsp;periplasmic&nbsp;ligand-binding&nbsp;protein,98.9
1156919.QWC_27701,QWC_27701,COG1538&nbsp;Outer&nbsp;membrane&nbsp;protein,98.9
1156919.QWC_14934,QWC_14934,Winged&nbsp;helix&nbsp;family&nbsp;two&nbsp;component&nbsp;heavy&nbsp;metal&nbsp;response&nbsp;transcriptional&nbsp;regulator,98.9
1156919.QWC_13707,QWC_13707,HAMP&nbsp;domain-containing&nbsp;protein&nbsp;17,98.9
1156919.QWC_08736,QWC_08736,Anaerobic&nbsp;nitric&nbsp;oxide&nbsp;reductase&nbsp;transcription&nbsp;regulator,98.9
1156919.QWC_15979,QWC_15979,"COG4208&nbsp;ABC-type&nbsp;sulfate&nbsp;transport&nbsp;system,&nbsp;permease&nbsp;component",98.8
1156919.QWC_25738,rplP,50S&nbsp;ribosomal&nbsp;protein&nbsp;L16,98.8
1156919.QWC_22314,glyQ,"COG0752&nbsp;Glycyl-tRNA&nbsp;synthetase,&nbsp;alpha&nbsp;subunit",98.8
1156919.QWC_03993,QWC_03993,COG3707&nbsp;Response&nbsp;regulator&nbsp;with&nbsp;putative&nbsp;antiterminator&nbsp;output&nbsp;domain,98.8
1156919.QWC_09974,QWC_09974,Hemolysin-type&nbsp;calcium-binding&nbsp;repeat&nbsp;family&nbsp;protein&nbsp;3,98.8
1156919.QWC_07154,QWC_07154,Amidase,98.7
1156919.QWC_29743,QWC_29743,Zinc-binding&nbsp;dehydrogenase&nbsp;family&nbsp;protein&nbsp;4,98.7
1156919.QWC_03028,QWC_03028,Shikimate/quinate&nbsp;5-dehydrogenase&nbsp;family&nbsp;protein&nbsp;2,98.7
1156919.QWC_04018,QWC_04018,Nitrate&nbsp;reductase,98.7
1156919.QWC_15039,QWC_15039,COG0069&nbsp;Glutamate&nbsp;synthase&nbsp;domain&nbsp;2,98.7
1156919.QWC_16802,QWC_16802,COG1024&nbsp;Enoyl-CoA&nbsp;hydratase/carnithine&nbsp;racemase,98.7
1156919.QWC_30616,QWC_30616,D-beta-D-heptose&nbsp;1-phosphate&nbsp;adenosyltransferase,98.7
1156919.QWC_17862,uppP,Undecaprenyl-diphosphatase,98.6
1156919.QWC_25532,asd,Aspartate-semialdehyde&nbsp;dehydrogenase,98.6
1156919.QWC_29468,QWC_29468,COG0446&nbsp;Uncharacterized&nbsp;NAD(FAD)-dependent&nbsp;dehydrogenases,98.6
1156919.QWC_06144,QWC_06144,5-carboxymethyl-2-hydroxymuconate&nbsp;delta-isomerase,98.6
1156919.QWC_27282,QWC_27282,Formate&nbsp;dehydrogenase&nbsp;subunit&nbsp;alpha,98.5
1156919.QWC_26468,QWC_26468,annotation&nbsp;not&nbsp;available,98.5
1156919.QWC_13262,flgJ,Flagellar&nbsp;rod&nbsp;assembly&nbsp;protein/muramidase&nbsp;FlgJ,98.5
1156919.QWC_05954,QWC_05954,"COG1917&nbsp;Uncharacterized&nbsp;conserved&nbsp;protein,&nbsp;contains&nbsp;double-stranded&nbsp;beta-helix&nbsp;domain",98.5
1156919.QWC_07784,leuS,Leucine--tRNA&nbsp;ligase,98.5
1156919.QWC_11671,QWC_11671,Helicase&nbsp;c2&nbsp;2,98.5
1156919.QWC_00665,QWC_00665,Cobalt-zinc-cadmium&nbsp;resistance&nbsp;protein&nbsp;CzcB,98.5
1156919.QWC_28865,QWC_28865,ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein,98.5
1156919.QWC_13872,QWC_13872,"COG1294&nbsp;Cytochrome&nbsp;bd-type&nbsp;quinol&nbsp;oxidase,&nbsp;subunit&nbsp;2",98.4
1156919.QWC_17912,QWC_17912,annotation&nbsp;not&nbsp;available,98.4
1156919.QWC_07799,proA,Gamma-glutamyl&nbsp;phosphate&nbsp;reductase,98.4
1156919.QWC_09226,QWC_09226,"COG0410&nbsp;ABC-type&nbsp;branched-chain&nbsp;amino&nbsp;acid&nbsp;transport&nbsp;systems,&nbsp;ATPase&nbsp;component",98.4
1156919.QWC_29453,QWC_29453,ABC&nbsp;transporter&nbsp;permease,98.4
1156919.QWC_04353,QWC_04353,COG0191&nbsp;Fructose/tagatose&nbsp;bisphosphate&nbsp;aldolase,98.4
1156919.QWC_06029,QWC_06029,RND&nbsp;efflux&nbsp;system&nbsp;outer&nbsp;membrane&nbsp;lipoprotein,98.4
