438753.AZC_2826,AZC_2826,annotation&nbsp;not&nbsp;available,98.9
438753.AZC_0921,AZC_0921,"Sulfate&nbsp;ABC&nbsp;transporter,&nbsp;permease&nbsp;protein&nbsp;CysT",98.9
438753.AZC_0727,AZC_0727,annotation&nbsp;not&nbsp;available,98.8
438753.AZC_2386,purD,annotation&nbsp;not&nbsp;available,98.8
438753.AZC_4009,AZC_4009,annotation&nbsp;not&nbsp;available,98.7
438753.AZC_4402,AZC_4402,annotation&nbsp;not&nbsp;available,98.7
438753.AZC_3174,AZC_3174,annotation&nbsp;not&nbsp;available,98.7
438753.AZC_4116,glgB,"1,4-alpha-glucan&nbsp;branching&nbsp;enzyme&nbsp;GlgB",98.7
438753.AZC_0126,AZC_0126,Fis-type&nbsp;transcriptional&nbsp;regulator,98.7
438753.AZC_1007,AZC_1007,Non-homologous&nbsp;end&nbsp;joining&nbsp;protein&nbsp;Ku,98.6
438753.AZC_0104,AZC_0104,S-formylglutathione&nbsp;hydrolase,98.5
438753.AZC_0804,AZC_0804,annotation&nbsp;not&nbsp;available,98.5
438753.AZC_1266,nusB,Transcription&nbsp;antitermination&nbsp;protein&nbsp;NusB,98.4
438753.AZC_1966,AZC_1966,annotation&nbsp;not&nbsp;available,98.3
438753.AZC_1885,AZC_1885,annotation&nbsp;not&nbsp;available,98.3
438753.AZC_2542,rplE,50S&nbsp;ribosomal&nbsp;protein&nbsp;L5,98.2
438753.AZC_0620,cheY,annotation&nbsp;not&nbsp;available,98.2
438753.AZC_4127,atpA,ATP&nbsp;synthase&nbsp;subunit&nbsp;alpha,98.2
438753.AZC_1494,AZC_1494,Sarcosine&nbsp;oxidase&nbsp;alpha&nbsp;subunit,98.2
438753.AZC_4386,AZC_4386,annotation&nbsp;not&nbsp;available,98.2
438753.AZC_3248,AZC_3248,annotation&nbsp;not&nbsp;available,98.1
438753.AZC_2769,AZC_2769,Enoyl-[acyl-carrier-protein]&nbsp;reductase&nbsp;[NADH],98.1
438753.AZC_3736,AZC_3736,annotation&nbsp;not&nbsp;available,98.1
438753.AZC_3037,AZC_3037,annotation&nbsp;not&nbsp;available,98.1
438753.AZC_4387,hmuV,Hemin&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;HmuV,98.1
438753.AZC_2012,AZC_2012,annotation&nbsp;not&nbsp;available,98.1
438753.AZC_4055,rpmH,annotation&nbsp;not&nbsp;available,98.1
438753.AZC_0760,AZC_0760,annotation&nbsp;not&nbsp;available,98.1
438753.AZC_2979,AZC_2979,annotation&nbsp;not&nbsp;available,98.0
438753.AZC_4211,AZC_4211,annotation&nbsp;not&nbsp;available,98.0
438753.AZC_3349,AZC_3349,annotation&nbsp;not&nbsp;available,97.8
438753.AZC_4442,AZC_4442,annotation&nbsp;not&nbsp;available,97.8
438753.AZC_4079,AZC_4079,annotation&nbsp;not&nbsp;available,97.8
438753.AZC_3249,AZC_3249,ABC&nbsp;type&nbsp;hydroxamate-dependent&nbsp;iron&nbsp;uptake&nbsp;duplicated&nbsp;permease,97.7
438753.AZC_3975,AZC_3975,annotation&nbsp;not&nbsp;available,97.7
438753.AZC_4394,AZC_4394,annotation&nbsp;not&nbsp;available,97.7
438753.AZC_2973,AZC_2973,annotation&nbsp;not&nbsp;available,97.7
438753.AZC_0498,AZC_0498,annotation&nbsp;not&nbsp;available,97.7
438753.AZC_0722,AZC_0722,annotation&nbsp;not&nbsp;available,97.6
438753.AZC_1046,AZC_1046,annotation&nbsp;not&nbsp;available,97.5
438753.AZC_2532,rpsM,30S&nbsp;ribosomal&nbsp;protein&nbsp;S13,97.5
438753.AZC_3948,AZC_3948,annotation&nbsp;not&nbsp;available,97.5
