640510.BC1001_2496,ADX55912.1,KEGG:&nbsp;bgf:BC1003_2466&nbsp;phosphate&nbsp;ABC&nbsp;transporter&nbsp;inner&nbsp;membrane&nbsp;subunit&nbsp;PstA,98.9
640510.BC1001_2532,acpS,Holo-[acyl-carrier-protein]&nbsp;synthase,98.9
640510.BC1001_1048,kdpB,Potassium-transporting&nbsp;ATPase&nbsp;ATP-binding&nbsp;subunit,98.9
640510.BC1001_3661,ADX57074.1,Cobaltochelatase,98.9
640510.BC1001_0832,ADX54285.1,PFAM:&nbsp;4-oxalocrotonate&nbsp;tautomerase,98.9
640510.BC1001_1390,ADX54826.1,SMART:&nbsp;Transketolase&nbsp;central&nbsp;region,98.9
640510.BC1001_2181,ADX55598.1,Glutathione&nbsp;peroxidase,98.8
640510.BC1001_1637,ADX55072.1,KEGG:&nbsp;bgf:BC1003_1692&nbsp;uroporphyrin-III&nbsp;C-methyltransferase,98.8
640510.BC1001_3150,ADX56564.1,PFAM:&nbsp;binding-protein-dependent&nbsp;transport&nbsp;systems&nbsp;inner&nbsp;membrane&nbsp;component,98.8
640510.BC1001_0325,uvrA,UvrABC&nbsp;system&nbsp;protein&nbsp;A,98.8
640510.BC1001_0184,ADX53649.1,KEGG:&nbsp;bxe:Bxe_A2088&nbsp;hypothetical&nbsp;protein,98.8
640510.BC1001_2088,ADX55505.1,KEGG:&nbsp;bph:Bphy_1154&nbsp;glutamine&nbsp;ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein,98.7
640510.BC1001_0629,ADX54084.1,PFAM:&nbsp;Pyridoxal-5'-phosphate-dependent&nbsp;protein&nbsp;beta&nbsp;subunit,98.7
640510.BC1001_2709,ADX56125.1,"(P)ppGpp&nbsp;synthetase&nbsp;I,&nbsp;SpoT/RelA",98.7
640510.BC1001_2518,ADX55934.1,Trehalose-6-phosphate&nbsp;synthase,98.6
640510.BC1001_1138,uvrB,UvrABC&nbsp;system&nbsp;protein&nbsp;B,98.5
640510.BC1001_3971,ADX57382.1,KEGG:&nbsp;bgf:BC1003_5431&nbsp;formylmethanofuran&nbsp;dehydrogenase&nbsp;subunit&nbsp;B,98.5
640510.BC1001_4417,ADX57814.1,TIGRFAM:&nbsp;heavy&nbsp;metal&nbsp;response&nbsp;regulator,98.5
640510.BC1001_2789,ADX56203.1,PFAM:&nbsp;inner-membrane&nbsp;translocator,98.4
640510.BC1001_4402,ADX57801.1,PFAM:&nbsp;D-isomer&nbsp;specific&nbsp;2-hydroxyacid&nbsp;dehydrogenase&nbsp;NAD-binding,98.4
640510.BC1001_5313,ADX58694.1,KEGG:&nbsp;bgf:BC1003_4107&nbsp;hypothetical&nbsp;protein,98.3
640510.BC1001_4918,ADX58300.1,TIGRFAM:&nbsp;4-alpha-glucanotransferase,98.3
640510.BC1001_5593,ADX58967.1,TIGRFAM:&nbsp;2-hydroxy-3-oxopropionate&nbsp;reductase,98.3
640510.BC1001_0706,ADX54160.1,"KEGG:&nbsp;bpy:Bphyt_0952&nbsp;UreA&nbsp;ABC&nbsp;transporter,&nbsp;permease&nbsp;protein&nbsp;UrtC",98.2
640510.BC1001_2635,ADX56051.1,KEGG:&nbsp;bgf:BC1003_2604&nbsp;histidinol-phosphate&nbsp;aminotransferase,98.1
640510.BC1001_2180,clsA,Cardiolipin&nbsp;synthase&nbsp;A,98.0
640510.BC1001_2244,hisZ,ATP&nbsp;phosphoribosyltransferase&nbsp;regulatory&nbsp;subunit,98.0
640510.BC1001_0744,pepA,Probable&nbsp;cytosol&nbsp;aminopeptidase,97.9
640510.BC1001_2997,rpsI,PFAM:&nbsp;ribosomal&nbsp;protein&nbsp;S9,97.9
640510.BC1001_0783,glk,TIGRFAM:&nbsp;glucokinase,97.9
640510.BC1001_3922,ADX57333.1,Histidine&nbsp;kinase,97.8
