864073.HFRIS_000485,EOA06744.1,COG1820&nbsp;N-acetylglucosamine-6-phosphate&nbsp;deacetylase,98.9
864073.HFRIS_022938,pncB,Nicotinate&nbsp;phosphoribosyltransferase,98.9
864073.HFRIS_016562,EOA03683.1,"COG1125&nbsp;ABC-type&nbsp;proline/glycine&nbsp;betaine&nbsp;transport&nbsp;systems,&nbsp;ATPase&nbsp;components",98.9
864073.HFRIS_017649,EOA03370.1,"COG0410&nbsp;ABC-type&nbsp;branched-chain&nbsp;amino&nbsp;acid&nbsp;transport&nbsp;systems,&nbsp;ATPase&nbsp;component",98.9
864073.HFRIS_013905,EOA04175.1,COG0840&nbsp;Methyl-accepting&nbsp;chemotaxis&nbsp;protein,98.9
864073.HFRIS_020906,EOA02797.1,OsmC&nbsp;family&nbsp;protein,98.8
864073.HFRIS_017512,EOA03466.1,COG3437&nbsp;Response&nbsp;regulator&nbsp;containing&nbsp;a&nbsp;CheY-like&nbsp;receiver&nbsp;domain&nbsp;and&nbsp;an&nbsp;HD-GYP&nbsp;domain,98.8
864073.HFRIS_021988,EOA02529.1,"COG4630&nbsp;Xanthine&nbsp;dehydrogenase,&nbsp;iron-sulfur&nbsp;cluster&nbsp;and&nbsp;FAD-binding&nbsp;subunit&nbsp;A",98.7
864073.HFRIS_021386,EOA02674.1,Muconate&nbsp;cycloisomerase,98.7
864073.HFRIS_017527,EOA03469.1,COG1862&nbsp;Preprotein&nbsp;translocase&nbsp;subunit&nbsp;YajC,98.7
864073.HFRIS_010159,EOA04968.1,COG0665&nbsp;Glycine/D-amino&nbsp;acid&nbsp;oxidases&nbsp;(deaminating),98.7
864073.HFRIS_018212,EOA03253.1,"COG1902&nbsp;NADH:flavin&nbsp;oxidoreductases,&nbsp;Old&nbsp;Yellow&nbsp;Enzyme&nbsp;family",98.7
864073.HFRIS_021551,ubiE,Ubiquinone/menaquinone&nbsp;biosynthesis&nbsp;C-methyltransferase&nbsp;UbiE,98.7
864073.HFRIS_024182,EOA02122.1,COG0596&nbsp;Predicted&nbsp;hydrolases&nbsp;or&nbsp;acyltransferases&nbsp;(alpha/beta&nbsp;hydrolase&nbsp;superfamily),98.6
864073.HFRIS_003178,EOA06223.1,Positive&nbsp;regulator&nbsp;of&nbsp;CheA&nbsp;protein&nbsp;activity&nbsp;protein,98.6
864073.HFRIS_018481,EOA03183.1,Inositol-1-monophosphatase,98.6
864073.HFRIS_000710,EOA06789.1,COG3203&nbsp;Outer&nbsp;membrane&nbsp;protein&nbsp;(porin),98.6
864073.HFRIS_011293,EOA04736.1,Response&nbsp;regulator&nbsp;for&nbsp;cobalt/zinc/cadmium&nbsp;resistance&nbsp;transcription&nbsp;regulator&nbsp;protein,98.6
864073.HFRIS_008196,thiL,Thiamine-monophosphate&nbsp;kinase,98.6
864073.HFRIS_007606,trpS,Tryptophan--tRNA&nbsp;ligase,98.6
864073.HFRIS_022043,EOA02540.1,Bifunctional&nbsp;OHCU&nbsp;decarboxylase/N-carbamoyl-L-amino&nbsp;acid&nbsp;amidohydrolase,98.6
864073.HFRIS_022828,EOA02360.1,COG0789&nbsp;Predicted&nbsp;transcriptional&nbsp;regulators,98.5
864073.HFRIS_004693,EOA06109.1,"6-chlorohydroxyquinol-1,2-dioxygenase",98.5
864073.HFRIS_022183,EOA02514.1,COG0693&nbsp;Putative&nbsp;intracellular&nbsp;protease/amidase,98.5
864073.HFRIS_019503,EOA03048.1,ECF&nbsp;family&nbsp;sigma&nbsp;factor,98.5
864073.HFRIS_020771,EOA02770.1,"COG1175&nbsp;ABC-type&nbsp;sugar&nbsp;transport&nbsp;systems,&nbsp;permease&nbsp;components",98.5
864073.HFRIS_023992,EOA02152.1,"COG1776&nbsp;Chemotaxis&nbsp;protein&nbsp;CheC,&nbsp;inhibitor&nbsp;of&nbsp;MCP&nbsp;methylation",98.5
864073.HFRIS_013054,EOA04417.1,COG1737&nbsp;Transcriptional&nbsp;regulators,98.5
864073.HFRIS_018277,EOA03266.1,Nitrogen&nbsp;regulation&nbsp;(Sensor&nbsp;histidine&nbsp;kinase)&nbsp;transcription&nbsp;regulator&nbsp;protein,98.5
864073.HFRIS_002519,EOA06597.1,Feruloyl-CoA&nbsp;synthase,98.5
864073.HFRIS_011608,EOA04581.1,Serine/threonine&nbsp;protein&nbsp;kinase,98.4
864073.HFRIS_000840,EOA06815.1,Nucleotidyl&nbsp;transferase,98.4
864073.HFRIS_011783,EOA04616.1,Peptidyl-prolyl&nbsp;cis-trans&nbsp;isomerase,98.4
864073.HFRIS_015281,EOA03876.1,COG2181&nbsp;Nitrate&nbsp;reductase&nbsp;gamma&nbsp;subunit,98.4
864073.HFRIS_014429,EOA04076.1,COG0183&nbsp;Acetyl-CoA&nbsp;acetyltransferase,98.4
864073.HFRIS_014929,EOA03983.1,COG3386&nbsp;Gluconolactonase,98.4
864073.HFRIS_023686,EOA02208.1,COG0607&nbsp;Rhodanese-related&nbsp;sulfurtransferase,98.3
864073.HFRIS_024375,ansB,COG0252&nbsp;L-asparaginase/archaeal&nbsp;Glu-tRNAGln&nbsp;amidotransferase&nbsp;subunit&nbsp;D,98.3
864073.HFRIS_014704,EOA03938.1,COG5280&nbsp;Phage-related&nbsp;minor&nbsp;tail&nbsp;protein,98.3
864073.HFRIS_008706,EOA05209.1,C4-dicarboxylate&nbsp;transport&nbsp;transcriptional&nbsp;regulator,98.3
864073.HFRIS_017869,EOA03414.1,RND&nbsp;family&nbsp;efflux&nbsp;transporter&nbsp;mfp&nbsp;subunit,98.3
864073.HFRIS_008266,EOA05395.1,Protein-glutamate&nbsp;methylesterase,98.3
864073.HFRIS_008985,EOA05004.1,Kinase&nbsp;inhibitor,98.2
864073.HFRIS_024077,EOA02126.1,COG0545&nbsp;FKBP-type&nbsp;peptidyl-prolyl&nbsp;cis-trans&nbsp;isomerases&nbsp;1,98.2
864073.HFRIS_007209,moaD,Molybdopterin&nbsp;synthase&nbsp;sulfur&nbsp;carrier&nbsp;subunit,98.1
864073.HFRIS_017994,EOA03327.1,COG3206&nbsp;Uncharacterized&nbsp;protein&nbsp;involved&nbsp;in&nbsp;exopolysaccharide&nbsp;biosynthesis,98.1
864073.HFRIS_002174,hisF,Imidazole&nbsp;glycerol&nbsp;phosphate&nbsp;synthase&nbsp;subunit&nbsp;HisF,98.1
864073.HFRIS_005903,EOA05602.1,COG0596&nbsp;Predicted&nbsp;hydrolases&nbsp;or&nbsp;acyltransferases&nbsp;(alpha/beta&nbsp;hydrolase&nbsp;superfamily),98.1
864073.HFRIS_001255,rdgC,Recombination-associated&nbsp;protein&nbsp;RdgC,98.1
864073.HFRIS_003208,EOA06229.1,COG1428&nbsp;Deoxynucleoside&nbsp;kinases,98.1
864073.HFRIS_016832,EOA03584.1,Amidase,98.1
864073.HFRIS_003323,lptE,LPS-assembly&nbsp;lipoprotein&nbsp;LptE,98.1
864073.HFRIS_006754,lpxA,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine&nbsp;O-acyltransferase,98.1
864073.HFRIS_005778,EOA05944.1,Two&nbsp;component&nbsp;sensor&nbsp;histidine&nbsp;kinase,98.0
864073.HFRIS_001454,EOA06384.1,annotation&nbsp;not&nbsp;available,98.0
864073.HFRIS_023092,EOA02316.1,COG2068&nbsp;Uncharacterized&nbsp;MobA-related&nbsp;protein,98.0
864073.HFRIS_009345,EOA05076.1,"COG0559&nbsp;Branched-chain&nbsp;amino&nbsp;acid&nbsp;ABC-type&nbsp;transport&nbsp;system,&nbsp;permease&nbsp;components",98.0
864073.HFRIS_007024,EOA05480.1,Oxygen-independent&nbsp;coproporphyrinogen-III&nbsp;oxidase-like&nbsp;protein,98.0
864073.HFRIS_018149,EOA03358.1,Protein&nbsp;phosphatase&nbsp;CheZ,98.0
864073.HFRIS_019198,EOA03095.1,"COG2010&nbsp;Cytochrome&nbsp;c,&nbsp;mono-&nbsp;and&nbsp;diheme&nbsp;variants",97.9
864073.HFRIS_004458,kdpA,Potassium-transporting&nbsp;ATPase&nbsp;potassium-binding&nbsp;subunit,97.9
864073.HFRIS_001005,EOA06847.1,Transcription&nbsp;regulator&nbsp;protein,97.9
864073.HFRIS_021416,EOA02680.1,COG2172&nbsp;Anti-sigma&nbsp;regulatory&nbsp;factor&nbsp;(Ser/Thr&nbsp;protein&nbsp;kinase),97.9
864073.HFRIS_000860,EOA06819.1,NAD-dependent&nbsp;epimerase/dehydratase,97.9
864073.HFRIS_021611,EOA02646.1,COG1194&nbsp;A/G-specific&nbsp;DNA&nbsp;glycosylase,97.9
864073.HFRIS_022733,EOA02403.1,"COG0715&nbsp;ABC-type&nbsp;nitrate/sulfonate/bicarbonate&nbsp;transport&nbsp;systems,&nbsp;periplasmic&nbsp;components",97.8
864073.HFRIS_023342,EOA02272.1,"COG3839&nbsp;ABC-type&nbsp;sugar&nbsp;transport&nbsp;systems,&nbsp;ATPase&nbsp;components",97.8
864073.HFRIS_004198,EOA06010.1,Glycolate&nbsp;oxidase&nbsp;iron-sulfur&nbsp;subunit,97.8
864073.HFRIS_021111,recR,Recombination&nbsp;protein&nbsp;RecR,97.8
864073.HFRIS_022383,EOA02445.1,annotation&nbsp;not&nbsp;available,97.8
864073.HFRIS_008246,EOA05391.1,Magnesium-transporting&nbsp;ATPase&nbsp;MgtA,97.8
864073.HFRIS_009699,EOA04876.1,Ornithine&nbsp;carbamoyltransferase,97.8
864073.HFRIS_003248,EOA06237.1,COG1011&nbsp;Predicted&nbsp;hydrolase&nbsp;(HAD&nbsp;superfamily),97.8
864073.HFRIS_019935,EOA02917.1,Two&nbsp;component&nbsp;sensor&nbsp;histidine&nbsp;kinase,97.8
864073.HFRIS_000510,EOA06749.1,"COG1653&nbsp;ABC-type&nbsp;sugar&nbsp;transport&nbsp;system,&nbsp;periplasmic&nbsp;component",97.7
864073.HFRIS_011038,EOA04685.1,"COG5001&nbsp;Predicted&nbsp;signal&nbsp;transduction&nbsp;protein&nbsp;containing&nbsp;a&nbsp;membrane&nbsp;domain,&nbsp;an&nbsp;EAL&nbsp;and&nbsp;a&nbsp;GGDEF&nbsp;domain",97.7
864073.HFRIS_019930,EOA02916.1,Two&nbsp;component&nbsp;response&nbsp;regulator&nbsp;protein,97.7
864073.HFRIS_000025,EOA06652.1,COG0840&nbsp;Methyl-accepting&nbsp;chemotaxis&nbsp;protein,97.7
864073.HFRIS_018751,EOA03236.1,NADH-quinone&nbsp;oxidoreductase,97.7
864073.HFRIS_008371,EOA05142.1,Chaperone&nbsp;SurA,97.7
864073.HFRIS_000730,EOA06793.1,COG1396&nbsp;Predicted&nbsp;transcriptional&nbsp;regulators,97.7
864073.HFRIS_008201,EOA05382.1,Phosphatidylglycerophosphatase&nbsp;A,97.7
864073.HFRIS_017432,EOA03450.1,annotation&nbsp;not&nbsp;available,97.7
864073.HFRIS_022418,EOA02452.1,Type&nbsp;I&nbsp;antifreeze&nbsp;protein:HlyD&nbsp;family&nbsp;secretion&nbsp;protein,97.6
864073.HFRIS_007626,EOA05267.1,COG0613&nbsp;Predicted&nbsp;metal-dependent&nbsp;phosphoesterases&nbsp;(PHP&nbsp;family),97.6
864073.HFRIS_013234,EOA04250.1,Histidine&nbsp;kinase,97.6
864073.HFRIS_002049,EOA06503.1,"COG0683&nbsp;ABC-type&nbsp;branched-chain&nbsp;amino&nbsp;acid&nbsp;transport&nbsp;systems,&nbsp;periplasmic&nbsp;component",97.6
864073.HFRIS_015706,EOA03817.1,COG1982&nbsp;Arginine/lysine/ornithine&nbsp;decarboxylases,97.5
864073.HFRIS_013860,EOA04166.1,"COG5001&nbsp;Predicted&nbsp;signal&nbsp;transduction&nbsp;protein&nbsp;containing&nbsp;a&nbsp;membrane&nbsp;domain,&nbsp;an&nbsp;EAL&nbsp;and&nbsp;a&nbsp;GGDEF&nbsp;domain",97.5
864073.HFRIS_012279,EOA04487.1,"COG3839&nbsp;ABC-type&nbsp;sugar&nbsp;transport&nbsp;systems,&nbsp;ATPase&nbsp;components",97.4
864073.HFRIS_022098,EOA02497.1,Benzoylformate&nbsp;decarboxylase,97.3
864073.HFRIS_001030,atpH,ATP&nbsp;synthase&nbsp;subunit&nbsp;delta,97.3
864073.HFRIS_024455,EOA02063.1,Isoquinoline&nbsp;1-oxidoreductase&nbsp;subunit&nbsp;alpha&nbsp;oxidoreductase,97.3
864073.HFRIS_020891,EOA02794.1,ABC&nbsp;transporter&nbsp;nitrate-binding&nbsp;protein,97.2
864073.HFRIS_006193,trmD,tRNA&nbsp;(guanine-N(1)-)-methyltransferase,97.2
864073.HFRIS_003013,EOA06190.1,Type&nbsp;IV&nbsp;pilin&nbsp;A&nbsp;protein,97.1
864073.HFRIS_002838,mnmA,tRNA-specific&nbsp;2-thiouridylase&nbsp;MnmA,97.1
864073.HFRIS_017422,EOA03448.1,COG2885&nbsp;Outer&nbsp;membrane&nbsp;protein&nbsp;and&nbsp;related&nbsp;peptidoglycan-associated&nbsp;(lipo)proteins,97.1
864073.HFRIS_002569,EOA06607.1,"COG0411&nbsp;ABC-type&nbsp;branched-chain&nbsp;amino&nbsp;acid&nbsp;transport&nbsp;systems,&nbsp;ATPase&nbsp;component",97.1
864073.HFRIS_015736,argA,Amino-acid&nbsp;acetyltransferase,97.1
864073.HFRIS_001170,trmE,tRNA&nbsp;modification&nbsp;GTPase&nbsp;MnmE,97.1
864073.HFRIS_022583,EOA02432.1,Short-chain&nbsp;dehydrogenase/reductase&nbsp;SDR,97.0
864073.HFRIS_008486,rbsA,Ribose&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;RbsA,97.0
864073.HFRIS_021321,EOA02661.1,"COG0600&nbsp;ABC-type&nbsp;nitrate/sulfonate/bicarbonate&nbsp;transport&nbsp;system,&nbsp;permease&nbsp;component",97.0
864073.HFRIS_019818,rpmA,COG0211&nbsp;Ribosomal&nbsp;protein&nbsp;L27,97.0
864073.HFRIS_004698,EOA06110.1,Maleylacetate&nbsp;reductase,97.0
