167542.P9515_06331,pyrC,Dihydroorotase,98.8
167542.P9515_17021,psaB,Photosystem&nbsp;I&nbsp;P700&nbsp;chlorophyll&nbsp;a&nbsp;apoprotein&nbsp;A2,98.8
167542.P9515_09951,pykF,COG469&nbsp;Pyruvate&nbsp;kinase&nbsp;[Carbohydrate&nbsp;transport&nbsp;and&nbsp;metabolism],98.7
167542.P9515_14831,glgX,Putative&nbsp;isoamylase,98.7
167542.P9515_03401,cpeS,Chromophore&nbsp;lyase&nbsp;CpcS/CpeS,98.5
167542.P9515_17881,glgP,"Alpha-1,4&nbsp;glucan&nbsp;phosphorylase",98.4
167542.P9515_17401,rplC,50S&nbsp;ribosomal&nbsp;protein&nbsp;L3,98.4
167542.P9515_04971,ndhB,NAD(P)H-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;2,98.3
167542.P9515_06081,chlB,Light-independent&nbsp;protochlorophyllide&nbsp;reductase&nbsp;subunit&nbsp;B,98.1
167542.P9515_02301,rplL,50S&nbsp;ribosomal&nbsp;protein&nbsp;L7/L12,98.0
167542.P9515_16941,ABM72901.1,Lipoyl&nbsp;synthase,97.9
167542.P9515_02401,ABM71449.1,FAD-dependent&nbsp;pyridine&nbsp;nucleotide-disulphide&nbsp;oxidoreductase,97.7
167542.P9515_09511,rpmG,"COG267&nbsp;Ribosomal&nbsp;protein&nbsp;L33&nbsp;[Translation,&nbsp;ribosomal&nbsp;structure&nbsp;and&nbsp;biogenesis]",97.5
167542.P9515_02911,glyA,Serine&nbsp;hydroxymethyltransferase,97.5
167542.P9515_10131,pdhB,"COG22&nbsp;Pyruvate/2-oxoglutarate&nbsp;dehydrogenase&nbsp;complex,&nbsp;dehydrogenase&nbsp;(E1)&nbsp;component,&nbsp;eukaryotic&nbsp;type,&nbsp;beta&nbsp;subunit&nbsp;[Energy&nbsp;production&nbsp;and&nbsp;conversion]",97.5
167542.P9515_11461,chlI,Mg-protoporphyrin&nbsp;IX&nbsp;chelatase,97.4
167542.P9515_04691,ABM71678.1,COG626&nbsp;Cystathionine&nbsp;beta-lyases/cystathionine&nbsp;gamma-synthases&nbsp;[Amino&nbsp;acid&nbsp;transport&nbsp;and&nbsp;metabolism],97.4
167542.P9515_16111,pyrR,Bifunctional&nbsp;protein&nbsp;PyrR,97.4
167542.P9515_05531,thiP,Putative&nbsp;iron&nbsp;ABC&nbsp;transporter,97.1
167542.P9515_05161,ABM71725.1,3-oxoacyl-[acyl-carrier&nbsp;protein]&nbsp;reductase,96.9
167542.P9515_13041,polA,DNA&nbsp;polymerase&nbsp;I,96.7
167542.P9515_06681,ABM71877.1,"COG1108&nbsp;ABC-type&nbsp;Mn2+/Zn2+&nbsp;transport&nbsp;systems,&nbsp;permease&nbsp;components&nbsp;[Inorganic&nbsp;ion&nbsp;transport&nbsp;and&nbsp;metabolism]",96.7
167542.P9515_13851,wza,"COG1596&nbsp;Periplasmic&nbsp;protein&nbsp;involved&nbsp;in&nbsp;polysaccharide&nbsp;export&nbsp;[Cell&nbsp;envelope&nbsp;biogenesis,&nbsp;outer&nbsp;membrane]",96.6
167542.P9515_05101,cyoE,Protoheme&nbsp;IX&nbsp;farnesyltransferase,96.5
167542.P9515_18751,ABM73082.1,MazG&nbsp;family&nbsp;protein,96.5
167542.P9515_05861,pyrH,Uridylate&nbsp;kinase,96.2
167542.P9515_17591,speD,S-adenosylmethionine&nbsp;decarboxylase&nbsp;proenzyme,96.2
167542.P9515_02591,met3,ATP-sulfurylase,96.0
167542.P9515_18761,speE,Polyamine&nbsp;aminopropyltransferase,95.7
167542.P9515_16321,atpF,ATP&nbsp;synthase&nbsp;subunit&nbsp;b,95.6
167542.P9515_14471,ffh,Signal&nbsp;recognition&nbsp;particle&nbsp;protein,95.5
167542.P9515_06711,ABM71880.1,COG681&nbsp;Signal&nbsp;peptidase&nbsp;I&nbsp;[Intracellular&nbsp;trafficking&nbsp;and&nbsp;secretion],95.2
167542.P9515_00691,accC,"COG4770&nbsp;Acetyl/propionyl-CoA&nbsp;carboxylase,&nbsp;alpha&nbsp;subunit&nbsp;[Lipid&nbsp;metabolism]",95.1
167542.P9515_14491,acoA,Pyruvate&nbsp;dehydrogenase&nbsp;E1&nbsp;component&nbsp;subunit&nbsp;alpha,95.0
167542.P9515_04921,hisF,Imidazole&nbsp;glycerol&nbsp;phosphate&nbsp;synthase&nbsp;subunit&nbsp;HisF,94.9
