247633.GP2143_01225,EAW30024.1,Uncharacterized&nbsp;protein,98.9
247633.GP2143_16881,EAW32950.1,"Alkaline&nbsp;phosphatase,&nbsp;putative",98.8
247633.GP2143_05795,EAW31939.1,COG0837&nbsp;Glucokinase,98.8
247633.GP2143_16346,metXS,Homoserine&nbsp;O-succinyltransferase,98.7
247633.GP2143_10912,ftsI,"Peptidoglycan&nbsp;D,D-transpeptidase&nbsp;FtsI",98.7
247633.GP2143_02689,EAW30795.1,annotation&nbsp;not&nbsp;available,98.7
247633.GP2143_07309,EAW31338.1,"Hemin&nbsp;ABC&nbsp;transporter,&nbsp;permease&nbsp;protein",98.7
247633.GP2143_15781,polA,DNA&nbsp;polymerase&nbsp;I,98.6
247633.GP2143_08694,himA,Integration&nbsp;host&nbsp;factor&nbsp;subunit&nbsp;alpha,98.5
247633.GP2143_17211,EAW33016.1,Uncharacterized&nbsp;protein,98.5
247633.GP2143_12476,xseB,Exodeoxyribonuclease&nbsp;7&nbsp;small&nbsp;subunit,98.5
247633.GP2143_15141,EAW32602.1,"COG1454&nbsp;Alcohol&nbsp;dehydrogenase,&nbsp;class&nbsp;IV",98.5
247633.GP2143_13631,dnaG,DNA&nbsp;primase,98.5
247633.GP2143_17626,EAW33099.1,3-ketoacyl-(Acyl-carrier-protein)&nbsp;reductase,98.4
247633.GP2143_07404,EAW31357.1,Transcriptional&nbsp;regulator&nbsp;OruR,98.4
247633.GP2143_17496,EAW33073.1,Uncharacterized&nbsp;protein,98.4
247633.GP2143_12536,nrdR,Transcriptional&nbsp;repressor&nbsp;NrdR,98.4
247633.GP2143_00457,truB,tRNA&nbsp;pseudouridine&nbsp;synthase&nbsp;B,98.3
247633.GP2143_08864,ppc,Phosphoenolpyruvate&nbsp;carboxylase,98.3
247633.GP2143_07113,lexA,LexA&nbsp;repressor,98.2
247633.GP2143_05930,EAW31966.1,Putative&nbsp;capsular&nbsp;polysaccharide&nbsp;biosynthesis&nbsp;protein,98.1
247633.GP2143_11077,EAW30111.1,Flagellar&nbsp;basal&nbsp;body&nbsp;rod&nbsp;protein&nbsp;FlgB,98.0
247633.GP2143_11267,EAW30149.1,COG1398&nbsp;Fatty-acid&nbsp;desaturase,98.0
247633.GP2143_02135,EAW30304.1,COG1183&nbsp;Phosphatidylserine&nbsp;synthase,98.0
247633.GP2143_16466,pgk,COG0126&nbsp;3-phosphoglycerate&nbsp;kinase,97.9
247633.GP2143_05845,EAW31949.1,Uncharacterized&nbsp;protein,97.9
247633.GP2143_00797,hemA,Glutamyl-tRNA&nbsp;reductase,97.9
247633.GP2143_16636,ilvD,COG0129&nbsp;Dihydroxyacid&nbsp;dehydratase/phosphogluconate&nbsp;dehydratase,97.9
247633.GP2143_11377,EAW30171.1,Uncharacterized&nbsp;protein,97.8
247633.GP2143_08414,dcd,dCTP&nbsp;deaminase,97.8
247633.GP2143_05945,EAW31969.1,COG0859&nbsp;ADP-heptose:LPS&nbsp;heptosyltransferase,97.8
247633.GP2143_14651,EAW32504.1,COG0183&nbsp;Acetyl-CoA&nbsp;acetyltransferase,97.8
247633.GP2143_07048,nqrE,Na(+)-translocating&nbsp;NADH-quinone&nbsp;reductase&nbsp;subunit&nbsp;E,97.8
247633.GP2143_09560,sat,COG2046&nbsp;ATP&nbsp;sulfurylase&nbsp;(sulfate&nbsp;adenylyltransferase),97.8
247633.GP2143_11072,EAW30110.1,COG1558&nbsp;Flagellar&nbsp;basal&nbsp;body&nbsp;rod&nbsp;protein,97.7
247633.GP2143_08389,EAW31554.1,COG1960&nbsp;Acyl-CoA&nbsp;dehydrogenases,97.6
247633.GP2143_16656,EAW32905.1,Thioredoxin,97.6
247633.GP2143_06779,EAW29977.1,"COG5001&nbsp;Predicted&nbsp;signal&nbsp;transduction&nbsp;protein&nbsp;containing&nbsp;a&nbsp;membrane&nbsp;domain,&nbsp;an&nbsp;EAL&nbsp;and&nbsp;a&nbsp;GGDEF&nbsp;domain",97.6
247633.GP2143_12741,EAW32122.1,"Glutamyl-tRNA,&nbsp;putative",97.6
247633.GP2143_12184,EAW29851.1,COG0596&nbsp;Predicted&nbsp;hydrolases&nbsp;or&nbsp;acyltransferases&nbsp;(alpha/beta&nbsp;hydrolase&nbsp;superfamily),97.6
247633.GP2143_04415,panD,Aspartate&nbsp;1-decarboxylase,97.5
247633.GP2143_10867,ftsQ,Cell&nbsp;division&nbsp;protein&nbsp;FtsQ,97.5
247633.GP2143_17416,trpA,Tryptophan&nbsp;synthase&nbsp;alpha&nbsp;chain,97.5
247633.GP2143_09125,aroA,3-phosphoshikimate&nbsp;1-carboxyvinyltransferase,97.5
247633.GP2143_04875,EAW31755.1,COG0840&nbsp;Methyl-accepting&nbsp;chemotaxis&nbsp;protein,97.5
247633.GP2143_16706,EAW32915.1,COG3160&nbsp;Regulator&nbsp;of&nbsp;sigma&nbsp;D,97.4
247633.GP2143_13606,EAW32295.1,"7,&nbsp;8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase,&nbsp;HPPK",97.4
247633.GP2143_18161,EAW33206.1,"Oxidoreductase,&nbsp;short&nbsp;chain&nbsp;dehydrogenase/reductase&nbsp;family&nbsp;protein",97.3
247633.GP2143_15366,EAW32647.1,COG1012&nbsp;NAD-dependent&nbsp;aldehyde&nbsp;dehydrogenases,97.2
247633.GP2143_15061,EAW32586.1,Phosphoribosyl-AMP&nbsp;cyclohydrolase,97.2
247633.GP2143_15726,EAW32719.1,Cytochrome&nbsp;c&nbsp;oxidase&nbsp;subunit&nbsp;2,97.2
247633.GP2143_01057,proB,Glutamate&nbsp;5-kinase,97.2
247633.GP2143_08194,EAW31515.1,MazG&nbsp;family&nbsp;protein,97.1
247633.GP2143_16026,EAW32779.1,ABC&nbsp;2&nbsp;transport&nbsp;system&nbsp;integral&nbsp;membrane&nbsp;protein,97.0
247633.GP2143_17946,EAW33163.1,COG1024&nbsp;Enoyl-CoA&nbsp;hydratase/carnithine&nbsp;racemase,97.0
247633.GP2143_17236,EAW33021.1,COG2070&nbsp;Dioxygenases&nbsp;related&nbsp;to&nbsp;2-nitropropane&nbsp;dioxygenase,96.9
247633.GP2143_05405,EAW31861.1,Hydroxyacylglutathione&nbsp;hydrolase,96.9
247633.GP2143_07934,EAW31463.1,COG0175&nbsp;3'-phosphoadenosine&nbsp;5'-phosphosulfate&nbsp;sulfotransferase&nbsp;(PAPS&nbsp;reductase)/FAD&nbsp;synthetase&nbsp;and&nbsp;related&nbsp;enzymes,96.9
247633.GP2143_07264,EAW31329.1,Metallo-beta-lactamase&nbsp;superfamily&nbsp;protein,96.8
247633.GP2143_17536,EAW33081.1,"COG3839&nbsp;ABC-type&nbsp;sugar&nbsp;transport&nbsp;systems,&nbsp;ATPase&nbsp;components",96.8
247633.GP2143_07294,cobT,Nicotinate-nucleotide--dimethylbenzimidazole&nbsp;phosphoribosyltransferase,96.7
247633.GP2143_14421,EAW32458.1,Probable&nbsp;Zinc-containing&nbsp;alcohol&nbsp;dehydrogenase,96.7
247633.GP2143_01935,EAW30264.1,Sodium&nbsp;ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein,96.6
247633.GP2143_04715,EAW31723.1,COG0308&nbsp;Aminopeptidase&nbsp;N,96.6
247633.GP2143_12431,EAW29620.1,Putative&nbsp;ring-cleaving&nbsp;dioxygenase,96.6
247633.GP2143_11879,EAW29897.1,COG1960&nbsp;Acyl-CoA&nbsp;dehydrogenases,96.5
247633.GP2143_14891,EAW32552.1,Short-chain&nbsp;dehydrogenase/reductase&nbsp;(SDR)&nbsp;family&nbsp;protein,96.4
247633.GP2143_12049,EAW29824.1,Uncharacterized&nbsp;protein,96.4
247633.GP2143_07164,EAW31309.1,COG0526&nbsp;Thiol-disulfide&nbsp;isomerase&nbsp;and&nbsp;thioredoxins,96.4
247633.GP2143_02779,EAW30813.1,Putative&nbsp;oxidoreductase&nbsp;protein,96.4
247633.GP2143_13251,EAW32224.1,COG1960&nbsp;Acyl-CoA&nbsp;dehydrogenases,96.4
247633.GP2143_03683,EAW31191.1,COG0372&nbsp;Citrate&nbsp;synthase,96.4
247633.GP2143_17366,EAW33047.1,4-Hydroxybenzoyl-CoA&nbsp;reductase&nbsp;alpha-subunit,96.3
247633.GP2143_12109,panB,3-methyl-2-oxobutanoate&nbsp;hydroxymethyltransferase,96.3
247633.GP2143_08269,EAW31530.1,Uncharacterized&nbsp;protein,96.3
247633.GP2143_01390,rpsD,30S&nbsp;ribosomal&nbsp;protein&nbsp;S4,96.3
247633.GP2143_08259,EAW31528.1,L-aspartate&nbsp;oxidase,96.3
247633.GP2143_11584,grpE,Protein&nbsp;GrpE,96.2
247633.GP2143_05700,EAW31920.1,annotation&nbsp;not&nbsp;available,96.2
247633.GP2143_15836,EAW32741.1,COG0347&nbsp;Nitrogen&nbsp;regulatory&nbsp;protein&nbsp;PII,96.2
247633.GP2143_01930,EAW30263.1,"COG1668&nbsp;ABC-type&nbsp;Na+&nbsp;efflux&nbsp;pump,&nbsp;permease&nbsp;component",96.2
247633.GP2143_06494,EAW29920.1,3-oxoacyl-[acyl-carrier-protein]&nbsp;synthase&nbsp;2,96.1
247633.GP2143_02584,EAW30774.1,Putative&nbsp;diguanylate&nbsp;cyclase/phosphodiesterase&nbsp;(GGDEF&nbsp;&&nbsp;EAL&nbsp;domains)&nbsp;with&nbsp;PAS/PAC&nbsp;and&nbsp;GAF&nbsp;sensor(S),96.1
247633.GP2143_13206,EAW32215.1,"Fatty&nbsp;oxidation&nbsp;complex,&nbsp;alpha&nbsp;subunit",96.1
247633.GP2143_00122,EAW30497.1,TonB-dependent&nbsp;receptor&nbsp;C-terminal&nbsp;domain&nbsp;protein,96.0
247633.GP2143_11934,EAW29908.1,Helicase&nbsp;c2,96.0
247633.GP2143_13211,EAW32216.1,COG0625&nbsp;Glutathione&nbsp;S-transferase,95.9
247633.GP2143_02164,purM,Phosphoribosylformylglycinamidine&nbsp;cyclo-ligase,95.9
247633.GP2143_11292,EAW30154.1,TPR&nbsp;domain&nbsp;protein,95.9
247633.GP2143_17216,EAW33017.1,Uncharacterized&nbsp;protein,95.9
247633.GP2143_02214,EAW30700.1,Uncharacterized&nbsp;protein,95.9
247633.GP2143_15471,mnmE,tRNA&nbsp;modification&nbsp;GTPase&nbsp;MnmE,95.9
247633.GP2143_00607,EAW30594.1,Uncharacterized&nbsp;protein,95.8
247633.GP2143_02989,EAW30855.1,D-isomer&nbsp;specific&nbsp;2-hydroxyacid&nbsp;dehydrogenase&nbsp;family&nbsp;protein,95.8
247633.GP2143_12521,EAW32078.1,"6,7-dimethyl-8-ribityllumazine&nbsp;synthase",95.8
247633.GP2143_07719,EAW31420.1,Flagellar&nbsp;M-ring&nbsp;protein,95.8
247633.GP2143_15431,atpF,ATP&nbsp;synthase&nbsp;subunit&nbsp;b,95.8
247633.GP2143_15541,EAW32682.1,annotation&nbsp;not&nbsp;available,95.8
247633.GP2143_11854,rnt,Ribonuclease&nbsp;T,95.8
247633.GP2143_16266,rpmB,COG0227&nbsp;Ribosomal&nbsp;protein&nbsp;L28,95.8
